,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.051663902,0.901357437,0.473320258,0.320549824,0.425389556,0.687458947,0.901785389,0.802458576,0.465565222,0.275193147,0.309363134,0.250856574,0.159005061,0.119147936,0.078022439,0.043324982
X2,0.855141256,4.540186257,1.265411921,0.389903954,0.227180718,0.499324557,0.807145071,0.922449053,0.81487972,0.358562564,0.24013314,0.212231994,0.164684259,0.115508159,0.059623141,0.044014088
X3,0.36136419,2.026261067,10.04856959,1.3381418,0.497388037,0.380946473,0.55951589,0.923763755,1.204171651,0.710504984,0.390607131,0.197814487,0.118325988,0.116558946,0.094753587,0.071160759
X4,0.21649929,0.550970026,4.125416412,15.00715151,2.022311498,0.851834261,0.614684614,0.889911631,1.214766774,1.25973815,0.669805541,0.248984126,0.110437336,0.081201017,0.05095507,0.035322667
X5,0.314469118,0.269605958,0.441618857,3.547213917,5.101034891,1.90353781,1.131624293,0.99421145,0.928219307,1.198796721,0.833206153,0.410893593,0.114921556,0.059940521,0.07116944,0.053497703
X6,0.567067541,0.308189555,0.209199393,0.920950457,2.134410803,3.12375728,1.579244787,1.227748092,1.079711085,0.90032265,0.854991011,0.428715943,0.142720627,0.059135649,0.032113242,0.024207027
X7,0.634750277,0.800303301,0.656979686,0.499657238,0.975173568,1.528832999,2.341736535,1.553122547,1.22746805,0.939288098,0.715800352,0.451777282,0.188360331,0.082684083,0.045720827,0.03779343
X8,0.61135558,0.942959852,0.836184471,0.660849618,0.689952806,1.185319504,1.443750708,2.406412678,1.72935835,1.093806026,0.758382162,0.374823469,0.210374785,0.136748211,0.082720798,0.029925094
X9,0.37823899,0.763936082,1.072365444,1.235098714,0.886119545,1.087519557,1.363977609,1.58284149,2.426508953,1.43046685,0.960670112,0.316001642,0.173280831,0.115496433,0.083370386,0.03637727
X10,0.354446765,0.581205984,0.791019697,1.744135563,0.892391651,0.911700377,1.061125029,1.22778227,1.367328156,1.805934576,0.984684788,0.392190396,0.141772932,0.083932304,0.080839609,0.072866726
X11,0.345568888,0.690501241,1.131425741,1.582818612,1.116011434,1.246745294,1.068160386,1.030180724,1.407962942,1.548494792,1.643767496,0.722571154,0.248997724,0.117926322,0.090844906,0.082763554
X12,0.626093613,0.808881637,0.751981759,1.004390512,0.758146187,1.118126275,1.098389849,0.812037434,0.90380149,0.787037915,0.996386642,1.201166906,0.432621233,0.20267382,0.104865719,0.073890913
X13,0.549364737,0.518778196,0.373090311,0.545079637,0.435812332,0.584320482,0.688818792,0.687009128,0.514566875,0.416994384,0.437249698,0.56224159,0.789474985,0.333673605,0.1884644,0.070333658
X14,0.3585719,0.548074606,0.465937993,0.272156278,0.327162525,0.405548197,0.593020239,0.639266008,0.566851819,0.319562695,0.350370392,0.42337487,0.426131858,0.729523254,0.225210384,0.090759006
X15,0.196717869,0.553838807,0.537091158,0.529830273,0.224935615,0.352777212,0.327458376,0.60971426,0.671687384,0.526753255,0.411074403,0.332136648,0.506812004,0.503985332,0.732634424,0.224774537
X16,0.315877077,0.406430411,0.607733708,0.510186489,0.187551794,0.195291746,0.276749731,0.417471808,0.453232772,0.495429276,0.489448596,0.27902185,0.185327494,0.268169292,0.229801484,0.330710595
