,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.264603537,0.52880947,0.234463963,0.127901339,0.175759008,0.374412757,0.707081268,0.782453421,0.501132742,0.226215778,0.212951166,0.163534582,0.116135911,0.091495712,0.045842507,0.031427422
X2,0.480381238,6.661551879,0.969393411,0.223755135,0.138016297,0.37099725,0.744766631,0.984571275,1.003635809,0.407885309,0.220532768,0.16417019,0.13169301,0.095321307,0.038644743,0.038665183
X3,0.185892442,1.917469387,9.297611072,0.734379629,0.238520838,0.265193778,0.458388038,0.812058318,1.157655665,0.63107129,0.337838729,0.142992772,0.079754661,0.080034029,0.057202345,0.055099698
X4,0.077401288,0.261110261,2.608915863,8.283753279,1.151915534,0.636569189,0.573725895,0.746413377,0.910888996,0.953516329,0.503344343,0.171345919,0.058219449,0.041390833,0.022167803,0.021011161
X5,0.104949706,0.14585548,0.209841965,1.739539533,2.943531647,1.436933077,1.061899633,0.97347165,0.78126917,0.964897532,0.666512079,0.336499607,0.078563096,0.036420514,0.034795565,0.034261847
X6,0.339379089,0.273198548,0.174137442,0.773759669,1.768497081,3.360373161,1.831076497,1.409302606,1.095338359,0.926440808,0.922995711,0.561548925,0.187862185,0.070383921,0.027865822,0.031671129
X7,0.722906839,1.068609819,0.719736494,0.501663287,0.955025589,1.809343832,3.535604042,2.162940021,1.445105477,1.023801713,0.79580349,0.611312158,0.332064278,0.142290583,0.062785038,0.063055663
X8,0.840142051,1.346568001,0.992860419,0.718135073,0.681068035,1.382346201,2.066708952,3.759889317,2.171182516,1.249161727,0.774669893,0.465222438,0.344656045,0.232515351,0.110678522,0.051847189
X9,0.424308799,0.975471092,1.138286122,1.159529081,0.785221071,1.098553798,1.614438861,1.954369869,2.978896123,1.438844817,0.875856092,0.329431253,0.212491459,0.154020419,0.092075519,0.055809164
X10,0.205980655,0.656611308,0.751813337,1.638961943,0.841366717,0.863386226,1.153740759,1.366687514,1.404594256,2.110940236,0.97106972,0.399706241,0.169923858,0.106476441,0.082658271,0.102133084
X11,0.19015209,0.642262549,0.965251783,1.21513583,0.927610571,1.121276039,1.040685505,1.044788713,1.283484403,1.424708623,1.683901189,0.681571075,0.251055843,0.12737592,0.076894933,0.101717797
X12,0.309823674,0.609121738,0.559648252,0.690689141,0.584712268,1.049309846,1.171821277,0.914759645,0.938143288,0.775569007,0.921087207,1.357445487,0.436954908,0.208267271,0.083085675,0.087671497
X13,0.303765351,0.318533976,0.217966111,0.340997176,0.285544807,0.514086935,0.777282398,0.812099049,0.573722058,0.457765955,0.400359265,0.566231578,0.986819242,0.349590068,0.163095489,0.078288535
X14,0.196289482,0.309723226,0.246154388,0.137324274,0.183717933,0.334004239,0.654897359,0.652762155,0.561470282,0.350510428,0.341770741,0.425125213,0.431879047,0.859015535,0.194454186,0.094326187
X15,0.076194561,0.218940374,0.239570039,0.219437227,0.102590231,0.213602493,0.281370859,0.472858324,0.525021291,0.397756578,0.302294404,0.242186851,0.409628235,0.38983458,0.564725349,0.186988674
X16,0.157317317,0.228138178,0.331151026,0.27231715,0.105330097,0.142425865,0.285268484,0.341387346,0.386804224,0.442674474,0.414503543,0.25547117,0.175773181,0.232033169,0.180438008,0.349986419
