,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.670150786,1.191461448,0.51502549,0.300763359,0.625414623,1.494689041,1.863916808,1.351899949,0.585774869,0.283542943,0.259644165,0.152872383,0.087506251,0.030408125,0.013136101,0.021869255
X2,1.140079808,6.112198261,1.155695562,0.317547978,0.278574828,0.977395789,1.532696378,1.402075632,0.869336351,0.32039328,0.163259476,0.134661092,0.071538654,0.034005934,0.015910396,0.019547503
X3,0.284753949,1.719835525,6.847341509,0.791771794,0.443246714,0.593708288,0.84940451,1.066032729,0.972506811,0.462814749,0.183542161,0.068586918,0.033503482,0.02647195,0.023693187,0.016456425
X4,0.141251558,0.330682602,2.077070728,6.480618823,1.722388556,1.111193835,0.837502311,0.937835712,0.965422127,0.80297948,0.385024563,0.132989048,0.044837153,0.016691805,0.007896522,0.010256619
X5,0.412497036,0.326750087,0.429671287,3.013442561,7.304539087,4.006834139,2.419286643,1.639620933,1.219663342,1.37391528,0.88031036,0.351667988,0.098887788,0.0147437,0.016633985,0.020289517
X6,1.347781549,0.693983056,0.357266815,1.322339215,4.832135343,9.863699121,4.94475416,2.871005666,1.744321413,1.360317388,1.279119503,0.587332214,0.22206194,0.046712471,0.012774389,0.03433919
X7,1.598303608,1.976275267,1.350101689,0.747219226,2.172901364,4.773194953,7.332259043,3.82672696,2.063183487,1.277072587,0.925166007,0.584716583,0.280954255,0.049684926,0.023278697,0.020062889
X8,1.220068318,1.838240466,1.536169866,0.993714923,1.213341213,2.857778732,3.696196664,5.172723849,2.533753742,1.320173329,0.827190717,0.36896599,0.187212777,0.087656113,0.039105777,0.012788498
X9,0.47126218,0.883744742,1.182430588,1.260786978,1.184073806,1.766783747,2.319649876,2.281805465,2.95894311,1.430192124,0.892677944,0.273092138,0.132161325,0.055763686,0.02705611,0.016869515
X10,0.321237099,0.452130953,0.545167696,1.175208677,0.899413274,1.186123486,1.392965682,1.403636825,1.281023725,1.616976785,0.779974822,0.306050415,0.075486477,0.018979469,0.015324676,0.031249352
X11,0.18713762,0.372899755,0.486653897,0.712267924,0.768382677,1.278724371,1.165634684,1.043983972,1.214268883,1.178781278,1.133508628,0.430957953,0.09096784,0.010537684,0.008232137,0.022316542
X12,0.229401284,0.308541348,0.256977891,0.377842383,0.368320984,0.748999593,0.847276769,0.660639807,0.688668607,0.524076138,0.529137716,0.465423261,0.109110555,0.016958181,0.005302596,0.010301715
X13,0.109110335,0.098863011,0.070749821,0.136128861,0.155314526,0.277347311,0.318264637,0.347081579,0.275741299,0.242286317,0.195516049,0.154469048,0.122260344,0.029001094,0.004417816,0.001578312
X14,0.034483428,0.0719798,0.05135195,0.023460719,0.034974955,0.068122646,0.102240491,0.090417331,0.063174505,0.03419518,0.022463814,0.03254864,0.027513159,0.075231363,0.018592334,0.002042457
X15,0.012807353,0.038891453,0.037906617,0.038014233,0.017996119,0.041598811,0.038885251,0.066787309,0.059342628,0.054193336,0.052369558,0.031278229,0.019009264,0.019634494,0.04018875,0.027186408
X16,0.014675995,0.039731536,0.028389383,0.044194706,0.009763337,0.02145889,0.021752012,0.021967682,0.019832295,0.02163216,0.020351539,0.009417445,0.00384605,0.005456031,0.003435452,0.012530928
