,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.793679812,0.858782859,0.449148357,0.304057873,0.57637536,0.932101601,1.050868772,0.870643015,0.47963542,0.295319364,0.385452806,0.286622348,0.177693422,0.090792694,0.096642935,0.05205039
X2,0.691505455,6.533316769,1.085231685,0.353259885,0.247846892,0.603775442,0.893330953,0.887580624,0.707611434,0.345001264,0.264053894,0.212785874,0.150308259,0.074327513,0.060176608,0.045895471
X3,0.2723872,1.830628793,7.55374605,0.933354359,0.407836246,0.362976448,0.495232888,0.719868672,0.828524523,0.501078225,0.312091012,0.150247301,0.082574443,0.060215372,0.074002901,0.056685809
X4,0.181965733,0.458820678,3.254843757,13.13267523,1.878894512,0.89326263,0.634086962,0.840635774,1.022917556,1.045981988,0.585838121,0.241152554,0.104318126,0.047373113,0.043846188,0.031198461
X5,0.37840074,0.307553428,0.40352985,3.482136551,6.032192235,2.370580822,1.331504923,1.043001018,0.9285038,1.269432381,0.938843268,0.49060886,0.16800038,0.044202807,0.08414089,0.066914428
X6,0.745887487,0.426312544,0.225671941,1.028975533,2.734939226,4.100519052,1.982468378,1.376689721,1.095553889,1.039889231,1.103644957,0.598858061,0.240124302,0.056468621,0.044459393,0.033775169
X7,0.725783162,1.046282288,0.724530841,0.542931264,1.164618302,1.910741954,2.814709741,1.75693417,1.267773356,1.045211132,0.904818528,0.633318562,0.286387696,0.068230982,0.059565426,0.049358826
X8,0.59991613,0.999582278,0.839949716,0.711702385,0.73455094,1.331968034,1.616620535,2.487347599,1.682560706,1.150751493,0.887744791,0.490577378,0.258465989,0.100474357,0.092448012,0.032891789
X9,0.352684587,0.691587112,0.87115791,1.122639486,0.864826853,1.100950145,1.396015266,1.518779579,2.148847407,1.385988513,1.037488618,0.403492549,0.223511038,0.074900834,0.078447804,0.03516125
X10,0.273799925,0.669059831,0.759356392,1.717415534,0.972549389,1.023450981,1.174938522,1.291895564,1.339510704,1.861155409,1.128922996,0.526256038,0.194887805,0.058716215,0.087975698,0.081576601
X11,0.404528708,0.898122626,1.173999502,1.685146171,1.336741285,1.595177865,1.321619802,1.200398908,1.531331809,1.791087417,1.976906696,0.976213271,0.330482905,0.08345967,0.105688409,0.09714453
X12,0.624798322,0.990684295,0.774640116,1.101240277,0.890299801,1.419472762,1.433180882,1.046794077,1.113032625,1.015158619,1.301445717,1.412328326,0.500665341,0.14154429,0.109077924,0.077922973
X13,0.537595314,0.562460345,0.383885171,0.581703039,0.522133027,0.780084492,0.882464415,0.886858562,0.6846652,0.634109125,0.634656407,0.706531808,0.723252348,0.231129004,0.175328369,0.065740589
X14,0.239066836,0.381515134,0.312401539,0.172908664,0.218075519,0.291439779,0.396496894,0.40593258,0.325706593,0.19994587,0.228695803,0.257992905,0.245702504,0.383172683,0.141536111,0.057016011
X15,0.228273983,0.673570751,0.62766484,0.575919185,0.269800713,0.460158448,0.394895019,0.695355872,0.695726459,0.599587209,0.46627705,0.352351117,0.489684007,0.373349705,0.777323813,0.247479958
X16,0.37494689,0.509710019,0.765071924,0.641381518,0.241193304,0.256700351,0.343695064,0.476279772,0.510988647,0.578909207,0.572819326,0.318734674,0.182460737,0.226275864,0.262807983,0.34737537
