,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.526851744,1.453225607,0.759977433,0.443048149,0.707520836,1.129569491,1.424040474,1.219084503,0.645683869,0.336312879,0.333489178,0.260799235,0.164824578,0.12310674,0.069508608,0.040084466
X2,1.313769722,9.538226899,2.045226348,0.56177358,0.350454574,0.886472133,1.360445895,1.435418817,1.058883551,0.428599995,0.256256734,0.218718982,0.164893671,0.115484668,0.053909984,0.040865218
X3,0.525991402,3.15564908,11.96874077,1.334158695,0.548502173,0.530395677,0.823234314,1.140069248,1.191161945,0.61472685,0.298750631,0.14196951,0.088245535,0.091268433,0.06421495,0.048471156
X4,0.262786307,0.68362768,3.97266559,11.65904969,2.061088364,1.075331778,0.884035658,1.114997072,1.166754844,0.998723081,0.514052723,0.208075033,0.097963013,0.051599788,0.028025636,0.019274361
X5,0.42443453,0.388214893,0.497175118,3.321196125,4.634472545,2.311125291,1.575206539,1.364218069,1.055072239,1.099757396,0.745339185,0.361884225,0.14795683,0.03757255,0.037237159,0.030027104
X6,0.877275145,0.548556814,0.323635125,1.214593905,2.706610223,3.953489917,2.366033131,1.803840941,1.36362146,1.060097442,0.95172369,0.465421707,0.214290514,0.051425499,0.022079343,0.018654626
X7,1.104558337,1.611098248,1.214222822,0.758175865,1.443686968,2.418027963,3.442721488,2.43909067,1.658166386,1.198133659,0.859212953,0.544731064,0.278285609,0.082817293,0.042371018,0.034471731
X8,1.021278857,1.719749815,1.405173948,1.096609786,0.989944932,1.791765145,2.323854527,3.297104291,2.247135448,1.360937696,0.930502607,0.443644431,0.264657884,0.138424985,0.073484574,0.027620432
X9,0.599796207,1.132191968,1.34597351,1.422723805,1.095589688,1.403082382,1.855681592,2.049406851,2.458477521,1.559870174,1.046615456,0.348852359,0.225587111,0.100462497,0.057523293,0.028585354
X10,0.33012988,0.741981041,0.837443677,1.586126549,0.948189266,1.091410854,1.332016557,1.503371962,1.441858429,1.567123796,0.94618301,0.411742681,0.157476695,0.052118118,0.04360318,0.042332525
X11,0.363792662,0.702986636,0.940365883,1.179245925,0.935662266,1.280750875,1.240649231,1.2027252,1.467212249,1.48074711,1.259253611,0.604051629,0.199671759,0.04975049,0.037067545,0.036077577
X12,0.628314434,0.860155369,0.680018164,0.814455928,0.651749053,1.042908387,1.144057157,0.903043622,0.928556943,0.774726061,0.80687311,0.644021969,0.270895146,0.090888724,0.036560067,0.032179279
X13,0.519981223,0.532863757,0.380906923,0.446015354,0.419197593,0.630239348,0.739681483,0.806085634,0.622939797,0.522489492,0.452370803,0.407838677,0.322061924,0.141322673,0.061528668,0.022442999
X14,0.401042157,0.621710102,0.500399717,0.248339916,0.257278324,0.328178401,0.51426974,0.536002238,0.419318501,0.197131786,0.18554796,0.208821948,0.190734567,0.276106273,0.099280126,0.035196702
X15,0.186924122,0.555868998,0.476492811,0.400034843,0.136039326,0.260077247,0.25323342,0.450493252,0.421014855,0.320603292,0.234923244,0.156985563,0.204004065,0.190500249,0.233196044,0.108276631
X16,0.350488776,0.491145956,0.694471419,0.556935939,0.172664325,0.179865497,0.261442977,0.413191882,0.412838613,0.381768323,0.357150274,0.191473743,0.094580603,0.156973442,0.112258714,0.123275567
