,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.327179704,0.576373185,0.256632446,0.159136127,0.256206088,0.478560937,0.740592684,0.732884909,0.46944486,0.233508853,0.235581548,0.181669414,0.137616181,0.118114643,0.087978162,0.040549079
X2,0.482309183,5.858879131,0.869487201,0.243112978,0.148463071,0.363583367,0.65760907,0.824548263,0.842336128,0.356221822,0.215217217,0.155473345,0.133966653,0.106120344,0.060829116,0.041746735
X3,0.17457959,1.637192774,7.936914836,0.79603844,0.272885879,0.242140321,0.393745399,0.668842091,1.053835018,0.584000641,0.307032801,0.132505108,0.079676641,0.088318801,0.079289805,0.057871807
X4,0.094093211,0.296713597,2.984047673,12.12499084,1.486105001,0.757731846,0.626876112,0.831149781,1.131941802,1.166778999,0.585495924,0.180366434,0.072530089,0.058678748,0.042378456,0.026693949
X5,0.154310953,0.167549472,0.279062478,2.412488241,4.012171654,1.761976271,1.203246193,1.142265822,1.015669273,1.271287286,0.83446821,0.342897656,0.097222877,0.055006344,0.072851395,0.051779436
X6,0.406512577,0.260760242,0.204300377,0.886550387,2.051950867,3.590934544,1.848242491,1.495496339,1.337536846,1.12246891,1.01510473,0.442575531,0.161052629,0.072105697,0.043666465,0.029783899
X7,0.577624673,0.820840065,0.590276923,0.512351252,1.042723415,1.77775812,2.992272726,1.94257337,1.548324251,1.214565379,0.828724132,0.433640533,0.229211392,0.115197122,0.069939543,0.054152821
X8,0.567657869,0.948650568,0.776911525,0.778852422,0.769459002,1.426895974,1.778268038,3.109081042,2.201498373,1.419468121,0.890286993,0.34336486,0.256178313,0.185263579,0.12774507,0.042691586
X9,0.340708893,0.786667756,1.052309243,1.32430826,0.980832636,1.330699797,1.702328822,1.984863338,3.229027446,1.854625542,1.138042079,0.286084459,0.20678879,0.156328864,0.13226714,0.054485937
X10,0.197305571,0.611572068,0.768216951,1.949178938,0.997911301,1.092147993,1.35155715,1.555159009,1.764582752,2.484462657,1.196647511,0.373452113,0.179390668,0.121362039,0.131484933,0.103911958
X11,0.200079907,0.696784214,1.044065045,1.521042785,1.061741497,1.312477694,1.179967538,1.181520204,1.64523075,1.854294298,1.947061743,0.667899573,0.282188807,0.154816941,0.129251176,0.105492133
X12,0.33556004,0.652976099,0.59580049,0.801256473,0.587667577,0.952342353,0.928787154,0.701263789,0.827815866,0.73287224,0.913188344,1.311941413,0.472048079,0.245547321,0.147716555,0.093736011
X13,0.344995431,0.335858672,0.237217176,0.371272116,0.353393293,0.549651221,0.693806697,0.694634548,0.580990735,0.494282801,0.457588148,0.626182321,1.168927791,0.457768251,0.308131931,0.1085559
X14,0.244392637,0.373248255,0.3043497,0.182827367,0.263485464,0.399482118,0.629262374,0.619982192,0.617841721,0.412545352,0.420926462,0.512623721,0.576156684,1.147892567,0.361470996,0.145616703
X15,0.145321989,0.398043589,0.413819703,0.43141683,0.216415333,0.368159123,0.396724891,0.680397537,0.819434055,0.669316124,0.500869255,0.427150229,0.792936178,0.845364116,1.34247752,0.367526723
X16,0.221163479,0.296357146,0.429819062,0.355548946,0.15559793,0.183252758,0.30312983,0.371752807,0.464430149,0.527665848,0.51896418,0.320191125,0.244767624,0.364454991,0.371622632,0.511798835
