,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.039182998,1.098833355,0.595294318,0.42294507,0.698868159,1.053231019,1.145261468,0.913569372,0.543530471,0.347719855,0.372186166,0.258583766,0.140725461,0.077867683,0.068098322,0.034731442
X2,0.95024235,4.839697336,1.352377601,0.45669018,0.301645015,0.702368267,0.963420406,0.952748227,0.785996481,0.368826139,0.24630835,0.190299327,0.124049802,0.066967701,0.046462855,0.030591717
X3,0.400130464,2.09381531,9.594460596,1.305926904,0.566492806,0.482993783,0.647684763,0.902517182,1.053338593,0.628246202,0.332539585,0.143196635,0.075187588,0.062027001,0.06417306,0.041535782
X4,0.277273981,0.643972521,4.294929836,16.15700092,2.381859761,1.097937603,0.755207567,1.049318172,1.280951167,1.207140788,0.582265977,0.206380566,0.081087889,0.048933496,0.038187005,0.023569252
X5,0.500431513,0.385227214,0.538508756,4.263516604,6.418623394,2.655225664,1.491038779,1.280197381,1.153590146,1.363152621,0.836472478,0.379271877,0.089734042,0.037178549,0.057717431,0.039742341
X6,0.911689439,0.488611733,0.287154868,1.218588394,3.021662261,4.179484081,2.177117394,1.700317076,1.443591127,1.214040739,0.984724498,0.429608364,0.127342961,0.046469406,0.028890804,0.020988977
X7,0.85755581,1.152056826,0.923991368,0.647392819,1.316859209,2.140141738,2.818565987,2.082264337,1.613105447,1.24982928,0.821938286,0.446984797,0.16358058,0.05504628,0.041737817,0.029117078
X8,0.731816452,1.166350494,1.061592124,0.869965781,0.910141061,1.649484416,1.937628306,2.983730207,2.355051288,1.537052375,0.903848376,0.370148625,0.163840393,0.089475776,0.068596917,0.021657059
X9,0.513398504,0.949930296,1.258839372,1.546289192,1.156526918,1.471882111,1.811514091,2.167960465,2.923017168,1.947628397,1.122066066,0.312370367,0.133965418,0.084254669,0.067695116,0.028433078
X10,0.410637852,0.762321059,0.962626501,2.088803861,1.156036546,1.251550963,1.413488361,1.73188126,1.850074677,2.131737726,1.125339375,0.393544563,0.100702936,0.051774191,0.065138952,0.056339403
X11,0.462762587,0.781291203,1.189800382,1.648716622,1.246319527,1.477949431,1.220841463,1.21740811,1.626543116,1.744938927,1.395545395,0.611054663,0.150295505,0.053706218,0.060650166,0.053586163
X12,0.642386487,0.771415144,0.630796524,0.845260454,0.698754858,1.068086455,1.022741062,0.784290837,0.858345873,0.741722756,0.777736142,0.646750687,0.225696669,0.086299474,0.050480134,0.036194698
X13,0.453002855,0.428634924,0.283015149,0.386305821,0.310779059,0.425162758,0.470702242,0.468606958,0.329303289,0.260361691,0.24737144,0.262203053,0.285628562,0.125033139,0.070862502,0.02223731
X14,0.220932706,0.335887211,0.276241993,0.151729759,0.181664692,0.226998296,0.321479825,0.330136174,0.276230026,0.150767523,0.144411739,0.152562455,0.134027913,0.191957546,0.077316827,0.023444772
X15,0.187164753,0.537240647,0.480918408,0.453019359,0.186349381,0.317435198,0.278395344,0.499080801,0.512533951,0.412116866,0.295449722,0.19205489,0.235741005,0.195210919,0.320920353,0.1244981
X16,0.2701008,0.370757365,0.537654126,0.461039815,0.159442768,0.165176757,0.222175004,0.348570243,0.360583983,0.361125783,0.329411128,0.16706834,0.082656671,0.123840497,0.115082857,0.127074428
