,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.176871132,1.624185083,0.911688057,0.629860055,1.028581765,1.238077423,1.112303806,0.853461852,0.544253794,0.338234937,0.37706514,0.338839897,0.19579671,0.134841771,0.06010293,0.029849238
X2,1.513470701,11.09720741,2.604152845,0.746540782,0.535997177,1.247319079,1.395571378,1.155720784,1.037689105,0.454353833,0.309384758,0.303296641,0.216434457,0.138150121,0.054909064,0.034318032
X3,0.615464405,4.130186652,16.61470841,1.675320011,0.801094536,0.740541469,0.923202699,1.002019581,1.018276455,0.581225342,0.343767653,0.185332772,0.112059674,0.110948477,0.062225085,0.039039681
X4,0.368758851,0.965056962,5.176609886,12.67612174,2.280963817,1.121172768,0.760817644,0.956840743,0.953819946,0.732144983,0.427703474,0.222985228,0.121472472,0.068105838,0.031067685,0.017717529
X5,0.606216638,0.618239851,0.688495232,3.926212749,4.879226755,2.311258245,1.335047003,1.059033724,0.889431726,0.748195673,0.530574742,0.339115955,0.146294488,0.047998941,0.037855131,0.025344572
X6,0.93055546,0.748334668,0.441733934,1.244994103,2.712409536,3.007826355,1.819156537,1.354750278,1.087568759,0.726109772,0.66361511,0.374090874,0.190085382,0.058438606,0.019630306,0.015064831
X7,0.782053447,1.468794085,1.240137551,0.664185899,1.252620619,1.864283464,1.96847093,1.627331899,1.277138479,0.755733414,0.602075781,0.424960353,0.224489543,0.067618335,0.031526494,0.020098273
X8,0.702262933,1.411769825,1.172272101,0.883577771,0.819698737,1.373689843,1.56588205,1.786567066,1.601792713,0.859702278,0.634120564,0.359322539,0.2229595,0.115643922,0.049981182,0.017296935
X9,0.45372509,0.954848823,1.11978319,1.169678543,0.942333331,1.147233341,1.43967288,1.461549156,1.629228191,0.996228117,0.738575625,0.289876673,0.211524419,0.101605056,0.042033591,0.022149704
X10,0.312304039,0.672987126,0.756420101,1.31418635,0.721323955,0.761684507,0.854671791,0.994987002,0.945736047,0.659124959,0.532386198,0.284347808,0.125978092,0.046416498,0.03222454,0.030341756
X11,0.426471537,0.692001184,0.99412503,1.150898657,0.935891147,1.063507766,0.905589084,0.852706949,1.088614648,0.831971442,0.588149674,0.445082427,0.18824117,0.053783144,0.034827113,0.032372199
X12,0.721257099,0.86410846,0.709127559,0.905329962,0.76451618,1.061414569,1.015360603,0.757836217,0.807177967,0.599613369,0.595835697,0.384516276,0.227117575,0.113224626,0.037381075,0.029329745
X13,0.674891956,0.604303548,0.415576054,0.570607045,0.525376081,0.686551219,0.721006604,0.74582013,0.620053838,0.413587275,0.428583611,0.344530989,0.150460839,0.104914645,0.056958678,0.016066716
X14,0.494511326,0.675707636,0.488920393,0.324694202,0.374122436,0.415550793,0.565333845,0.586667442,0.518594544,0.197984705,0.216811912,0.266221714,0.130848179,0.079500897,0.048240509,0.026486939
X15,0.160237856,0.389942391,0.289931638,0.344018393,0.13852022,0.257516282,0.19885464,0.333218227,0.32474269,0.235746672,0.199649413,0.161503311,0.171972688,0.082784769,0.060126195,0.049719742
X16,0.35764272,0.493539848,0.628712844,0.61416973,0.236733863,0.20576436,0.266635037,0.473358877,0.497415211,0.393298031,0.379907868,0.201388521,0.094290387,0.162447675,0.045285641,0.013412514
