,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.997764341,0.773614597,0.303876764,0.215822476,0.293921211,0.542683083,0.810706095,0.767235706,0.447210602,0.249655894,0.264331322,0.239813796,0.182017547,0.139762074,0.08390663,0.051907063
X2,0.729302266,3.831692658,0.663908735,0.200607224,0.138332181,0.344070758,0.603644296,0.688471283,0.618363398,0.266339692,0.181839838,0.171163488,0.16315063,0.114288611,0.05440633,0.04957451
X3,0.169663559,1.158133035,5.119047745,0.554891606,0.22545759,0.214077699,0.343663292,0.561112973,0.700556487,0.388604651,0.2369294,0.131809889,0.09143772,0.089993483,0.06816154,0.064446783
X4,0.118167072,0.256501636,1.909651191,7.07162847,1.098037273,0.564639127,0.481455999,0.649044944,0.789256409,0.796287028,0.448775333,0.173614662,0.080978738,0.062228824,0.036793961,0.03137144
X5,0.215497988,0.18471687,0.235003415,1.901914305,3.675424613,1.672934174,1.154043325,1.043506717,0.880253364,1.083459045,0.79549362,0.392489666,0.116851788,0.068788699,0.075177195,0.071310184
X6,0.457673968,0.270137842,0.14377386,0.68218875,1.929010235,3.240352022,1.820410625,1.444960009,1.188017523,0.995400266,1.000127072,0.518044995,0.17978678,0.084694798,0.043264089,0.037218913
X7,0.674948732,0.905846716,0.60314289,0.432151058,1.022598347,1.802919833,2.965042628,1.983066431,1.460235619,1.11564308,0.875610373,0.585718766,0.299027653,0.150486979,0.07604696,0.077315226
X8,0.743663468,1.065796158,0.857433359,0.652523123,0.732168276,1.404517333,1.862042397,3.031421803,2.055545458,1.298225013,0.925917233,0.470272838,0.35981917,0.245046186,0.138092214,0.061738443
X9,0.407884288,0.770188702,0.911312177,1.073646975,0.879841624,1.195845916,1.612551117,1.848432617,2.620242045,1.568602113,1.093737014,0.347047844,0.234901946,0.166909261,0.116630749,0.06267344
X10,0.429395522,0.577512195,0.65968172,1.447669415,0.889545489,0.995611997,1.247551831,1.432446141,1.480705068,1.914817716,1.086144135,0.424079683,0.183972284,0.118077974,0.105745037,0.112715109
X11,0.360625304,0.686174264,0.968828882,1.313997248,1.098982437,1.365885577,1.268633337,1.239456574,1.587597278,1.720861365,1.823377765,0.800143147,0.339362543,0.174552248,0.121479455,0.126776303
X12,0.79998495,0.983035543,0.76279278,1.007670784,0.831217355,1.322614609,1.366850285,0.998482089,1.012301468,0.882824072,1.148196226,1.519987779,0.682957304,0.34234786,0.167407171,0.139068561
X13,0.842368086,0.789791591,0.518103146,0.664305533,0.575390518,0.852710929,1.110430259,1.089450966,0.722739885,0.544021835,0.603654635,0.944824953,1.485867002,0.689027444,0.391522683,0.182841318
X14,0.542651916,0.825297464,0.695078842,0.382640587,0.441380589,0.610709943,0.986435227,1.052811037,0.852930786,0.472275865,0.534015289,0.733604188,0.878249937,1.323064403,0.415993439,0.22680514
X15,0.249957364,0.757524776,0.709751293,0.614202629,0.26913728,0.488140277,0.496724512,0.900696639,0.932728135,0.722001688,0.556381649,0.504356429,0.978312728,0.91259335,1.19703701,0.434392577
X16,0.508665613,0.704661292,1.074823876,0.888916239,0.317558212,0.335838678,0.525325922,0.749479057,0.829606266,0.895493761,0.893330493,0.557773251,0.425075436,0.600246524,0.508233392,0.67481698
