,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.318934844,1.221994987,0.614006478,0.383809193,0.586700136,0.958457314,1.270779648,1.167855589,0.639710235,0.365616657,0.378015588,0.279758418,0.166641864,0.120693314,0.061595951,0.03171876
X2,1.071104168,8.477824987,1.651811608,0.492977056,0.288056309,0.667116976,1.113520659,1.313521567,1.051503441,0.452909926,0.273955911,0.218794749,0.157653869,0.107589088,0.044401274,0.029826557
X3,0.412101614,2.603122164,10.68347612,1.358426878,0.509970778,0.407511964,0.675103922,1.038543225,1.303462114,0.736514679,0.359972068,0.157587038,0.089197956,0.086011141,0.056143152,0.036677655
X4,0.230678658,0.629648339,4.402207928,17.04053497,2.019716298,0.931404596,0.712260902,1.027730815,1.262943573,1.249702008,0.62585447,0.262645737,0.131708103,0.058574736,0.029394648,0.01799869
X5,0.349688123,0.314987466,0.496027024,3.534203138,4.726641885,1.894092569,1.170912197,1.037648212,0.911267494,1.184422771,0.801355951,0.434603684,0.209972875,0.041657427,0.038216412,0.026105299
X6,0.706901593,0.396680501,0.313390696,1.03429158,2.186259479,3.256426288,1.684576503,1.299674804,1.051467003,0.909116105,0.903906332,0.513319366,0.285095264,0.049516958,0.019829481,0.01598588
X7,0.838704187,1.105722086,0.878120848,0.590525089,1.038870853,1.659011744,2.564716323,1.712299908,1.231168189,0.956070683,0.765526973,0.566254904,0.326738348,0.072874207,0.032732091,0.023221996
X8,0.857068258,1.398003412,1.18642694,0.877076873,0.753602871,1.285301754,1.645588087,2.801853097,1.811188316,1.152864238,0.830140351,0.493097087,0.315857688,0.13446547,0.06529211,0.020711195
X9,0.51135236,0.996866314,1.346936569,1.431489046,0.921361893,1.081651017,1.406625027,1.679835047,2.431931627,1.426980717,0.993247139,0.41695586,0.310319216,0.103708136,0.058690083,0.025511146
X10,0.313406067,0.741481885,0.980716391,1.924357879,0.983789993,0.932201719,1.082353235,1.294641474,1.369406084,1.841456195,1.034774066,0.518071142,0.248522841,0.069257016,0.054501118,0.047471012
X11,0.362213454,0.762725593,1.136387941,1.518760842,1.094005536,1.286446161,1.116959935,1.104906182,1.432812084,1.587582465,1.643406864,0.859309258,0.349615814,0.076832636,0.049600612,0.047287734
X12,0.556513014,0.835569771,0.9296233,1.015566794,0.765849373,1.177174308,1.249528529,1.017454771,1.12493221,0.965404836,1.134131255,1.21935238,0.512831229,0.123563566,0.04823972,0.036694467
X13,0.45710066,0.48022611,0.575941415,0.550952571,0.536308235,0.815691594,0.939432972,1.061190005,0.923399633,0.851464115,0.765652536,0.826623046,0.702732029,0.193305244,0.078017455,0.024554091
X14,0.302246112,0.485055924,0.390253647,0.2117878,0.238514713,0.306200272,0.463764889,0.503707148,0.421069899,0.239563632,0.228639506,0.257200186,0.244572713,0.444167281,0.11887481,0.034199399
X15,0.125083141,0.365967345,0.339776667,0.323731969,0.122046209,0.207043401,0.197687529,0.381907043,0.393015618,0.320239284,0.232578485,0.163012045,0.217876009,0.218920005,0.298495458,0.10470082
X16,0.173548711,0.247697021,0.356427382,0.298417288,0.098398225,0.104484096,0.148039322,0.233117506,0.254701659,0.256090894,0.23894392,0.122280687,0.068776492,0.10587502,0.084973952,0.122548044
