,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.543001159,0.910124925,0.345519064,0.275089512,0.457204859,0.835344983,1.097576472,0.977411015,0.52677908,0.319118708,0.351173337,0.240419062,0.161284131,0.096108862,0.093616502,0.04423764
X2,0.793513641,3.662689034,0.760050292,0.258240131,0.164165115,0.444352666,0.713365467,0.823427838,0.707210392,0.300990389,0.220920064,0.162455658,0.127148996,0.07371639,0.052678658,0.038139506
X3,0.165143519,1.154600905,5.552254427,0.71279654,0.277411498,0.263669743,0.368325513,0.652500675,0.874639031,0.451799805,0.267848298,0.125064136,0.073029329,0.062900896,0.063356681,0.049407871
X4,0.124687155,0.277815394,2.184484487,9.062670596,1.597492788,0.818489231,0.639531298,0.897966019,1.095775839,1.008440104,0.482829108,0.167747318,0.078220267,0.045255335,0.037943562,0.023035934
X5,0.26199219,0.183819907,0.26563664,2.640007921,5.254580863,2.165035686,1.375862833,1.228281296,1.064449113,1.251969734,0.787095937,0.346045951,0.11301543,0.046751264,0.076874098,0.060938868
X6,0.595274813,0.306550569,0.173389146,0.947612418,2.537021028,4.313844193,2.087776941,1.616770287,1.33842581,1.153548121,0.98250983,0.407330001,0.150412109,0.058759215,0.044723806,0.029507028
X7,0.702929194,0.855921221,0.57357759,0.521222859,1.203692158,2.030401763,3.283207855,2.096133706,1.518568303,1.205311003,0.843933784,0.462591706,0.212945505,0.085716938,0.068231252,0.05592458
X8,0.640132297,0.914428344,0.802452529,0.87305569,0.843110984,1.552737265,1.90259725,3.245050689,2.111710487,1.371661869,0.831506563,0.374293903,0.258924442,0.138507512,0.120867692,0.040486467
X9,0.311424867,0.590787161,0.8505018,1.157297659,0.99941277,1.333955598,1.659647139,1.868036687,2.814065857,1.681963135,0.981598757,0.270490417,0.187193856,0.101656016,0.098188817,0.042056549
X10,0.425377137,0.495681929,0.618219629,1.617915241,0.956878341,1.121462733,1.34206603,1.501399679,1.601139462,2.172261015,1.069552034,0.355043696,0.168161595,0.079644914,0.105148281,0.083719101
X11,0.332311089,0.650922655,0.940385703,1.390394533,1.105868785,1.388905734,1.175389927,1.122844846,1.445923331,1.681956001,1.8061888,0.714906806,0.304233922,0.116546599,0.121762891,0.094656531
X12,0.550180245,0.651259123,0.544616572,0.772915592,0.670064126,1.072524333,1.027272983,0.772283189,0.789485144,0.711433994,0.991185471,1.388782875,0.507599518,0.190722485,0.140430704,0.087231721
X13,0.437248973,0.394879478,0.272130752,0.40982831,0.418736607,0.615433481,0.677205229,0.722617384,0.545516125,0.481662394,0.495631949,0.649288436,1.061256026,0.357070865,0.253709118,0.096630266
X14,0.205704893,0.319602279,0.267395598,0.154561675,0.222023997,0.321221393,0.44048642,0.452424946,0.405165064,0.269077198,0.312657763,0.360508765,0.382081752,0.66638601,0.222822704,0.092343503
X15,0.163230144,0.451680571,0.420452134,0.433047051,0.228954702,0.387223586,0.381030733,0.679158177,0.648617153,0.583775917,0.466397822,0.408398323,0.630364753,0.549512835,1.010438358,0.29176207
X16,0.267655519,0.368728848,0.539184747,0.43910844,0.202645916,0.222743893,0.334934246,0.393551877,0.447428995,0.495992512,0.488376426,0.317042009,0.219582541,0.282524993,0.326744688,0.490388146
