,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.199420789,2.453333702,1.260833488,0.71948913,0.917697553,1.315700131,1.516479527,1.245036316,0.676192062,0.371079212,0.369063591,0.286633233,0.187498052,0.136971757,0.070247202,0.03879762
X2,2.418820344,12.72515015,3.502017408,0.933894485,0.501973439,1.125508894,1.595657518,1.536264479,1.19550698,0.498887386,0.313701454,0.277438099,0.214914824,0.144904518,0.063884818,0.043784402
X3,0.92896959,4.980208563,17.50266916,2.160647835,0.82401212,0.67833648,0.980909461,1.272364767,1.319022803,0.697120734,0.361177006,0.171467816,0.11943092,0.123007351,0.080120546,0.052286388
X4,0.466297221,1.261080736,5.961179182,15.78072192,2.421889822,1.136541075,0.850284047,1.103696683,1.152834147,0.968561817,0.525135098,0.223562268,0.111217206,0.066095754,0.033813394,0.02094645
X5,0.562478179,0.585113393,0.730013569,3.995564117,4.493225983,2.044537384,1.292252013,1.104563834,0.881562377,0.888610178,0.62678414,0.326130988,0.119801387,0.03571823,0.031097529,0.023144191
X6,0.867570606,0.5947101,0.393651572,1.189409815,2.326798977,3.039827019,1.779024257,1.386907142,1.100559927,0.832637201,0.766608945,0.393258109,0.160213739,0.039928186,0.014986418,0.01288774
X7,0.98510686,1.493184869,1.199985753,0.69728839,1.176391114,1.842290182,2.325963445,1.736627384,1.266387912,0.91464545,0.6677132,0.43958197,0.198761168,0.055822352,0.02700708,0.019422562
X8,0.873745696,1.438386667,1.160812246,0.890918931,0.7823775,1.363603512,1.613298658,2.208041921,1.67472205,1.022786146,0.748372806,0.360589461,0.178765846,0.089222348,0.043117688,0.015145135
X9,0.590443764,1.078334811,1.230550876,1.18468243,0.887902813,1.140104997,1.40347754,1.5349774,1.814511899,1.211512305,0.869722633,0.313234889,0.175435819,0.076900629,0.037495516,0.018143471
X10,0.410742792,0.739879114,0.810038073,1.317459879,0.743357481,0.880626627,1.0225182,1.153523918,1.115165989,1.134867968,0.755703139,0.366904086,0.118520088,0.041890897,0.030488181,0.028578139
X11,0.400427234,0.705075504,0.951629281,1.031644208,0.755938264,1.042634587,0.998059816,0.97287207,1.212217589,1.187484841,1.00722836,0.537241519,0.150249644,0.038086186,0.02808121,0.025127069
X12,0.751303104,0.972833424,0.774515243,0.750285632,0.56536582,0.907936797,0.976119681,0.771902105,0.826222649,0.704059858,0.729304969,0.5324284,0.214832623,0.076369909,0.026097946,0.026439054
X13,0.54481202,0.573848859,0.421221592,0.413859348,0.332168497,0.473627981,0.538078932,0.588483241,0.456322261,0.373737714,0.345297931,0.310305008,0.204913926,0.106620582,0.040627113,0.013183583
X14,0.438073521,0.691342327,0.544399578,0.237146715,0.231666463,0.268334465,0.402957583,0.425982677,0.337572129,0.163848982,0.166234436,0.170788045,0.150090844,0.182312294,0.075241477,0.023041473
X15,0.180067517,0.558894999,0.471050847,0.35709653,0.109084787,0.204045238,0.174299737,0.322272935,0.30671526,0.255880131,0.211935515,0.124123777,0.150646493,0.130806032,0.135404905,0.07798356
X16,0.283610231,0.407786307,0.540349756,0.395849743,0.119854625,0.124161285,0.166929511,0.289161778,0.276105465,0.269262964,0.260339853,0.144722089,0.066065445,0.108277715,0.070388143,0.063658911
