,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.20425306,2.248826562,1.155274449,0.682574941,0.970808565,1.331177342,1.318316715,1.045229873,0.592113183,0.352261661,0.332474729,0.284283028,0.173670849,0.132922234,0.066183688,0.030213312
X2,2.121545171,9.285768549,2.669520246,0.748200515,0.449381197,1.058420027,1.300653353,1.140139757,0.912731718,0.409767524,0.2578537,0.232535817,0.181082273,0.115485967,0.048533415,0.029721818
X3,0.740634599,3.824716001,13.64403441,1.647782469,0.727836114,0.591087575,0.818455384,0.954938576,0.909810389,0.52932469,0.292091739,0.154315021,0.095165913,0.090891181,0.055060173,0.037000326
X4,0.393974874,1.027751236,5.066896591,14.12858949,2.401310068,1.110119046,0.785166171,0.975584905,0.972764342,0.798842568,0.446619392,0.225525512,0.110732479,0.054161211,0.025647978,0.016074056
X5,0.610233418,0.546810005,0.672695948,4.077068325,5.075995688,2.341688695,1.432128125,1.195927257,0.951656136,0.951874625,0.678342716,0.385700687,0.179033276,0.039829326,0.032426995,0.022127583
X6,1.018233276,0.673579462,0.375132032,1.212734337,2.708248419,3.345503441,1.987584502,1.501356855,1.199048774,0.957536974,0.878762106,0.476404745,0.24007255,0.044753203,0.016391645,0.010929706
X7,0.904849837,1.437285758,1.158199432,0.63749705,1.258877619,1.988454382,2.413302735,1.843296727,1.355534265,1.072759925,0.798258565,0.542634532,0.266083241,0.055025767,0.026529341,0.018030902
X8,0.863120424,1.474338761,1.257643633,0.873851649,0.836819205,1.458862081,1.73663894,2.204130924,1.791535818,1.178402786,0.900837387,0.452697102,0.234021826,0.088934148,0.042403859,0.015899033
X9,0.52447857,1.003412447,1.217213325,1.195551107,0.967538015,1.205692771,1.490939123,1.62624669,1.914477786,1.449033505,1.078110784,0.406214369,0.230584323,0.060315759,0.036084781,0.016692308
X10,0.35630249,0.640061972,0.827289713,1.367102572,0.869623636,0.989466147,1.181092082,1.287843837,1.331955292,1.404782165,1.002726128,0.502080096,0.178077365,0.035304828,0.028907997,0.02876321
X11,0.283889817,0.597144351,0.952917309,1.114213495,0.886786575,1.234270891,1.203086311,1.1560459,1.507295449,1.617813516,1.397672533,0.780543331,0.245968179,0.033487991,0.023237052,0.022059521
X12,0.459121727,0.656970382,0.707044602,0.805907395,0.655391574,1.067050023,1.150168605,0.924021415,1.048081409,0.903407175,1.017719279,0.801079084,0.355435227,0.069766309,0.02314656,0.019308732
X13,0.417022938,0.439657115,0.385933637,0.442885661,0.464322459,0.719940385,0.786754994,0.841922796,0.700771378,0.654119272,0.59251554,0.6120762,0.342338525,0.16091501,0.048255557,0.014482826
X14,0.215578456,0.309912443,0.252322377,0.142336179,0.18842257,0.235287577,0.314043566,0.30612713,0.21927712,0.1207599,0.100509047,0.148520765,0.169579752,0.207617729,0.076219974,0.023424954
X15,0.096144275,0.285717818,0.269957215,0.246192964,0.100180626,0.167905367,0.167476485,0.283275251,0.299023809,0.234455141,0.148411338,0.096349244,0.150919751,0.153175837,0.136545272,0.111507915
X16,0.114843452,0.157901642,0.252431631,0.231089099,0.071193582,0.080225093,0.121039407,0.221501784,0.18690353,0.212629109,0.148480988,0.07815469,0.041863692,0.097352567,0.086177242,0.067164443
