,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.937701995,1.329411804,0.637577609,0.41047659,0.642354082,1.085101252,1.362444208,1.134150668,0.607162535,0.322376559,0.310327134,0.222555455,0.119013383,0.069217639,0.035397747,0.021243645
X2,1.281476093,6.266418708,1.738066583,0.509921041,0.345192332,0.846814995,1.236022985,1.325802684,1.026427808,0.401829529,0.240294577,0.193799466,0.125447327,0.070862949,0.030850602,0.022909948
X3,0.450218125,2.538180507,10.51415229,1.365900622,0.615045553,0.571249869,0.794167918,1.130015701,1.287325394,0.651588229,0.314707466,0.140728426,0.073784366,0.062833764,0.042123548,0.028436488
X4,0.250834829,0.643413899,3.872452518,12.50179771,2.347959882,1.17358255,0.868671572,1.102632678,1.234619523,1.066524956,0.473766718,0.176910751,0.071386899,0.040532511,0.020632114,0.013883647
X5,0.452517855,0.400495841,0.559205797,4.012909391,6.354091282,2.789780671,1.701155214,1.3572331,1.099713382,1.226078774,0.670226413,0.346906341,0.094624428,0.031411565,0.028989247,0.022310515
X6,0.95876815,0.553747017,0.336978736,1.328330846,3.316899226,4.877793943,2.545310986,1.783398132,1.336364721,1.028857423,0.777453977,0.418303752,0.151529306,0.046263162,0.016403945,0.016519473
X7,1.097961734,1.428388874,1.121380759,0.738789952,1.529144933,2.528750511,3.551601201,2.285219032,1.532134955,1.042015925,0.614492158,0.428003657,0.193409765,0.060821124,0.029464118,0.021142264
X8,0.980819961,1.537496098,1.305159845,0.998559351,0.984489911,1.763632083,2.168067628,3.139772808,2.028484253,1.146699429,0.544940158,0.316443717,0.18374688,0.097487736,0.048259212,0.015966756
X9,0.554506563,1.036248842,1.342158781,1.406859362,1.099759774,1.364930494,1.722600301,1.860799828,2.406881189,1.335497427,0.60700666,0.222124691,0.134286561,0.07656079,0.040059775,0.01976707
X10,0.407418804,0.64487822,0.804672771,1.572814553,0.946767498,1.011123756,1.167571632,1.275953622,1.255675019,1.427294989,0.605030522,0.253301531,0.087597276,0.039242676,0.031527579,0.031628195
X11,0.360020211,0.610940318,0.879564148,1.098619932,0.889011035,1.030032999,0.829370627,0.738803559,0.881429323,0.890843596,0.757209919,0.365789646,0.11145198,0.038571812,0.027903725,0.030991118
X12,0.553564848,0.644770377,0.520626419,0.649664643,0.591137115,0.911716735,0.887634091,0.638405302,0.619635025,0.496156308,0.48738757,0.555332682,0.198008519,0.072500331,0.026106019,0.024635979
X13,0.37597412,0.36939712,0.255203503,0.321947975,0.281067913,0.406969169,0.458302344,0.474060884,0.331314449,0.245407082,0.196823157,0.229665766,0.271852365,0.1039428,0.035955859,0.011395611
X14,0.189387428,0.303903794,0.248260403,0.130799154,0.151636511,0.200256851,0.292497617,0.290045244,0.234436335,0.119022154,0.110234217,0.129339054,0.112338777,0.187089638,0.054722469,0.013688859
X15,0.082955387,0.247155832,0.223032953,0.204816177,0.079844112,0.141225148,0.133988663,0.232415682,0.226001862,0.177272765,0.138475264,0.094394848,0.105716723,0.090830488,0.129830618,0.062223446
X16,0.133784539,0.201047844,0.275949813,0.239194293,0.07506787,0.084917064,0.11540821,0.166446352,0.170938999,0.162155444,0.152621755,0.080420458,0.038949137,0.05894644,0.044600925,0.06413039
