,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.218935795,1.677563865,0.921893546,0.606905936,0.99373297,1.451693903,1.542254677,1.117833204,0.604375019,0.33321032,0.348321057,0.299520036,0.175371147,0.126521187,0.065741331,0.033612294
X2,1.454585785,9.79412689,2.000483224,0.622668671,0.414966165,0.970656098,1.239153789,1.090539828,0.801665775,0.352477227,0.228883073,0.208167026,0.149954149,0.097674717,0.042657568,0.02771288
X3,0.620322521,3.18731764,11.52830488,1.450386083,0.677821998,0.618165595,0.780040335,0.914901866,0.904687852,0.492860335,0.260612218,0.142868546,0.083849178,0.081262935,0.05357931,0.034103316
X4,0.395106465,0.874428136,4.391132395,12.96388654,2.518133631,1.228661146,0.837135468,0.986451706,1.026350295,0.870349779,0.4614128,0.214464987,0.099388614,0.056627862,0.029890876,0.017531923
X5,0.670277578,0.520902528,0.648268799,4.352599363,6.398615283,2.918174459,1.694240854,1.271385183,1.027178777,1.060052905,0.736861105,0.4195145,0.147992138,0.043040799,0.039112467,0.027376929
X6,1.240315371,0.709910202,0.374757617,1.37821115,3.42557155,4.508607435,2.472896756,1.669901276,1.304064217,1.013490639,0.931106653,0.521359246,0.207112642,0.052810834,0.021026925,0.015743226
X7,1.232575279,1.720974649,1.242065428,0.72941846,1.535709532,2.491137543,3.006937772,2.066108681,1.4783539,1.071366681,0.797282299,0.573025351,0.242245488,0.066680645,0.032908277,0.022593964
X8,0.963595622,1.494252205,1.238800583,0.888183858,0.916248144,1.637847968,1.931798943,2.414924366,1.893396482,1.175787749,0.856479908,0.458363371,0.205873654,0.091664515,0.045903605,0.014798858
X9,0.678748243,1.093340442,1.238229991,1.245552675,1.032582271,1.324652172,1.638992046,1.730896089,2.056410857,1.443245639,1.031824884,0.407819832,0.194641668,0.065325772,0.038603183,0.016996279
X10,0.382182624,0.831325028,0.890039039,1.453573173,0.896632496,1.030988426,1.195561305,1.320000689,1.340073579,1.342968627,0.906366206,0.476173272,0.143897482,0.037642638,0.030790973,0.025727127
X11,0.423551604,0.782437657,1.016059379,1.159127428,0.963972132,1.266081195,1.184686222,1.11748479,1.462194752,1.452556983,1.206163849,0.705553028,0.192116959,0.041825213,0.030772493,0.027045437
X12,0.721668215,1.062619123,0.807454105,0.939596517,0.787803339,1.195699665,1.256501981,0.972009439,1.083865811,0.911195482,0.953774259,0.770517693,0.313296292,0.095416731,0.036860924,0.025824565
X13,0.594559347,0.707140744,0.479865398,0.547078489,0.446322944,0.634157466,0.705719639,0.735282601,0.581336362,0.500809166,0.454603027,0.470154657,0.254734953,0.135193748,0.054073812,0.016565466
X14,0.375627469,0.621012312,0.5334104,0.259118201,0.264429735,0.314118335,0.428010555,0.41538018,0.305197174,0.150401593,0.158610013,0.196017294,0.16766505,0.187710203,0.085043837,0.024002044
X15,0.18702929,0.561927607,0.561585106,0.447696491,0.136887406,0.241736013,0.208255108,0.344144117,0.335659659,0.257045977,0.205641607,0.155194055,0.176420899,0.148321019,0.14555717,0.087715666
X16,0.242325609,0.365634948,0.565359787,0.449410548,0.123225596,0.127147578,0.169591563,0.247320325,0.264803684,0.232073688,0.240213101,0.11808938,0.072213924,0.106368086,0.079789273,0.065589085
