,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.870876807,0.943574775,0.373580522,0.253171588,0.335862006,0.655843235,1.034230594,0.920042313,0.448951204,0.294227216,0.312045293,0.25033322,0.161401078,0.132536659,0.07109389,0.037908536
X2,0.865953573,4.481639498,0.889786646,0.252074811,0.156427238,0.402577657,0.76881514,0.93100172,0.742276142,0.316226719,0.210519779,0.173823945,0.148955173,0.112296531,0.04629893,0.035474223
X3,0.212036087,1.419850659,6.675477925,0.801227091,0.296434176,0.252080345,0.460804053,0.718782194,0.963702925,0.547955805,0.286065157,0.143251617,0.090494646,0.089894193,0.056724668,0.047289207
X4,0.131602359,0.311829493,2.596952378,10.35650746,1.560282866,0.777386755,0.646986463,0.835551682,1.082847504,1.085005876,0.55216954,0.225822184,0.086863895,0.06416785,0.03185901,0.020840003
X5,0.226273555,0.175286487,0.309149028,2.552076459,4.416787448,1.856791538,1.244935945,1.120562518,0.978964219,1.253775626,0.848946917,0.431860388,0.116143009,0.059121239,0.056115639,0.044583591
X6,0.560437597,0.283782903,0.21759868,0.878430397,2.133436359,3.735819376,1.905947728,1.457475082,1.238761523,1.049546776,1.010885232,0.516040875,0.156701033,0.065123849,0.03131584,0.022217996
X7,0.764109395,0.884494251,0.656623282,0.51528489,1.075488433,1.824486792,3.118595871,1.898635934,1.450914673,1.165425122,0.893068019,0.594933536,0.230120894,0.109056886,0.048268108,0.045014114
X8,0.673257149,1.013733159,0.837523412,0.763828339,0.759416481,1.390934001,1.735737912,3.030517931,1.984272024,1.319324958,0.941052556,0.494079203,0.262297836,0.169478116,0.08543297,0.033861898
X9,0.306184381,0.666510809,0.982571813,1.149015112,0.916971003,1.231849336,1.586228388,1.785873215,2.76936616,1.641734395,1.132034135,0.411055694,0.209395024,0.129525933,0.08066805,0.03615801
X10,0.372731374,0.505899601,0.747719079,1.71647765,0.956656191,1.038228377,1.293728858,1.451938084,1.568907374,2.289664688,1.187402041,0.526926407,0.188156591,0.108693554,0.08425313,0.073240803
X11,0.285056825,0.624932909,0.992199525,1.460810486,1.110195146,1.407070793,1.278359387,1.249068996,1.642549112,1.883080814,2.154202516,0.944410896,0.331052203,0.157922501,0.094493828,0.081724541
X12,0.519764499,0.674308951,0.727622473,0.956733752,0.777544912,1.240488113,1.302562902,1.017429364,1.135226225,1.009301037,1.296009525,1.773000203,0.584442011,0.265872342,0.116356586,0.08031509
X13,0.408954961,0.372265245,0.299667648,0.463205924,0.40315311,0.607176723,0.735610489,0.7596705,0.613065716,0.547411716,0.560977013,0.753030949,1.249703783,0.451641305,0.226512425,0.092105689
X14,0.249176197,0.391294586,0.324522691,0.214008642,0.283831932,0.395610833,0.573462072,0.559687251,0.558306737,0.378609975,0.42924095,0.536708797,0.577949263,1.15929008,0.290691064,0.120388079
X15,0.099977394,0.284923632,0.288458405,0.326181658,0.159844248,0.251233465,0.258565579,0.427187175,0.536036826,0.433180891,0.360688206,0.326863836,0.566931357,0.601427513,0.83561744,0.245818896
X16,0.195697493,0.252837558,0.362628225,0.298054162,0.132004774,0.160098599,0.255237628,0.291007437,0.337793436,0.405566206,0.412055089,0.261903506,0.19973673,0.297519533,0.269463595,0.461304487
