,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.27036119,1.573203162,0.79271194,0.515505677,0.766425535,1.153173351,1.293460328,1.036932745,0.583328418,0.372044932,0.385617595,0.313815532,0.191830637,0.136158872,0.069849364,0.03941437
X2,1.472449656,6.924073757,1.884873783,0.570136318,0.355655347,0.840614456,1.174671232,1.139205314,0.899221604,0.411450677,0.269352114,0.246199594,0.188290481,0.123310988,0.052574503,0.039426573
X3,0.522505233,2.747723549,10.64934389,1.421178921,0.611453627,0.5133275,0.749033554,0.980570054,1.081975671,0.628163121,0.332398815,0.17087726,0.105749872,0.102317054,0.065658826,0.049828831
X4,0.30244005,0.742515047,4.17220978,13.50359924,2.298568588,1.08388031,0.796694212,1.011196086,1.15011695,1.034328584,0.530058678,0.233399902,0.108056269,0.06400413,0.032042241,0.022176585
X5,0.484471074,0.410988443,0.562697902,3.86380946,5.290878341,2.342752499,1.431173689,1.191618292,1.009038396,1.114565726,0.740630974,0.398223509,0.142418011,0.047536941,0.042811056,0.034481817
X6,0.85681232,0.512853203,0.325738414,1.193178255,2.703262146,3.617323658,2.0104795,1.489129084,1.220334057,0.987171936,0.880828366,0.463337748,0.189350111,0.053970773,0.021850257,0.017584335
X7,0.855670023,1.213295574,0.988582068,0.649236555,1.268314023,2.002496862,2.632837926,1.847587973,1.383400738,1.044700064,0.759030647,0.51394779,0.23181698,0.073087782,0.03426227,0.0277707
X8,0.769696649,1.234815237,1.082404722,0.889703185,0.838967126,1.450216334,1.727030574,2.383536628,1.810823367,1.147121034,0.783987687,0.410704193,0.223164164,0.114758834,0.05612719,0.021210728
X9,0.494739724,0.916347333,1.177040897,1.2932804,1.011473417,1.24048109,1.539987483,1.662169585,2.134478217,1.406786845,0.935278438,0.343304088,0.196871927,0.091086727,0.0512781,0.025023638
X10,0.426674687,0.69642429,0.88010156,1.664450247,0.974110239,1.024583124,1.173859124,1.293534525,1.336129031,1.496092525,0.90135002,0.413304517,0.148976642,0.059672176,0.04771076,0.047065316
X11,0.403076041,0.702111235,1.039568641,1.335557089,1.052819304,1.290152019,1.132758905,1.044412367,1.348221997,1.404847421,1.218931672,0.653931709,0.209836198,0.066369718,0.044424428,0.043698128
X12,0.694323295,0.840704849,0.755382999,0.940450164,0.774521068,1.178900226,1.186237089,0.876142442,0.937845133,0.796134152,0.881049073,0.806723089,0.334865519,0.122615276,0.046734829,0.038339885
X13,0.60251298,0.582432859,0.428452828,0.532377964,0.475865244,0.68183398,0.759718112,0.77175777,0.586741605,0.484128358,0.441114679,0.483428333,0.419441403,0.207413157,0.083177598,0.030173095
X14,0.37756592,0.560886577,0.458851329,0.256276571,0.292555275,0.361986655,0.515981635,0.532018807,0.432394018,0.223858914,0.216767392,0.262642147,0.253047423,0.344210355,0.114466242,0.042124818
X15,0.155447276,0.450030709,0.403262912,0.374348051,0.143862342,0.250960652,0.229935862,0.407639488,0.416390032,0.333017543,0.236610574,0.169543488,0.23696521,0.217996649,0.24546854,0.120506988
X16,0.274942203,0.379360296,0.557956507,0.477812829,0.161247197,0.162995366,0.227625023,0.37524015,0.381582133,0.377740149,0.334723834,0.177481129,0.096559263,0.16323167,0.120690624,0.128399471
