,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.791798689,1.035136449,0.560819345,0.361503461,0.62090778,0.966754023,1.095314541,0.881131348,0.488888089,0.293587092,0.32401808,0.261856221,0.157665591,0.107106275,0.054466212,0.031022027
X2,0.929181875,7.718699527,1.628744787,0.486753041,0.320596466,0.794488313,1.123439214,1.092280275,0.859945203,0.39151303,0.25844618,0.226421163,0.163612014,0.1043108,0.044028612,0.032815239
X3,0.412308436,2.654978142,11.08731025,1.329343133,0.569818182,0.520724902,0.728303062,0.976062551,1.088277553,0.624286969,0.333028755,0.167888512,0.097405995,0.092006731,0.059511734,0.043702044
X4,0.237904151,0.634978577,4.162734931,13.61342913,2.211334784,1.081437053,0.776487735,0.986390948,1.132732149,1.055639194,0.539964624,0.221099657,0.093447406,0.060184703,0.030314699,0.020753507
X5,0.428220117,0.375660267,0.52202081,3.859968656,5.732392148,2.5064881,1.468935417,1.149447611,0.986021506,1.165592801,0.783273818,0.404693524,0.116478443,0.048214532,0.043963985,0.034955918
X6,0.862782173,0.537270672,0.315630103,1.221257209,2.941467277,4.166093655,2.17292525,1.495641097,1.18698303,1.006632329,0.942723701,0.485762618,0.168720479,0.060536463,0.024175177,0.0205446
X7,0.877583751,1.344365074,1.028871911,0.664738259,1.315765412,2.160144234,2.89309031,1.874400479,1.331587041,1.00080571,0.77566751,0.517508764,0.22140518,0.082824662,0.038433721,0.030218051
X8,0.713227159,1.252099121,1.089637069,0.853297062,0.823478527,1.464425374,1.750120864,2.444251991,1.722218511,1.081279379,0.743583868,0.387534112,0.211100746,0.122114562,0.059571406,0.021293303
X9,0.439692374,0.878863538,1.138517722,1.283148837,0.978763005,1.207867411,1.486517066,1.585780136,2.088550497,1.313422075,0.877549776,0.304859409,0.162375805,0.094606472,0.052082166,0.024910302
X10,0.300297155,0.708423748,0.843870884,1.685869784,0.974892537,1.015498688,1.130144507,1.226321938,1.262658773,1.505139798,0.882057959,0.374848231,0.124040793,0.062226192,0.049364886,0.047784876
X11,0.387152214,0.761742271,1.060955395,1.37066154,1.117652504,1.356882829,1.12484241,1.001343959,1.277186416,1.360542161,1.262388742,0.639701744,0.187065744,0.070816983,0.047063601,0.046947383
X12,0.651328117,0.905778973,0.740751697,0.933062577,0.786882634,1.220002644,1.180609453,0.827847915,0.85145104,0.734840144,0.863677592,0.826522874,0.314692301,0.126792757,0.048520173,0.04008207
X13,0.55465864,0.555010323,0.377744021,0.493141524,0.420219513,0.609222042,0.685530943,0.665052185,0.462818247,0.369388403,0.357440595,0.412313254,0.427588988,0.201154015,0.08094219,0.028766251
X14,0.34547338,0.527606594,0.435253923,0.241829489,0.281155361,0.367460627,0.529366277,0.5302771,0.426023549,0.224745466,0.220368166,0.259405332,0.246088,0.35329947,0.111656794,0.037845997
X15,0.140090182,0.408481267,0.369039221,0.346764509,0.139404853,0.249371729,0.228567829,0.396149696,0.391964575,0.314950772,0.23143943,0.166693604,0.223608182,0.204599653,0.244683957,0.105424931
X16,0.23470903,0.330389537,0.480990881,0.41353169,0.142640968,0.152207675,0.212913866,0.321661367,0.329846707,0.32487481,0.298746106,0.159028445,0.086382389,0.135720351,0.102655995,0.123383306
