,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.60053811,0.854003867,0.366784209,0.26231116,0.401709243,0.774158724,1.041753275,0.883496347,0.483903512,0.268348033,0.278570978,0.210475365,0.153960244,0.12339924,0.074410377,0.037986998
X2,0.771958607,4.067907881,0.878935742,0.277259179,0.176032133,0.490798248,0.794682306,0.86212336,0.727100742,0.292584701,0.197090367,0.158493603,0.139131207,0.104535584,0.048422229,0.036357337
X3,0.217239799,1.4262861,6.897690835,0.824699999,0.321053413,0.331426258,0.46748937,0.755018359,0.947514064,0.47928761,0.268810934,0.133303212,0.087133693,0.093575932,0.065599593,0.051364039
X4,0.143299472,0.338925508,2.573156332,9.64692133,1.667503759,0.887124121,0.684747214,0.89389486,1.097379193,0.99029696,0.513013992,0.193195825,0.083899931,0.064312174,0.036475509,0.024054509
X5,0.265319352,0.210921778,0.299474824,2.734514961,5.109224273,2.323532233,1.490020146,1.250968036,1.076174158,1.223128049,0.852239811,0.399699399,0.114987442,0.062611189,0.065449912,0.052421582
X6,0.665037674,0.366868103,0.196196268,1.029769406,2.730236919,4.720971004,2.361650177,1.699537063,1.403304057,1.136580953,1.113924478,0.53008474,0.179804626,0.083266806,0.041659824,0.030292714
X7,0.805511609,1.044911708,0.726038743,0.576456816,1.311795805,2.299059619,3.614230121,2.19076074,1.595170089,1.171106825,0.924977674,0.56572454,0.254947101,0.129629507,0.065731582,0.055020933
X8,0.697583529,1.053824602,0.904282917,0.828144224,0.865075705,1.64154302,2.010397013,3.183332686,2.099882254,1.271641137,0.910005296,0.427571369,0.272194493,0.188377635,0.105998118,0.037367467
X9,0.369236831,0.71415208,0.964375285,1.193687544,1.034816295,1.404210748,1.754041903,1.881360172,2.787144062,1.572008911,1.090898956,0.337722024,0.1947499,0.134629732,0.088642993,0.039487318
X10,0.3697415,0.519082222,0.635390903,1.520169641,0.935523716,1.098326487,1.304582141,1.397578686,1.481277503,1.89218535,1.035445312,0.396624184,0.151241393,0.09367732,0.080675053,0.070115036
X11,0.304982535,0.598653771,0.888667892,1.279700667,1.086196886,1.469661942,1.304884692,1.205304087,1.572560249,1.634753851,1.751469293,0.714038547,0.257476759,0.128614684,0.086170786,0.075241199
X12,0.560516549,0.717486764,0.605876399,0.841699329,0.713708941,1.199980251,1.208699477,0.884915513,0.945797104,0.77716846,0.978644572,1.206283817,0.443249826,0.213363167,0.101563177,0.06942809
X13,0.52642814,0.508779284,0.34766005,0.493274103,0.439882545,0.68422703,0.789556444,0.778790555,0.568049023,0.44304953,0.452992417,0.601064461,0.996784032,0.41745576,0.21409899,0.081800005
X14,0.34754532,0.543696222,0.464025029,0.262360261,0.333749298,0.498417984,0.709811085,0.696217166,0.605192584,0.348716726,0.377833009,0.45380599,0.524693591,0.958246671,0.267240708,0.109872452
X15,0.166840918,0.486517375,0.468523398,0.445343991,0.204017567,0.372172174,0.36590549,0.607412697,0.625265713,0.491303477,0.374852744,0.315988831,0.548116812,0.571131153,0.773069032,0.236387125
X16,0.276580576,0.384278842,0.570720321,0.465000711,0.182068106,0.212351794,0.323031096,0.384907795,0.426398169,0.455767512,0.448317423,0.267376261,0.194877736,0.297710333,0.252163975,0.376563683
