,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.582919652,0.675146756,0.3080078,0.184039882,0.314994727,0.589695681,0.932614046,0.92433297,0.49061832,0.237254918,0.253240288,0.255131081,0.20450814,0.166313599,0.083135025,0.047902664
X2,0.516443811,6.390127192,0.823131945,0.224233625,0.143902437,0.381571802,0.727535478,0.900234235,0.733102015,0.309986676,0.19114435,0.182709111,0.167401076,0.123305418,0.048576766,0.04052551
X3,0.172276643,1.555200678,6.778748565,0.626752032,0.215475109,0.218130062,0.363713568,0.648307635,0.766121293,0.423910229,0.229101442,0.134822372,0.087011585,0.088306985,0.056267552,0.047834343
X4,0.097919461,0.270465984,2.453689861,9.291075493,1.14976369,0.59375198,0.541364987,0.760226654,0.878728646,0.896557839,0.475315664,0.178703578,0.077939212,0.061602467,0.03049351,0.023791865
X5,0.184839692,0.169953198,0.213395531,1.967970567,3.785908918,1.701533491,1.259997208,1.202846599,0.971902179,1.188624929,0.830815554,0.377113291,0.112045503,0.06533732,0.05962614,0.050570322
X6,0.464539364,0.284071011,0.135260664,0.717575271,1.969236915,3.469671727,1.96254046,1.612970027,1.285483713,1.068706744,1.029898931,0.500534122,0.181746247,0.084676516,0.036425139,0.030488912
X7,0.758237475,1.037926051,0.626607349,0.482374466,1.107886479,1.932735015,3.537740062,2.352289589,1.651942606,1.277292778,0.933209952,0.597745638,0.316898086,0.164294115,0.069433564,0.063605524
X8,0.784295665,1.291071861,0.96239251,0.737341765,0.83460029,1.56515289,2.215356144,3.931938303,2.447307295,1.552537313,1.053285017,0.502026196,0.400416439,0.281099102,0.132995048,0.0531065
X9,0.329584802,0.717581067,0.866562921,1.103124426,0.93720865,1.278402489,1.799830026,2.148468993,3.022154117,1.826522599,1.217543395,0.331064017,0.221363611,0.157815118,0.092768349,0.045153072
X10,0.195156577,0.564628314,0.60826361,1.546723649,0.910403188,1.045397609,1.412273535,1.679588508,1.70388968,2.23947265,1.170797615,0.408072792,0.177766411,0.114474581,0.084833571,0.083781897
X11,0.209809434,0.673375984,0.86940864,1.263501552,0.983803754,1.296620663,1.322083275,1.379549643,1.733746562,1.86185355,1.889627077,0.709700126,0.290967227,0.151240714,0.086097349,0.086280109
X12,0.46368564,0.903841281,0.693866062,0.950724742,0.714050454,1.185317132,1.287380545,1.018310877,0.954366371,0.827722522,1.033870471,1.587156526,0.647175735,0.328064017,0.134731117,0.10497246
X13,0.526207644,0.515605262,0.338090994,0.498312138,0.462901418,0.738634222,1.008261617,1.059462597,0.656759284,0.514225967,0.511334733,0.87756322,1.530219357,0.644674183,0.307660143,0.128157744
X14,0.365094868,0.538871704,0.440024825,0.259996824,0.34641493,0.530439089,0.904472392,0.955952791,0.734665535,0.427644229,0.441895842,0.689402923,0.826352211,1.439182492,0.356663693,0.165926577
X15,0.141522474,0.395544838,0.394299672,0.37324127,0.18602152,0.333610505,0.378317103,0.682054375,0.660322115,0.506153589,0.378929339,0.388693233,0.75417969,0.749494684,0.946752616,0.289638616
X16,0.259595292,0.342462832,0.493834653,0.423899967,0.169486858,0.200366714,0.34985518,0.442763812,0.452406703,0.520203001,0.516063287,0.346642356,0.278666888,0.399984777,0.301279072,0.478002476
