,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.484707515,1.855389029,0.929146915,0.585491132,0.876157652,1.296332886,1.423111333,1.146555676,0.638328684,0.381997315,0.394769879,0.324347901,0.197651301,0.136162214,0.072392968,0.039920032
X2,1.747800583,8.767130847,2.218833609,0.665587043,0.413213151,0.94849393,1.284462957,1.252852299,0.963221525,0.436927787,0.280902529,0.25553653,0.192744595,0.123486692,0.056142956,0.040210464
X3,0.610030115,3.201034406,11.40270902,1.51071826,0.668080381,0.561679654,0.777424512,1.020551025,1.073480849,0.612476159,0.324430839,0.166276294,0.102267633,0.097879197,0.066366126,0.047978676
X4,0.334036972,0.827632715,4.245640063,12.6065952,2.334858839,1.112715505,0.798300049,1.00368965,1.089373794,0.962998203,0.50370112,0.220538878,0.101905068,0.058459004,0.031279084,0.020540795
X5,0.532520424,0.45748105,0.607995791,3.944802341,5.355858842,2.412191458,1.444494122,1.178714572,0.966135423,1.047878368,0.703728109,0.385282291,0.13350944,0.042902517,0.040710191,0.031513308
X6,0.940915806,0.556712064,0.337994358,1.233457793,2.812937079,3.649519821,2.031098109,1.476290151,1.158464693,0.931883247,0.840300536,0.455233257,0.182184428,0.051753262,0.020981444,0.016520456
X7,0.928397345,1.312031972,1.01575728,0.654432211,1.289150908,2.030996216,2.58382664,1.832206784,1.318191158,0.974373889,0.70703723,0.496394686,0.221883226,0.067580296,0.033350028,0.025020699
X8,0.836380639,1.325318064,1.12362249,0.89026058,0.83680991,1.444068994,1.721006736,2.296794088,1.711241066,1.061637265,0.721144361,0.392112115,0.212209979,0.108121273,0.054912176,0.019507628
X9,0.508261421,0.921964473,1.133718546,1.219364895,0.959696717,1.176439393,1.460002915,1.562422061,1.895022483,1.261408551,0.832807574,0.316058654,0.171744138,0.081787571,0.046283158,0.022850584
X10,0.389477186,0.66798485,0.799946185,1.485046929,0.887822572,0.951309348,1.089327455,1.189976702,1.185999523,1.276979874,0.783842976,0.371931398,0.123884473,0.045647091,0.040264714,0.038158721
X11,0.384777795,0.687156376,0.959173214,1.195024651,0.963288333,1.189924125,1.050298674,0.954563352,1.194526039,1.227614393,1.034639542,0.570012762,0.169249087,0.049990699,0.037538056,0.035666363
X12,0.67104484,0.825512199,0.707397714,0.861793015,0.733397165,1.126691623,1.14015671,0.834966336,0.86100287,0.721145931,0.780520287,0.693383811,0.281138426,0.0965405,0.038388269,0.030848548
X13,0.598680716,0.561685991,0.403899171,0.499652747,0.444282361,0.634905374,0.719357655,0.738428285,0.511439011,0.412556054,0.371794782,0.409975224,0.329338775,0.168187217,0.064606365,0.022790278
X14,0.379513523,0.557125972,0.460667267,0.24687034,0.271270123,0.341866903,0.512447771,0.539513646,0.416862812,0.183146865,0.177369118,0.213742177,0.211617835,0.267429791,0.101983724,0.031913309
X15,0.171505139,0.499372425,0.440369652,0.401004872,0.145139858,0.261146055,0.236372417,0.444852256,0.421815866,0.343318594,0.238056952,0.151959208,0.193162879,0.186582624,0.211161846,0.10806906
X16,0.281641164,0.396023158,0.602410815,0.485472251,0.162491266,0.153238556,0.213022117,0.382325131,0.423185123,0.391249623,0.339534242,0.153359971,0.080913047,0.133709426,0.112599959,0.100193313
