,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.549034172,1.402426487,0.828606419,0.537109824,0.891184239,1.276540576,1.280415278,1.015485719,0.570257212,0.311960974,0.314552347,0.261349184,0.146388901,0.11729879,0.062782412,0.03276973
X2,1.184562872,7.639878165,1.820346165,0.569473162,0.385803836,0.887679997,1.066798139,1.016542665,0.767120131,0.332546784,0.21177283,0.182225967,0.126021753,0.090976084,0.041034279,0.028080177
X3,0.569344441,2.921470246,11.464002,1.521118948,0.717890516,0.63018698,0.755435287,0.967337836,0.971154753,0.522689479,0.274193895,0.141267802,0.078274364,0.085726825,0.056607824,0.040159755
X4,0.346275946,0.815797978,4.832277803,15.81294579,2.517198104,1.164889145,0.715622421,0.93904232,0.976663459,0.819454768,0.408060083,0.16025153,0.077029535,0.059373342,0.030972321,0.020050609
X5,0.614693869,0.48608815,0.665519479,4.754597404,6.642403168,2.672969362,1.359884716,0.971794395,0.808426275,0.904328377,0.550688912,0.272626999,0.084209507,0.047850722,0.043910882,0.033134739
X6,1.10009829,0.667743159,0.356467063,1.330905824,3.22037157,3.910915152,1.8799151,1.20657525,0.8579522,0.693631381,0.608067382,0.2806268,0.118106085,0.056534354,0.02273027,0.017206212
X7,0.943610786,1.431085183,1.102240905,0.644686581,1.21690833,1.883287175,2.142180012,1.422090286,0.9095217,0.604087001,0.450740007,0.261119126,0.142678637,0.065920234,0.033176039,0.024625415
X8,0.819507762,1.363256165,1.172698307,0.729654116,0.72003304,1.208875235,1.374695922,1.755943902,1.188613446,0.659101198,0.397779384,0.179683108,0.141140508,0.10054392,0.051281659,0.018868734
X9,0.512416602,0.945719177,1.156265479,1.190574603,0.794195879,0.877185395,1.022778268,1.111472103,1.31634458,0.778749424,0.449460588,0.104673685,0.094259989,0.073409727,0.042906416,0.020597085
X10,0.282308572,0.633147768,0.734455738,1.311738992,0.710181169,0.671593192,0.688623596,0.752161808,0.746230908,0.785040374,0.458890287,0.12834104,0.058829504,0.040004051,0.033500065,0.032265846
X11,0.299563675,0.604552698,0.840801165,1.017046602,0.755385396,0.839491436,0.624696746,0.543632451,0.653603188,0.678629861,0.557355411,0.250546719,0.084535019,0.039864278,0.029121612,0.027929741
X12,0.489591337,0.66025541,0.521389011,0.647634319,0.490657523,0.725894921,0.59472388,0.374793854,0.320800979,0.280098981,0.349131919,0.345150632,0.169992445,0.078072882,0.029487707,0.02455192
X13,0.395367453,0.385306643,0.258395992,0.32847995,0.278081816,0.382161003,0.401092611,0.390494509,0.237715395,0.163643051,0.162940164,0.204398817,0.202617899,0.128956647,0.046609542,0.015548392
X14,0.290339645,0.424568396,0.358706177,0.198626699,0.241566598,0.30484831,0.407839825,0.406369561,0.315448732,0.151982568,0.137300293,0.174012858,0.166714635,0.224101536,0.085503409,0.027227254
X15,0.133731508,0.388186454,0.350612218,0.325425265,0.132850017,0.226152953,0.205814648,0.350136538,0.347987207,0.265851108,0.184293202,0.122563749,0.159176988,0.162900909,0.169877034,0.10463549
X16,0.202745578,0.280803914,0.425443513,0.36336311,0.120035176,0.128742124,0.175769489,0.288889429,0.280587198,0.273757607,0.231793542,0.119492621,0.058899128,0.115419954,0.094145647,0.085057801
