,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.940801312,1.727895523,0.925527343,0.547493252,0.851704651,1.232703715,1.342032172,1.099316576,0.610972238,0.353466482,0.3722914,0.311043133,0.197631553,0.146845503,0.075614355,0.039240449
X2,1.564714116,10.83812057,2.377935282,0.666271424,0.404321033,0.957638662,1.287093122,1.25954103,0.974138796,0.441607897,0.282904436,0.252180728,0.196002018,0.131413764,0.056660122,0.03892553
X3,0.628599494,3.613527919,12.92667076,1.534374532,0.646052131,0.557800586,0.773853191,1.018411095,1.062354125,0.60746005,0.322474571,0.168842452,0.105635562,0.103972481,0.066863701,0.047397408
X4,0.318841514,0.834764468,4.525791813,12.73874404,2.11426206,1.00507454,0.72637229,0.940704754,1.010751494,0.901532599,0.479817011,0.218428355,0.103430371,0.059741764,0.030238915,0.01935663
X5,0.503626966,0.44387451,0.572835033,3.649574249,4.82172709,2.166984006,1.312893272,1.091009263,0.889941348,0.974215401,0.676004064,0.378368149,0.142304213,0.043494067,0.039226115,0.029012336
X6,0.917568108,0.579808686,0.318852006,1.121469857,2.539403954,3.305482495,1.860463611,1.370987646,1.067546481,0.876934776,0.815992032,0.454723668,0.192876459,0.051701345,0.020525543,0.0153029
X7,0.910117954,1.395590309,1.043403361,0.61112686,1.175805319,1.87286388,2.425207112,1.751113474,1.241248527,0.942730419,0.714194839,0.512203973,0.235582474,0.069991712,0.033278779,0.024498148
X8,0.806384847,1.394003719,1.156516797,0.83173051,0.777239506,1.344995207,1.648613866,2.249034667,1.673097267,1.06471282,0.769003146,0.42217382,0.223582022,0.110312941,0.054265302,0.019214676
X9,0.504436893,0.965706663,1.163767831,1.203664189,0.895170276,1.083805741,1.374994236,1.527794178,1.846413467,1.271073826,0.891496395,0.350291828,0.190697891,0.079934638,0.045693088,0.021504136
X10,0.300046468,0.714365423,0.819186715,1.464238824,0.850552666,0.899413053,1.053606145,1.18810794,1.193626733,1.305875648,0.850592011,0.424484047,0.142381819,0.04665644,0.039162085,0.036386613
X11,0.344451105,0.748035105,1.003965751,1.197578535,0.924793834,1.16109431,1.062453768,1.010545114,1.271177237,1.345467314,1.17532106,0.667058585,0.1981703,0.050835417,0.035757542,0.032866338
X12,0.571557064,0.86393317,0.730053708,0.87992573,0.711760673,1.108455499,1.150157491,0.887832502,0.938701145,0.801201327,0.896827249,0.791399845,0.322921098,0.097936621,0.037452859,0.029012848
X13,0.5551306,0.578762765,0.411993171,0.521308791,0.455316833,0.664318065,0.755604469,0.794435649,0.57617551,0.491461774,0.449073505,0.501944361,0.365837863,0.186507336,0.068478521,0.023196692
X14,0.364056283,0.543144316,0.449899869,0.239151173,0.269013064,0.341060302,0.504180259,0.519927547,0.394307614,0.184193169,0.174800871,0.220374244,0.230566235,0.299696237,0.109932093,0.034715532
X15,0.16251589,0.475589613,0.433892882,0.386005556,0.138852724,0.248180306,0.233061537,0.424132923,0.412022106,0.329540697,0.224827726,0.14894247,0.204886176,0.205880835,0.218540186,0.118601917
X16,0.242630802,0.340157434,0.527678774,0.430485866,0.137257655,0.136379608,0.195201601,0.342646276,0.356943063,0.344540057,0.289662405,0.138062622,0.076100743,0.135529732,0.115526156,0.104151514
