,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.966746372,1.766285774,0.955213254,0.635196122,0.9494026,1.2756521,1.20837815,1.024620309,0.582061353,0.353338607,0.354059834,0.282234779,0.168531542,0.11435194,0.051394144,0.033399676
X2,1.63679461,7.85636601,2.299756652,0.736812228,0.46182883,0.96929329,1.116770537,1.135939863,0.860215265,0.402765942,0.260039056,0.226025448,0.169564717,0.103614337,0.041263864,0.033332851
X3,0.662363205,3.329630625,12.40430749,1.767221534,0.788495935,0.616089535,0.727494264,0.999590996,0.999547055,0.584629905,0.313169113,0.158278266,0.094894635,0.088335136,0.051840011,0.042734505
X4,0.410677265,1.021939866,5.438582387,17.97888283,2.750912674,1.168653135,0.697251321,1.00345059,1.051117331,0.921299507,0.480569084,0.196867879,0.095479124,0.06088056,0.028497547,0.021278351
X5,0.653819833,0.552409951,0.726265148,5.109528581,6.419039782,2.443113717,1.212424384,0.974790837,0.830217417,0.933872745,0.617027111,0.311079411,0.101139134,0.043790885,0.034402738,0.031230399
X6,1.029103215,0.61346843,0.346864197,1.287207206,2.879567831,3.217146904,1.572476597,1.137138731,0.866017431,0.716223284,0.668376073,0.313231381,0.127274923,0.047674204,0.015924503,0.014597328
X7,0.820294913,1.189300671,0.95566335,0.590246811,1.069395508,1.560981706,1.737952823,1.308470767,0.917505232,0.65729236,0.516667969,0.296394472,0.143551111,0.050583278,0.022602284,0.019136445
X8,0.826302241,1.341645658,1.161512368,0.775091892,0.713785947,1.13390609,1.269772748,1.730930454,1.283844511,0.762981983,0.539675579,0.243475814,0.158547407,0.090623628,0.040411383,0.017217892
X9,0.524687182,0.959249,1.16957533,1.230442519,0.819520786,0.888451349,1.035333749,1.194479277,1.436889585,0.934871902,0.642408788,0.180099372,0.116471711,0.069069492,0.03498349,0.019755519
X10,0.368599852,0.697067638,0.835862594,1.508595125,0.787204443,0.728036355,0.753488933,0.876238983,0.899141594,0.943312631,0.63022934,0.22078256,0.081098561,0.039970671,0.031125706,0.034432792
X11,0.368225576,0.66547879,0.964901006,1.204366944,0.876672472,0.976432544,0.773723054,0.727352346,0.927006317,0.962951234,0.838787044,0.392003334,0.116462553,0.039625466,0.026951505,0.029735089
X12,0.594165649,0.76468849,0.63422409,0.788877379,0.573610002,0.831591416,0.722267024,0.520634197,0.51094186,0.442330397,0.528272756,0.416812375,0.199100499,0.07578867,0.024688554,0.024928616
X13,0.505165416,0.496225916,0.338003097,0.430857907,0.345629798,0.458213333,0.480825295,0.501731682,0.319183372,0.242521929,0.239160582,0.265879704,0.23333335,0.141337938,0.042840373,0.016746368
X14,0.297145111,0.441884718,0.369796574,0.195456526,0.225417388,0.266980698,0.363843899,0.390162565,0.294708671,0.142353723,0.13176935,0.158870957,0.161560396,0.190712211,0.073427301,0.023526385
X15,0.116434825,0.347372933,0.306512981,0.279503187,0.103417782,0.170931179,0.148375002,0.282775007,0.271704309,0.227741679,0.161296077,0.100801445,0.127513268,0.121125838,0.114002202,0.08428828
X16,0.238835449,0.335519444,0.509559866,0.41483866,0.130441211,0.128203066,0.165602556,0.311591152,0.313766137,0.308625556,0.257021219,0.126903968,0.062613942,0.112929475,0.091017962,0.07891732
