,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.413929442,3.004679123,1.599238314,0.827565813,1.170487316,1.550378178,1.48550965,1.145794007,0.642490845,0.392379961,0.420303391,0.374899384,0.233077463,0.1552519,0.064050913,0.042026753
X2,2.767438185,18.07031622,3.756680824,0.926372894,0.612478047,1.348984314,1.640780005,1.242250394,1.130990706,0.500672877,0.350121873,0.344826708,0.249670807,0.14359756,0.054704872,0.04024464
X3,1.111966028,6.061222295,21.6198245,1.860679372,0.907456236,0.781901952,0.937367861,0.930246804,0.912753874,0.538028623,0.33056095,0.179339312,0.129969294,0.115982376,0.06308029,0.042292686
X4,0.595465307,1.535172765,5.945290112,13.04441046,2.683673582,1.312701933,0.934236618,1.042941256,0.962582766,0.782561578,0.487854187,0.2544087,0.148172288,0.064915118,0.029077254,0.018013572
X5,0.909621292,1.024681602,1.038137834,4.37564445,5.481190819,2.687515454,1.645482714,1.341661731,1.034269423,0.940370585,0.713309188,0.420499024,0.208739012,0.043448484,0.028889278,0.024584646
X6,1.260926244,0.971999267,0.617467073,1.406385806,2.95152406,3.554699965,2.138095665,1.629368881,1.304898391,0.980895894,0.893204541,0.493338738,0.254401831,0.044521698,0.013443248,0.013344828
X7,1.271420374,2.069228975,1.551667133,0.778509882,1.498571376,2.236186684,2.396863666,1.913459663,1.478741862,1.12156134,0.814701003,0.58267676,0.29006806,0.053954969,0.022984438,0.018846115
X8,0.969601077,1.635857874,1.179396099,0.947881827,0.925390663,1.578487777,1.716486258,2.089108583,1.803214859,1.171025507,0.909442297,0.463476652,0.229108273,0.074500142,0.02944525,0.013112716
X9,0.777149234,1.365691041,1.310887888,1.075587262,1.040818607,1.36889428,1.631389318,1.674472192,1.844246917,1.40017507,1.071610156,0.43361666,0.286782278,0.081840514,0.029925357,0.0164508
X10,0.491772487,1.031169038,1.051721216,1.255095173,0.833427103,1.067099302,1.23805066,1.344985934,1.27600582,1.21316755,0.914559582,0.519548023,0.205363484,0.050803073,0.028959187,0.028442185
X11,0.597347378,0.933427521,1.255915662,1.037990244,0.854737099,1.24447698,1.23173228,1.1787019,1.479482127,1.447619371,1.17375892,0.735252383,0.254816105,0.043953248,0.031201413,0.025733332
X12,1.455137178,1.922389622,1.420510515,1.038638567,0.831991806,1.312809178,1.427174625,1.079775525,1.162693172,1.070518035,1.077305901,0.713244972,0.37888397,0.124626368,0.03505193,0.045905771
X13,0.786979129,0.906285532,0.744449067,0.485879561,0.474500105,0.687707374,0.746519203,0.83370847,0.753159338,0.664894736,0.611595645,0.52702583,0.21441334,0.094486452,0.034153668,0.012133303
X14,0.588766671,0.943563413,0.724846246,0.256241496,0.243354595,0.265291423,0.363679182,0.380410708,0.305050761,0.174042975,0.199771107,0.182821515,0.127457198,0.084042883,0.056540951,0.019553176
X15,0.19348018,0.627839468,0.496381727,0.303666273,0.086655674,0.174078366,0.121615764,0.218997146,0.205998404,0.203735749,0.210379035,0.119373529,0.125217685,0.080379134,0.045070863,0.054794737
X16,0.424051637,0.606654774,0.737760735,0.469394256,0.133870754,0.14852934,0.185078722,0.327241715,0.263380621,0.288204593,0.308757956,0.212339669,0.084804356,0.126586322,0.057860388,0.032133808
