,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.155665732,1.462099768,0.481682342,0.132020393,0.113080273,0.59592943,0.934843402,0.881593618,0.565308276,0.344247701,0.351093675,0.204162622,0.188615368,0.133114131,0.073738687,0.013335138
X2,1.306100665,6.101610934,1.023578171,0.170966207,0.18189343,0.308718195,0.659466303,0.88935899,0.775058191,0.352342666,0.288056188,0.257610369,0.250726566,0.124228082,0.016764323,0.062115193
X3,0.316933237,1.541514937,7.401823132,0.542699619,0.18072035,0.220184989,0.554487572,0.640479566,1.025564347,0.640277628,0.31141947,0.146578378,0.069103287,0.062612875,0.063297337,0.080109116
X4,0.168764602,0.204199859,2.65190707,7.254140113,0.936096875,0.42718592,0.546264977,0.434838421,1.150356492,1.209846862,0.449420701,0.230222598,0.032019063,0.033644011,0.031874969,0.016550514
X5,0.362142922,0.181882682,0.228858814,1.840149864,3.75894767,1.343580127,0.824520966,0.450386512,0.665924813,0.970620414,0.914098959,0.357095944,0.022891739,0.040430728,0.037810581,0.040330649
X6,1.012546927,0.323954446,0.036165383,0.449025461,2.031659618,4.211245606,2.236863598,2.539027964,1.919365145,1.953313954,1.461114073,0.36907235,0.120760762,0.091149583,0.029603146,0.009299762
X7,0.972591257,0.73236749,0.301190019,0.10288327,1.082350728,1.563739876,3.376122721,1.819181648,1.441907647,1.508323774,1.487390607,0.940689787,0.169292785,0.080135612,0.030006421,0.064928029
X8,0.770855408,0.977086193,0.915523143,0.281201562,0.688493525,1.443035119,1.695071893,3.235438503,1.847434194,1.277759079,1.380911435,0.458962748,0.256062151,0.096738625,0.041049736,0.00558124
X9,0.332426283,0.614130089,0.980783926,0.595927507,0.625851468,1.030575939,1.003886761,1.413866111,3.657082805,1.815281048,2.050280705,0.390782487,0.03784738,0.162902107,0.042435037,0.081310425
X10,0.061540843,0.260297487,0.696636698,0.715584397,0.788647301,0.681664359,1.248738194,1.013938442,1.987829217,2.083640454,1.367598004,0.426153917,0.23953767,0.151103807,0.075728521,0.10886197
X11,0.07382737,0.09765153,0.320512688,0.586258254,0.757104448,0.818670465,1.017694721,0.667923269,1.674675432,2.02088077,2.694027649,1.10601191,0.30397275,0.107583943,0.026070206,0.040998282
X12,0.156212711,0.15229763,0.158139938,0.422528212,0.337223154,0.69443877,1.087384606,0.842605335,1.121925604,0.761128851,1.18422907,1.909919189,0.416566999,0.116589809,0.06956142,0.074180806
X13,0.155913158,0.022828973,0.029966579,0.034612755,0.207031277,0.351919579,0.501762739,0.551820713,0.327354663,0.338203244,0.486836733,0.554770545,3.210471327,0.828540285,0.167048718,0.040953059
X14,0.149582838,0.094093082,0.081234995,0.063905972,0.227614943,0.333352831,0.366833633,0.356441174,0.330353944,0.306468396,0.392833299,0.503666843,0.606679357,1.566933528,0.509985372,0.245325903
X15,0.207897687,2.37439E-21,2.55316E-21,0.028907273,0.142963878,0.237688489,0.090567028,0.163976448,0.498673022,0.288093732,0.092586405,0.239045649,0.524906327,1.042143773,1.375822883,0.397171855
X16,0.493833134,0.056854087,0.051358837,0.080422595,2.28953E-13,0.194291352,5.5371E-30,0.186247599,0.210466378,6.79699E-07,0.411076192,0.07084772,0.435307246,0.574944278,0.482053292,0.321552779
