,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.557939628,0.777412108,0.39823041,0.255810111,0.472136,0.798071733,0.998223612,0.818931766,0.433000577,0.269229722,0.329311197,0.271792865,0.179575555,0.104887445,0.10557147,0.051349518
X2,0.604993023,6.133024575,0.923354125,0.280263783,0.191455207,0.473070333,0.759778089,0.812414531,0.619358369,0.289481702,0.215449561,0.176908412,0.146381656,0.077140191,0.059164225,0.042106493
X3,0.242045826,1.715656115,7.521832312,0.79633621,0.326757935,0.298419347,0.431681256,0.663968458,0.781478542,0.456327054,0.261289475,0.136904686,0.086058244,0.063798491,0.072022851,0.055757422
X4,0.153655484,0.369973299,2.945036654,10.85090984,1.549587378,0.769797803,0.587103738,0.793307441,0.955819879,0.935483855,0.496709317,0.225796554,0.1040906,0.047606389,0.042528205,0.026930374
X5,0.332362924,0.247632784,0.341962859,2.783321898,4.683486875,2.061845583,1.266981519,1.111739714,0.963913543,1.21993928,0.866521298,0.477876314,0.177996766,0.047160559,0.081963313,0.062292609
X6,0.722834555,0.376528445,0.204923199,0.906226922,2.370527677,3.613222638,1.911402995,1.468243549,1.208772256,1.015022885,1.065359033,0.580826103,0.243674423,0.057034297,0.045515323,0.028091957
X7,0.792244739,1.082985049,0.725157849,0.512332871,1.120852265,1.879656207,2.744234398,1.883548921,1.398399186,1.092414326,0.92036803,0.667082449,0.307557707,0.081998589,0.067375863,0.056454865
X8,0.692264544,1.15054874,0.96068926,0.767394513,0.786261615,1.427977203,1.762781426,2.767432849,1.977797447,1.286038063,0.996659121,0.575429219,0.325521429,0.132095867,0.119008081,0.043368055
X9,0.407117783,0.792385104,1.027837909,1.229580165,0.953189322,1.224679937,1.558688397,1.802069219,2.491430571,1.592838404,1.192607944,0.487877273,0.285268836,0.0995409,0.102772321,0.045266829
X10,0.285412887,0.679554732,0.805596221,1.728399661,1.003521055,1.038991924,1.226044347,1.434746595,1.512583221,1.878493643,1.184579667,0.593067311,0.231501585,0.071574568,0.101372395,0.083006843
X11,0.408127855,0.846810346,1.153417178,1.580502207,1.292542598,1.586045785,1.365558829,1.33256598,1.735043947,1.895903708,1.967209972,1.065041419,0.38205299,0.100541739,0.117051674,0.094210175
X12,0.703804192,1.046048208,0.852572829,1.148884112,0.964827611,1.518433431,1.569244054,1.229290845,1.335282584,1.144344925,1.447221604,1.520092485,0.60097932,0.176509744,0.132413351,0.08476047
X13,0.721477725,0.724903857,0.506120128,0.705014167,0.62823814,0.951623639,1.098171516,1.164474,0.897583754,0.773667098,0.774404157,0.899428038,0.922444895,0.326218968,0.251595736,0.094894087
X14,0.358038697,0.5387429,0.45226219,0.243778992,0.28868922,0.387918882,0.575098707,0.594067615,0.486232432,0.269256358,0.297154128,0.353241156,0.370622207,0.507796787,0.219432038,0.090549933
X15,0.31243675,0.899276523,0.800618967,0.741011591,0.30089485,0.536076533,0.507376519,0.928032506,0.909464584,0.751783065,0.563010954,0.432416388,0.693023469,0.563837788,0.993930826,0.353809553
X16,0.500272225,0.67690036,1.04494856,0.842818454,0.295267583,0.302991072,0.44370592,0.69990433,0.774320664,0.75012274,0.733089536,0.392842796,0.251134402,0.331673233,0.400958339,0.426103939
