,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.525265185,2.820919187,1.350891385,0.820399376,1.004134764,1.485204784,1.433124437,1.234958286,0.722168579,0.542907054,0.498227023,0.2540279,0.214116191,0.118275238,0.085005711,0.034508284
X2,2.751644366,11.66952099,2.948963881,0.912292331,0.501356655,1.032903712,1.222591591,1.099108533,0.894441979,0.405697155,0.293918052,0.227439055,0.191669521,0.11589241,0.070987121,0.034607651
X3,0.918738655,4.248504096,12.91393835,1.777080543,0.803524985,0.647658495,0.790989688,0.885744677,0.858556137,0.499660039,0.309215798,0.139668293,0.105184316,0.096366028,0.078436712,0.040605768
X4,0.532694119,1.212099604,4.786807856,12.36655453,2.427733997,1.153737651,0.799202515,0.942918721,0.905438624,0.727123768,0.440758928,0.210620517,0.123718175,0.059809247,0.038493036,0.017980998
X5,0.643778071,0.612825728,0.75256063,4.000987101,5.065282746,2.433748775,1.490505016,1.272988472,0.972567805,0.88311018,0.656021008,0.367438589,0.189268667,0.032331548,0.039160271,0.02290159
X6,1.074851016,0.65296489,0.427622033,1.261047948,2.81327711,3.466089313,2.0886378,1.643163963,1.31650671,0.988473904,0.857126066,0.456011975,0.243820266,0.033640392,0.018787209,0.011321547
X7,1.091262782,1.453846353,1.101507326,0.66474723,1.331769844,2.104237023,2.366655928,1.949040578,1.484195116,1.144243454,0.793659276,0.534375165,0.256055771,0.035950917,0.027148399,0.015192045
X8,1.077286036,1.503896817,1.151635807,0.904289286,0.895278843,1.59466555,1.807096901,2.219582705,1.928299123,1.277283134,0.951150363,0.478904862,0.219563272,0.059993731,0.043148755,0.012048353
X9,0.69465247,1.155917295,1.184496491,1.144033996,1.005497276,1.334933556,1.635595508,1.751213633,1.944837757,1.508124038,1.126808227,0.450937528,0.257256847,0.055123743,0.037180395,0.016682563
X10,0.496949259,0.763463699,0.847962353,1.294039484,0.806543981,1.030743123,1.261596626,1.416699739,1.37673972,1.321793866,0.971021398,0.535845859,0.200924527,0.037130179,0.032289057,0.021921531
X11,0.412538455,0.768513532,1.040247345,1.133085646,0.87765825,1.203650943,1.205294484,1.223746458,1.575908086,1.578275003,1.214104956,0.736305895,0.259937005,0.033470767,0.035269765,0.028855533
X12,0.633019522,0.872861878,0.803893882,0.844506558,0.678549406,0.980911213,1.144325417,1.006248886,1.16395421,0.981367171,0.973069076,0.703901433,0.323537309,0.061998472,0.026164205,0.023981187
X13,0.647959945,0.706057789,0.598912551,0.587061862,0.515289767,0.709444513,0.746976694,0.856474928,0.789222655,0.739589087,0.655813378,0.576056382,0.22432067,0.100234,0.055876621,0.014537872
X14,0.426369829,0.751845025,0.595398685,0.336969156,0.228952562,0.218265262,0.248592068,0.279758746,0.254741544,0.158201337,0.149147062,0.141742158,0.119200976,0.065376519,0.07021128,0.018017441
X15,0.16132188,0.607562464,0.446263042,0.432702522,0.125813936,0.191057024,0.147259278,0.257498494,0.252446531,0.221328923,0.2057425,0.103908526,0.153681905,0.099251618,0.083570503,0.058204131
X16,0.22504823,0.341379517,0.472421993,0.436179184,0.111272242,0.101317816,0.099742948,0.172977477,0.231745361,0.178884374,0.262560995,0.11165317,0.062106958,0.078166369,0.05187297,0.020348796
