,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.144690791,3.019589538,1.519939395,0.954201064,1.27202812,1.467058916,1.511537427,1.204304438,0.732762588,0.404235763,0.424512349,0.347499786,0.213018315,0.152394453,0.079732446,0.089836908
X2,2.798371784,12.09923067,3.101945837,0.933920374,0.550629578,1.025641395,1.314907586,1.119579288,1.025143549,0.43479424,0.28911859,0.26665378,0.195932914,0.121077135,0.053329179,0.074351937
X3,1.000935392,4.704264957,18.66161401,1.938456216,0.816971876,0.573897471,0.755252656,0.852686651,0.943681509,0.520488083,0.298513293,0.15191222,0.099925917,0.092734896,0.060364674,0.082402876
X4,0.650071221,1.465389825,6.456699752,17.54809438,2.827376724,1.14288416,0.801595763,1.005746679,1.044252513,0.853638302,0.49496509,0.238630209,0.131515048,0.063737181,0.033713115,0.036509667
X5,0.860944938,0.788849452,0.856527331,4.848894323,5.613669375,2.214948284,1.329031492,1.135960295,0.931751029,0.885486175,0.657009816,0.369859571,0.170276976,0.03787668,0.032192486,0.05147177
X6,1.019220968,0.644343865,0.4188264,1.184005172,2.429831554,2.685997999,1.616344924,1.31075461,1.11137871,0.825357368,0.760862339,0.408557753,0.202170318,0.031395299,0.01209664,0.016777108
X7,1.048937668,1.438970394,1.144564505,0.644098417,1.176492172,1.671034335,1.901461764,1.567625083,1.246133408,0.934014721,0.686408635,0.465508342,0.220364204,0.037861042,0.018992525,0.030055502
X8,0.960865803,1.415465862,1.140541119,0.872419172,0.793822584,1.281981658,1.454862677,1.904700677,1.671983633,1.068483367,0.831889726,0.411505016,0.190803546,0.060276407,0.029525908,0.021611299
X9,0.878459829,1.35034886,1.42211262,1.273060062,0.966645836,1.167006791,1.422826477,1.571543492,1.818286008,1.350807815,1.027737112,0.399109695,0.241521318,0.061192705,0.032661272,0.025259268
X10,0.511631468,0.973589834,1.090363284,1.451181929,0.811204835,0.916756222,1.057859989,1.232982419,1.243376283,1.18646232,0.885257919,0.47387935,0.179116179,0.0382426,0.027087966,0.036293238
X11,0.568509459,0.879546385,1.299858039,1.21081279,0.876248752,1.107496794,1.093596723,1.094892268,1.444227386,1.421644879,1.177465784,0.701598185,0.236303897,0.040778798,0.030837448,0.036902458
X12,1.065841198,1.44543399,1.211034359,1.026929431,0.74495126,1.051038691,1.144316576,0.931254055,1.061240685,0.940176331,0.969862381,0.676944119,0.347816387,0.101835258,0.035554275,0.041742968
X13,0.720960934,0.887533849,0.717240283,0.583923889,0.455051507,0.604140178,0.667258951,0.764353063,0.687020336,0.616426275,0.572494363,0.52440648,0.224871889,0.108672048,0.045189821,0.026825173
X14,0.485739646,0.820938035,0.680367585,0.276603836,0.244899904,0.232785198,0.30926168,0.330453992,0.252187073,0.145779535,0.172139755,0.18103188,0.136133806,0.109330945,0.069806196,0.035867172
X15,0.235731005,0.744633122,0.700591511,0.486015985,0.120795941,0.200856559,0.152038895,0.272168587,0.277387602,0.232952998,0.223646665,0.158279833,0.169438598,0.118633427,0.089343975,0.096223562
X16,0.902896128,1.3238231,1.939539995,1.350089487,0.324733766,0.310817858,0.389330212,0.630851597,0.617203092,0.57837618,0.685009038,0.405551736,0.220857079,0.304343867,0.189387183,0.169606091
