,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.084185317,2.741213613,1.406082062,0.81734929,1.174539615,1.603203531,1.626880066,1.240857441,0.660222108,0.370367674,0.374179563,0.322701185,0.212098445,0.144774832,0.077347341,0.042596718
X2,2.593661471,15.22362823,3.503682379,0.948218934,0.559062338,1.204595279,1.521319225,1.351194206,1.000851029,0.436585597,0.271030235,0.262760817,0.206624221,0.128551236,0.057981719,0.040834982
X3,0.982566111,5.236280825,18.63823708,2.02216661,0.838896797,0.684667507,0.875976702,1.048311717,1.025649551,0.563527113,0.291385043,0.159018918,0.105737675,0.098998955,0.067306012,0.045993327
X4,0.50242729,1.24168482,5.941513243,14.95313149,2.468240753,1.106263737,0.745939445,0.915493425,0.931062361,0.803773916,0.430191372,0.20419983,0.105970462,0.055350804,0.030031812,0.01873276
X5,0.677349484,0.62155845,0.742040112,4.330699449,5.184537973,2.115455583,1.198885577,0.912152019,0.723952468,0.775948263,0.531189232,0.310748129,0.12684003,0.034055693,0.031227506,0.023906046
X6,1.098985198,0.684880027,0.400763679,1.202355035,2.522389127,2.945612269,1.610271067,1.094319766,0.830395979,0.666752799,0.606397494,0.351639586,0.162971206,0.037916779,0.015082775,0.012375751
X7,1.032259562,1.475289987,1.137704817,0.615527734,1.083771192,1.633198689,1.944361626,1.374760285,0.96713518,0.72277866,0.518304533,0.38373128,0.186894037,0.043470283,0.022208846,0.016551901
X8,0.864596282,1.372978968,1.122085521,0.781464455,0.654491131,1.079698023,1.289571611,1.596243394,1.221129706,0.774511044,0.549215253,0.303695904,0.157829959,0.064509746,0.032830485,0.011487068
X9,0.597264124,0.968165482,1.094306059,1.029247824,0.715635242,0.84715825,1.071971604,1.119126292,1.28213975,0.932484531,0.648001979,0.262832848,0.151053552,0.044776653,0.027252727,0.012759851
X10,0.343449731,0.728392303,0.811699679,1.219832975,0.650402363,0.688224654,0.811235651,0.88171064,0.871576931,0.890297823,0.596263625,0.320849711,0.115420333,0.02720207,0.022195341,0.019438127
X11,0.359481739,0.690153344,0.951998212,0.970235487,0.676551462,0.818575024,0.790165074,0.723264026,0.922538101,0.948812166,0.764771768,0.464011959,0.148814743,0.029242712,0.022389587,0.020478922
X12,0.65530981,0.984018739,0.843529384,0.828794021,0.592459652,0.834376958,0.877951448,0.660174789,0.710475291,0.633290437,0.642362745,0.527450223,0.254855951,0.074962388,0.028986561,0.02171623
X13,0.601025843,0.744813689,0.558834311,0.551031575,0.397819742,0.523996002,0.592080112,0.615071013,0.46970899,0.417696396,0.377074007,0.400305934,0.228963423,0.121375705,0.048180841,0.01564401
X14,0.359641731,0.614974233,0.52115862,0.239770086,0.222572689,0.241989106,0.322949862,0.329745008,0.233379393,0.119084611,0.128853117,0.162159686,0.143601747,0.151014936,0.074194144,0.021263566
X15,0.188154768,0.576724697,0.579173579,0.440705101,0.117618054,0.201999517,0.165825127,0.290414961,0.281633758,0.223807267,0.185581087,0.140198289,0.161460363,0.12900802,0.122540015,0.083779369
X16,0.272227882,0.414971059,0.642001894,0.491627543,0.121735405,0.121159397,0.151737026,0.237357519,0.254825137,0.223732642,0.242802017,0.120794402,0.076101045,0.108489837,0.082045628,0.065388939
