,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.968005451,1.386851203,0.77013247,0.553451715,0.766399582,1.048887439,1.160497977,0.953088842,0.556357967,0.366883109,0.397090977,0.329101358,0.198464985,0.124068402,0.059763703,0.029157733
X2,1.263936033,4.811878413,1.74828783,0.575998639,0.332095726,0.730316223,0.999010325,0.993487881,0.771835275,0.365859381,0.256753931,0.242311163,0.188818435,0.10925548,0.045175111,0.028593198
X3,0.546309842,2.55536227,11.02742916,1.656322937,0.651177552,0.505037745,0.768397016,1.032688355,1.09829613,0.648548837,0.363439633,0.191198074,0.121610171,0.106102155,0.064975652,0.04174031
X4,0.351238685,0.798042826,5.074744726,18.67098598,2.376140195,1.01945644,0.762730013,1.076874304,1.182211301,1.06110379,0.549269529,0.233471271,0.120265892,0.071107683,0.034936291,0.020632945
X5,0.497456506,0.381177892,0.576609034,4.274410107,4.782023072,1.918453253,1.153279475,0.94729864,0.828430943,0.943613024,0.621286094,0.332866563,0.121272272,0.045117442,0.038638281,0.026729178
X6,0.778039117,0.424611739,0.293528598,1.097277004,2.210005609,2.556041504,1.504626534,1.109315562,0.886809119,0.746026201,0.672156616,0.336931644,0.148901923,0.047608828,0.017736059,0.012921778
X7,0.82393917,1.097364192,0.974029467,0.644788198,1.047112385,1.562031431,1.990443842,1.493971978,1.068868731,0.790392935,0.613701553,0.398774802,0.209029321,0.069770961,0.031854288,0.021195411
X8,0.788587698,1.212998946,1.16035189,0.878468437,0.702512484,1.115409786,1.43874417,1.949584873,1.481411933,0.915364009,0.604602421,0.324603441,0.231928569,0.120690449,0.056974059,0.018356608
X9,0.517160747,0.91051353,1.251747698,1.434102483,0.872721176,0.929449743,1.227215451,1.401692455,1.706028619,1.131305264,0.721589621,0.240490987,0.18380017,0.1002667,0.052502567,0.02364234
X10,0.450985832,0.663803625,0.899609296,1.829410755,0.913530707,0.811036809,0.909655544,1.064385674,1.103957842,1.190710858,0.756524274,0.300173689,0.135925316,0.060033411,0.048263771,0.041979437
X11,0.489396291,0.688134567,1.112430784,1.54475187,1.0944265,1.142463223,0.932364102,0.83799503,1.071527431,1.152439823,0.96313994,0.55482694,0.203965801,0.06841156,0.046676647,0.040957377
X12,0.820709088,0.864995663,0.761523059,1.015378909,0.782437578,1.101883233,1.041955707,0.716380104,0.697619762,0.614921608,0.755405843,0.624110798,0.330934024,0.124263718,0.045430589,0.03383226
X13,0.743486907,0.666551756,0.477912906,0.606497652,0.498714378,0.68198179,0.797984436,0.805346089,0.544414247,0.419649035,0.406467248,0.456789351,0.388507626,0.219113038,0.082392169,0.025382148
X14,0.396712306,0.571406289,0.479403787,0.270283727,0.29615566,0.354292174,0.556256408,0.592988452,0.468627085,0.220578917,0.216447712,0.255405096,0.252079769,0.260288796,0.1056145,0.031179463
X15,0.158376566,0.448582496,0.399747862,0.386165477,0.136731428,0.238209725,0.226241683,0.431981152,0.419351825,0.333390216,0.239169903,0.160745385,0.219815015,0.1855498,0.18073401,0.098642174
X16,0.227965453,0.320434355,0.478555389,0.412324965,0.136928774,0.131191242,0.186912228,0.335018493,0.349726328,0.32334564,0.28165729,0.13785515,0.075293708,0.118797815,0.093232255,0.072294039
