,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.836502016,2.575532261,1.328006949,0.766751507,1.050929524,1.496219789,1.590781232,1.23676916,0.661813848,0.377350985,0.391431638,0.339722923,0.209188973,0.143161537,0.069129237,0.036822008
X2,2.440578415,10.83495809,3.073635775,0.855868839,0.524470591,1.134159728,1.420601803,1.297810402,0.983475926,0.432102305,0.296071958,0.286084319,0.216844603,0.133380993,0.056443097,0.036165446
X3,0.919154551,4.403559352,15.42641329,1.875329423,0.829681074,0.709765876,0.899597763,1.050371162,1.03611557,0.572523759,0.323127679,0.173288636,0.118011841,0.110659931,0.067889035,0.04119423
X4,0.508228973,1.231309235,5.584004575,15.25018542,2.443323469,1.162886288,0.811782408,0.99372925,0.965886407,0.818939498,0.468997665,0.223686419,0.12199923,0.064404592,0.031495039,0.018221488
X5,0.729889557,0.70844415,0.827397341,4.329653873,5.182581402,2.281319524,1.338123312,1.039345141,0.818496294,0.840443897,0.600049261,0.351106349,0.14945981,0.041221742,0.033005374,0.023444666
X6,1.111972645,0.703095016,0.457328612,1.259951737,2.620767231,3.188177768,1.803600213,1.29053834,0.974946379,0.769406121,0.71835979,0.40649994,0.193195571,0.046012508,0.016205603,0.013586154
X7,1.149570961,1.597333597,1.289433664,0.703942499,1.230708093,1.877313344,2.164599886,1.600342915,1.136226496,0.837855244,0.629577044,0.462102674,0.232425736,0.057830964,0.027068835,0.018727823
X8,0.926492927,1.405082737,1.11818574,0.810739351,0.743632206,1.273284689,1.471747599,1.869200619,1.436764376,0.904759927,0.673421401,0.364480537,0.196045215,0.083252225,0.038008043,0.013475457
X9,0.637911442,1.084509335,1.162898971,1.068658583,0.812252515,1.020439347,1.255278499,1.330473469,1.492045399,1.060249925,0.774864093,0.312861883,0.206149509,0.075040368,0.033211808,0.01604608
X10,0.450853567,0.770573232,0.830169631,1.220775363,0.689922879,0.807263673,0.933454784,1.037083463,0.978760092,0.986391491,0.697371146,0.379884887,0.145658638,0.043403624,0.028701636,0.026142752
X11,0.482147259,0.75428911,1.020490975,1.020074762,0.743811444,0.988437736,0.92957163,0.88592925,1.084538742,1.093790551,0.905372335,0.55793245,0.186177983,0.040572622,0.029601868,0.024779347
X12,1.113450482,1.367415231,1.020385241,0.910597054,0.681604041,1.065127984,1.112777291,0.8321769,0.856251599,0.789288481,0.811760128,0.596657197,0.295549818,0.104186099,0.032718498,0.036166419
X13,0.681831776,0.725740935,0.542544943,0.476075781,0.396030551,0.562875575,0.625352632,0.682432685,0.552021998,0.472999156,0.439712548,0.407323386,0.220164808,0.109502848,0.041557058,0.01283521
X14,0.499657307,0.789758115,0.616425815,0.248849434,0.245220837,0.280974463,0.398143965,0.410664885,0.325477006,0.16809089,0.180766544,0.183327542,0.14517336,0.138077899,0.068320631,0.02066866
X15,0.191874492,0.604445603,0.491255246,0.344358341,0.107109614,0.204446661,0.161726969,0.286729563,0.269070054,0.237284262,0.216585264,0.129063508,0.148536021,0.111980336,0.09550127,0.068250042
X16,0.296219349,0.42498098,0.539938475,0.380365936,0.113042166,0.122572843,0.157562368,0.269976974,0.241195285,0.242826491,0.246565949,0.151972801,0.0658739,0.102273249,0.058707716,0.043513928
