,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.602748426,2.017727051,1.095619769,0.659917417,1.008371864,1.409850981,1.418599169,1.055120387,0.591595401,0.340171614,0.345332787,0.29510932,0.175257695,0.134592596,0.068897126,0.032373923
X2,1.89648963,11.50115988,2.710470294,0.777946167,0.469935436,1.001916105,1.189909421,1.085173759,0.814490433,0.363336028,0.232795403,0.232320524,0.176610032,0.120718982,0.051737953,0.031660101
X3,0.815704999,4.065628912,13.93220003,1.733215804,0.783534191,0.634129462,0.776821647,0.892525464,0.919584157,0.513837441,0.27060895,0.149176086,0.097182896,0.100030344,0.064260847,0.038280762
X4,0.457437817,1.080001853,4.958185291,13.08526812,2.424567945,1.13510946,0.722466384,0.866654032,0.918505864,0.791345373,0.427424351,0.201308721,0.112952279,0.059910603,0.031198861,0.017040857
X5,0.706263494,0.591353533,0.741855097,3.741075073,5.540269972,2.589529301,1.463162689,1.123347043,0.917044733,0.950763345,0.664766551,0.383599731,0.183596085,0.041828304,0.036515395,0.024066818
X6,1.202560639,0.597898408,0.387081047,1.165417816,2.859854474,3.793257283,2.13781815,1.497706183,1.197907817,0.945354698,0.86410043,0.480569126,0.254863626,0.047051496,0.018749925,0.013460183
X7,1.119773995,1.204319103,0.986173822,0.55123064,1.30707152,2.098263475,2.454483683,1.800672357,1.350737947,1.033092089,0.745282366,0.532699966,0.275159997,0.054632141,0.026624146,0.017623061
X8,0.91103577,1.240993656,1.048301375,0.772040214,0.806128511,1.446972272,1.656814435,2.097012192,1.733430997,1.129372467,0.837933843,0.435494095,0.225354559,0.076111055,0.037337713,0.011700512
X9,0.721924885,1.057769547,1.205950222,0.957815812,0.935701893,1.233532934,1.523444152,1.603557844,1.872890746,1.401483691,1.012681535,0.404617824,0.256646431,0.059708314,0.034327516,0.014406281
X10,0.442688888,0.769376797,0.910808039,1.168491851,0.856705235,0.995159707,1.148097116,1.283551257,1.30298921,1.306866841,0.905260361,0.488385784,0.202384422,0.039746393,0.030159132,0.023620073
X11,0.480074425,0.605344486,0.847813393,0.913285463,0.897790953,1.19705782,1.143440215,1.087184515,1.433929212,1.442828124,1.176885969,0.707002167,0.260573627,0.043327881,0.031116516,0.025393516
X12,0.863521096,1.029835712,0.795388435,0.82261025,0.762807694,1.127614986,1.221043302,0.948033619,1.07249859,0.946789024,0.964716676,0.739218951,0.389538091,0.104020817,0.038632705,0.027945717
X13,0.659439984,0.786142792,0.583399134,0.524257104,0.500843613,0.742957777,0.817962983,0.881436925,0.787382644,0.72210731,0.639351557,0.621145157,0.306215859,0.128237113,0.054063735,0.015717808
X14,0.454171743,0.764562217,0.656284711,0.294152994,0.280589759,0.310358846,0.396216511,0.396836592,0.296782451,0.160591311,0.180085936,0.210259465,0.165109161,0.163740772,0.084653657,0.024361779
X15,0.222733803,0.68654463,0.68270584,0.50241352,0.136605252,0.240848147,0.191704738,0.317410042,0.319736971,0.252147763,0.220375894,0.170692612,0.189458721,0.146142822,0.127636497,0.085399213
X16,0.275311801,0.422706415,0.632480127,0.480586615,0.120492687,0.125505535,0.155668671,0.229852755,0.238334621,0.211511186,0.237054125,0.129342727,0.07765832,0.111289235,0.073916294,0.054816914
