,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.852657572,0.788006124,0.31322889,0.228861565,0.297671599,0.56570217,0.909538829,0.875112186,0.488648166,0.239905134,0.260579234,0.259343268,0.170288612,0.133910318,0.079436542,0.045978535
X2,0.747987811,4.020820848,0.782234614,0.242689568,0.146111088,0.373421542,0.739546663,0.867501877,0.75275046,0.28946761,0.195063867,0.20372244,0.163315137,0.120566954,0.056281598,0.048207318
X3,0.18191786,1.279850142,5.960047167,0.692484025,0.243477581,0.226124666,0.402132383,0.711377973,0.880525433,0.435594588,0.262621609,0.158358141,0.091671959,0.097314634,0.072708421,0.063107975
X4,0.121452886,0.292688637,2.229821139,8.535014501,1.200801885,0.58575467,0.530703917,0.779940856,0.949069973,0.907879759,0.49520391,0.185913341,0.081365553,0.067253392,0.039371842,0.031470623
X5,0.177512434,0.165835287,0.220781097,1.977516133,3.63914095,1.571687991,1.158963272,1.093485866,0.90537615,1.058721747,0.748862866,0.344675348,0.098531104,0.059718214,0.064247912,0.056958676
X6,0.392181577,0.237579148,0.128270317,0.680811827,1.808329369,3.102957099,1.751324894,1.441303077,1.169168908,0.926411339,0.898609308,0.429851724,0.153499303,0.073769742,0.03649815,0.031227543
X7,0.67747152,0.903854201,0.606294868,0.465364869,1.024033172,1.753216319,3.243169846,2.119243969,1.496384328,1.072319361,0.818851179,0.544993989,0.29025695,0.149949997,0.074615491,0.069263656
X8,0.751691021,1.096587805,0.896334515,0.706695263,0.760267939,1.400829856,1.997190455,3.533886455,2.20675752,1.296345028,0.873421875,0.442296638,0.355678998,0.253662705,0.140945374,0.056503283
X9,0.346613991,0.69069098,0.8804341,1.116535883,0.886970132,1.166879507,1.639551153,1.953592752,2.853275944,1.551006085,1.013048972,0.276281559,0.209663052,0.158314103,0.108150037,0.054167718
X10,0.345224647,0.441735258,0.510013505,1.331724743,0.801296226,0.905821481,1.190570471,1.404037958,1.437460939,1.838193612,0.943202654,0.307637481,0.143367313,0.097296709,0.085230351,0.086354402
X11,0.262252098,0.583563752,0.845980853,1.220947177,0.957689578,1.175276248,1.145004306,1.164198974,1.460956471,1.50747532,1.66633619,0.655951963,0.278421667,0.150918796,0.101380935,0.103437855
X12,0.643522419,0.821603472,0.677597224,0.924636113,0.714352786,1.140031754,1.226199247,0.903947999,0.839185209,0.674356136,0.983161847,1.741395843,0.665133982,0.340690518,0.16505308,0.129975048
X13,0.518577826,0.472123435,0.315545193,0.4422736,0.420995775,0.638801194,0.919374982,0.933856194,0.6072432,0.412661383,0.468280361,0.862218504,1.371635506,0.574388325,0.313931992,0.134555045
X14,0.338291537,0.521675843,0.437460865,0.256814482,0.320915156,0.47119941,0.841722536,0.905291865,0.716941742,0.374102398,0.435999727,0.694010091,0.732945029,1.303392554,0.355277431,0.173462469
X15,0.161742065,0.475637294,0.48034653,0.452142063,0.209120127,0.37013092,0.422274662,0.776562374,0.769446621,0.556501421,0.436159656,0.471162365,0.781443678,0.777813585,1.085748822,0.335162131
X16,0.304515869,0.424306045,0.633591646,0.530870543,0.209124247,0.231152456,0.398707594,0.503884691,0.548749303,0.595759643,0.615622887,0.432513704,0.29998476,0.431474408,0.361041112,0.550530421
