,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.148854637,3.074524513,1.53408949,0.878771919,1.248990482,1.708813877,1.799766136,1.429779782,0.740816657,0.400031368,0.395688212,0.326689678,0.197572932,0.131303655,0.058067673,0.031848998
X2,2.850988317,15.29208902,3.402445049,0.9565495,0.560768516,1.162132561,1.442772949,1.394644737,0.998920405,0.434091822,0.27041372,0.247116,0.179415316,0.110192015,0.043694661,0.027580079
X3,1.055718894,4.900779943,15.18769493,1.986479855,0.832460734,0.658867619,0.896123025,1.041485104,1.067279366,0.588395322,0.297087421,0.143840757,0.090442694,0.08520179,0.049468995,0.028567079
X4,0.537008915,1.273702132,5.956683343,19.11344137,2.587579456,1.18484354,0.83054549,1.010363691,1.013020341,0.881808676,0.489722828,0.241516608,0.134774189,0.049802041,0.022964105,0.013613905
X5,0.743827821,0.647026685,0.803195128,4.696222238,5.388587589,2.251242964,1.304891534,1.045751216,0.827609668,0.864439649,0.623004884,0.368870391,0.210739214,0.029843838,0.022435604,0.01543998
X6,1.185376546,0.681060548,0.466741967,1.317891325,2.633546328,3.163089142,1.742377749,1.257868008,0.983924236,0.777585705,0.734866046,0.436091164,0.271883094,0.03322743,0.010522942,0.010362666
X7,1.172522483,1.529246,1.22070048,0.711403823,1.177174464,1.776209796,2.102494957,1.532868416,1.104659789,0.844355443,0.626268835,0.4769295,0.282768379,0.038939478,0.017646626,0.011042849
X8,1.022477263,1.499137651,1.21056925,0.904536072,0.745449572,1.23556781,1.421856051,1.839782249,1.421813085,0.922583247,0.706985172,0.396991639,0.222154224,0.060477406,0.025733514,0.008341679
X9,0.626972236,1.040509635,1.151948952,1.148315645,0.816390621,1.00488635,1.215329489,1.296316414,1.528772451,1.120116593,0.847845515,0.368655316,0.262087978,0.047506547,0.019906903,0.01062784
X10,0.383084514,0.758166844,0.879959927,1.385297032,0.708736096,0.803726395,0.940111727,1.041645764,1.032804422,1.072126838,0.760726181,0.44854191,0.206998394,0.027787014,0.018302045,0.017432011
X11,0.425697274,0.720575612,1.001782037,1.106964655,0.731353791,0.979591142,0.950739267,0.91692639,1.18836907,1.224709433,1.051517434,0.670753692,0.272947681,0.025410469,0.01704558,0.01732943
X12,0.794081056,1.041347533,1.029129386,0.943814507,0.640834828,0.951764021,1.050544637,0.853901452,0.962710022,0.840373562,0.900483872,0.744179623,0.398052591,0.058186615,0.019605565,0.022528105
X13,0.617759817,0.681633479,0.732827868,0.545018632,0.494620186,0.705888855,0.772982379,0.872103218,0.800807789,0.772693302,0.692630772,0.711494782,0.364921502,0.09029767,0.029208126,0.008001341
X14,0.428398646,0.716911202,0.604952575,0.25618663,0.203019264,0.196277814,0.288703882,0.312063134,0.221915091,0.115417278,0.118444604,0.127418972,0.112638287,0.111219292,0.061144977,0.013533637
X15,0.18255529,0.582824645,0.468173896,0.348415999,0.080920098,0.133991251,0.117101042,0.207776553,0.150759866,0.163700289,0.135817229,0.100631611,0.106150633,0.089647403,0.064319763,0.057860556
X16,0.322930042,0.465143024,0.662174392,0.501098861,0.102496652,0.108403988,0.107789348,0.188898252,0.18351323,0.17522066,0.18187522,0.128064528,0.04900624,0.076474739,0.04656807,0.035899534
