,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.3874091,1.301042774,0.56015529,0.367986169,0.483263926,0.880846333,1.294229354,1.135052635,0.569767982,0.350162256,0.366581426,0.295492405,0.192820798,0.150244347,0.07826421,0.05072356
X2,1.185069612,5.150670526,1.203588188,0.351990691,0.207427882,0.516766155,0.916347314,1.076064166,0.851478098,0.353395561,0.232234609,0.199573375,0.167400069,0.120408518,0.04864589,0.042730331
X3,0.323926481,1.768813631,7.711624871,1.026340845,0.402447464,0.321678702,0.594979913,0.86748843,1.125073971,0.634202298,0.327800228,0.157658603,0.09975783,0.097258344,0.061209273,0.05610419
X4,0.191667636,0.434381213,2.967020487,11.23595954,1.810909979,0.874952523,0.720714992,0.948749755,1.173676592,1.145415366,0.61144359,0.277898365,0.111033527,0.064337823,0.031678098,0.024147583
X5,0.301575777,0.232872162,0.421337657,2.903161667,4.651951531,1.956234249,1.31518547,1.196461167,1.00737806,1.241669279,0.87939164,0.498056591,0.1625584,0.053471835,0.049091388,0.044634959
X6,0.656850817,0.330582349,0.295428175,0.968260022,2.232621852,3.67028244,1.941995786,1.518688949,1.262508857,1.074561055,1.044515635,0.607296595,0.218171817,0.059074571,0.026349822,0.022167209
X7,0.83675602,0.954955661,0.793645301,0.564826601,1.143955046,1.878612579,3.101493731,1.994422445,1.488733724,1.21517095,0.942161742,0.704673642,0.280526075,0.095759555,0.042183568,0.043406397
X8,0.776342272,1.119524056,0.989366515,0.868251963,0.820370515,1.458481332,1.838167072,3.118566383,2.082483846,1.404899278,1.051326566,0.608352595,0.290573074,0.153245615,0.07492726,0.033082888
X9,0.393371968,0.74396098,1.083951078,1.185530796,0.962057568,1.262747658,1.634677466,1.866200858,2.704264615,1.714519841,1.246378178,0.530102434,0.251321606,0.108887429,0.064263797,0.032727417
X10,0.439849505,0.564578226,0.858577979,1.693787107,0.966707411,1.081169496,1.347700786,1.544595611,1.617170137,2.201935594,1.245835165,0.667040656,0.215766221,0.085049376,0.06449106,0.065838619
X11,0.351595684,0.656147193,1.086309718,1.465114688,1.113577377,1.441859357,1.380102179,1.378609609,1.789642101,1.996198587,2.115060276,1.091980568,0.338269019,0.115882493,0.06955034,0.071572803
X12,0.672236769,0.80636361,0.989690198,1.078323218,0.87052103,1.371237652,1.529835063,1.262848329,1.417364267,1.247394917,1.469591792,1.730632513,0.561639503,0.202863006,0.084401941,0.067678832
X13,0.559376223,0.535890176,0.492821834,0.581484252,0.499624724,0.736927238,0.871933561,0.944041416,0.768163651,0.70585388,0.67028404,0.812354073,0.969553854,0.352054929,0.161947958,0.073552415
X14,0.331717625,0.525852505,0.436658349,0.246436103,0.289585513,0.375837295,0.549986586,0.562104213,0.49534115,0.309606549,0.337197693,0.41766019,0.441875712,0.82600781,0.208782922,0.093436327
X15,0.139132527,0.399319215,0.391088314,0.371450673,0.151860914,0.24496024,0.24441951,0.422009313,0.464806355,0.37345827,0.300747089,0.258920652,0.417820675,0.423108886,0.564336689,0.189959346
X16,0.298888022,0.385728439,0.568380786,0.459483116,0.160631914,0.18013924,0.275250408,0.355341581,0.374952932,0.43107941,0.434191468,0.256180605,0.185725656,0.267830182,0.215487997,0.380022763
