,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.794431838,1.132400783,0.675698632,0.425044565,0.651792433,0.945796837,0.984294511,0.8291671,0.479702219,0.287789369,0.309525138,0.239287538,0.160864805,0.113842096,0.061785555,0.035851944
X2,1.035848653,7.49043108,1.874622796,0.565201207,0.341511835,0.783950338,1.002193882,1.054343971,0.804210927,0.383927171,0.247510679,0.207178546,0.172331641,0.110952576,0.050834804,0.038484693
X3,0.533838868,3.021254894,12.6747854,1.591559809,0.667895313,0.565001976,0.700641913,1.046351286,1.077937321,0.639573636,0.339939492,0.169592821,0.113150204,0.107138329,0.073236369,0.058004047
X4,0.295381217,0.76308204,4.761123842,14.36983957,2.398692734,1.061258522,0.752381291,0.984806479,1.147367201,0.991668406,0.531023563,0.230399129,0.112111995,0.066151451,0.036665694,0.024890871
X5,0.48401811,0.405385867,0.600581094,4.190391301,5.497197119,2.280736416,1.406762719,1.03448188,1.028526931,1.033833072,0.752855952,0.412180617,0.146316389,0.049061629,0.047614779,0.0392831
X6,0.890547306,0.535468148,0.30392333,1.20043164,2.70330189,3.169990202,1.764705216,1.13155271,1.033142577,0.769414948,0.789417746,0.429189101,0.177697903,0.057682562,0.024351691,0.018184596
X7,0.794905063,1.16314596,0.90072711,0.608210176,1.244061125,1.75175362,2.436583894,1.57322657,1.366928793,0.866930009,0.744405478,0.522151532,0.232736685,0.072141552,0.035516487,0.029032837
X8,0.769170017,1.351830912,1.203314999,0.831145988,0.753593732,1.137306965,1.512299547,1.908369985,1.582978591,0.836695231,0.649011351,0.373554741,0.23525071,0.127993312,0.066233675,0.025077249
X9,0.495665524,0.940590233,1.22625624,1.317868727,1.040871359,1.061563038,1.536488772,1.472028453,2.159698525,1.237516286,0.955867699,0.374959291,0.201266621,0.098557041,0.057808463,0.029586796
X10,0.310147882,0.730006855,0.87071904,1.675719632,0.909047206,0.788140648,0.979978302,0.962268385,1.172586988,1.147197853,0.791762163,0.371197595,0.132254639,0.053612936,0.050423329,0.047980717
X11,0.387863015,0.703488511,1.031435924,1.329587801,1.100288522,1.187875289,1.127706882,0.874424159,1.369481456,1.229890087,1.212556735,0.676968738,0.202784049,0.062192064,0.047695113,0.044873678
X12,0.590505398,0.815752534,0.689491086,0.91285123,0.780044377,1.120131398,1.218431863,0.794917106,1.004129327,0.712899767,0.905240361,0.79567812,0.319034886,0.101506672,0.042938354,0.032862402
X13,0.661315755,0.624291761,0.433167088,0.598526936,0.521583894,0.709473834,0.850738212,0.844757167,0.609089497,0.434456877,0.437909092,0.497239797,0.420461979,0.217040908,0.08269799,0.032967634
X14,0.41402699,0.593731604,0.515201302,0.276210156,0.314707153,0.41122789,0.623302399,0.682586344,0.516046812,0.214628038,0.210452439,0.237583888,0.276151687,0.341727751,0.134010443,0.044105187
X15,0.199839826,0.586143592,0.536805478,0.497411529,0.181274356,0.327850062,0.29043175,0.590877417,0.558006535,0.458082162,0.30292558,0.172726413,0.238552046,0.252777183,0.28056849,0.141767753
X16,0.330129097,0.463101789,0.770195596,0.591860922,0.209131629,0.18495891,0.26521639,0.525035112,0.611336283,0.564477076,0.464639202,0.174690803,0.104879724,0.172557734,0.173068676,0.146230072
