,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.119972072,1.391722136,0.731865089,0.54212039,0.896004664,1.273392347,1.347991478,1.0673955,0.59852994,0.41323102,0.430945243,0.365067848,0.177064702,0.16091474,0.087544126,0.039703389
X2,1.145102975,4.208271861,1.323935599,0.45862527,0.306661239,0.708998687,0.947243367,0.909920554,0.682151414,0.333997434,0.224324954,0.21567302,0.130818592,0.11149528,0.050050931,0.030488691
X3,0.430587695,1.967687641,8.717941013,1.23328182,0.547095442,0.459200609,0.648785498,0.87103248,0.900960494,0.548785699,0.28983986,0.155790927,0.075299214,0.097867575,0.065632548,0.040590641
X4,0.309532166,0.628125579,3.950479984,14.59190726,2.480820031,1.127163456,0.830401664,1.098964831,1.206053173,1.11158617,0.55927957,0.220155704,0.079807171,0.072726418,0.038903805,0.022138235
X5,0.553142196,0.380140351,0.518399208,4.201949781,6.215347271,2.778793205,1.694810717,1.464026332,1.228314218,1.364863621,0.907415677,0.405134274,0.087145429,0.05930354,0.057533871,0.03753107
X6,0.921372029,0.475266368,0.279972528,1.255126057,3.134979947,4.017376115,2.317706437,1.793067284,1.479072231,1.24033505,1.077865527,0.438533821,0.116773001,0.062948081,0.027542545,0.01805438
X7,0.894746833,1.161838561,0.95830045,0.697433976,1.499657242,2.33126187,2.933427276,2.215742095,1.669900176,1.33197196,0.939971285,0.487750162,0.164413704,0.088553645,0.04349696,0.028367296
X8,0.793278858,1.180946791,1.114222109,0.986140833,1.032045769,1.744984833,2.070895418,2.829831615,2.24757891,1.506909356,1.018053071,0.390388931,0.171622171,0.143523589,0.074559625,0.022523799
X9,0.49529566,0.837861905,1.13091901,1.452982877,1.2421823,1.503566463,1.860573589,2.061210378,2.541509092,1.836809946,1.218175354,0.304567158,0.124037812,0.113692939,0.065943712,0.026844799
X10,0.463746728,0.669448396,0.870386906,1.958617719,1.236004571,1.309872162,1.496463952,1.69879137,1.745265502,1.935617748,1.192320382,0.394146375,0.092489444,0.075992578,0.064919299,0.052156346
X11,0.480277187,0.66842551,1.037860547,1.530372473,1.322728885,1.618474328,1.431150069,1.347488556,1.747062997,1.872359191,1.513092133,0.659818403,0.13728423,0.080570773,0.057178804,0.046009951
X12,0.834555588,0.877777206,0.716187076,0.999310382,0.857633693,1.25679457,1.193716205,0.846220105,0.855443549,0.767343538,0.888222668,0.660518553,0.255849374,0.141284496,0.058872055,0.039158496
X13,0.506080356,0.444937206,0.287487962,0.388317169,0.324254903,0.438486454,0.502538548,0.492586851,0.309612017,0.240091614,0.237109142,0.277913541,0.235530102,0.166473728,0.072741983,0.021528551
X14,0.487532949,0.685386393,0.56885703,0.325144784,0.381123091,0.464771056,0.692175085,0.726962433,0.568374451,0.284331477,0.26544003,0.313099264,0.26186155,0.365371967,0.147217095,0.046405841
X15,0.214806207,0.59489768,0.521036168,0.503346499,0.20067338,0.347524214,0.31532889,0.583975106,0.55836697,0.445413701,0.304336569,0.215519807,0.248755749,0.288736355,0.304044074,0.132093848
X16,0.293980251,0.399131172,0.585352318,0.515506463,0.179708124,0.177939594,0.247637184,0.415790778,0.418037293,0.39590087,0.348261863,0.180618804,0.081662671,0.164734346,0.12915129,0.105851522
