,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.763183,1.588130919,0.933787435,0.610479686,0.956618551,1.282446955,1.270358457,0.822986337,0.572087874,0.329946553,0.344333405,0.27722253,0.16882429,0.115018,0.056152177,0.027859935
X2,1.372366017,7.737762956,2.119435469,0.666605864,0.424299249,0.926855034,1.123275504,0.857190947,0.796521627,0.356813058,0.236868606,0.203552279,0.155358899,0.093273789,0.039104403,0.024810638
X3,0.648003274,3.285526931,13.29231698,1.816145208,0.813674186,0.643227376,0.88405218,0.84548211,1.050766545,0.596616088,0.322566986,0.154239144,0.095354494,0.086567168,0.053235652,0.034820137
X4,0.398332136,0.974832426,6.000484773,21.75536706,3.200582896,1.46174702,1.022173341,1.064545449,1.267046955,1.077000817,0.569456876,0.284581031,0.136617422,0.061001071,0.029407074,0.018278082
X5,0.64898287,0.532019809,0.787152132,5.601002862,6.968568735,3.01960227,1.775705437,1.297250688,1.143074372,1.191657662,0.785426071,0.479949607,0.209948052,0.044458052,0.037006248,0.025826216
X6,1.076436043,0.650821922,0.454152754,1.607838654,3.480847865,4.248359757,2.402163992,1.599968337,1.37859559,1.118173548,0.949110653,0.57482508,0.276549559,0.050281644,0.01804765,0.013522984
X7,0.94966465,1.418632396,1.25050396,0.833906696,1.562296906,2.382357868,2.859396655,1.928538376,1.521623646,1.198581456,0.814543329,0.629638913,0.300201897,0.060047714,0.028638507,0.019223873
X8,0.586533483,0.988296288,0.932321349,0.901737668,0.876143468,1.514473804,1.719289642,2.0938546,1.812719,1.233268867,0.829304991,0.478283376,0.215678684,0.065727184,0.030803034,0.010881413
X9,0.534995296,0.987849038,1.291032093,1.45405257,1.139248229,1.392423539,1.682644221,1.687505793,2.096336714,1.55295849,1.008315936,0.450257108,0.250935641,0.069626193,0.038243312,0.018083747
X10,0.303803718,0.662269692,0.909281653,1.696326687,1.012586795,1.142667153,1.321334962,1.374647938,1.434017705,1.533913904,0.956162321,0.556922318,0.194239495,0.039130141,0.031459777,0.030539286
X11,0.341810746,0.653626766,1.060179632,1.38913433,1.038902949,1.336074359,1.211985021,1.083359511,1.42548252,1.527630057,1.186456737,0.773016504,0.242641978,0.039574697,0.027812529,0.026868761
X12,0.518402483,0.701629727,0.829304983,0.960180121,0.795722225,1.249304206,1.335596101,1.012258964,1.166809805,1.010453736,1.0047496,0.897639346,0.380157684,0.075757894,0.025758888,0.022135513
X13,0.474520257,0.493653529,0.483910103,0.531287966,0.535008539,0.799925398,0.864854449,0.870523337,0.755066627,0.701821129,0.566440811,0.646448591,0.350064344,0.147713211,0.047844737,0.01437881
X14,0.267224842,0.397210204,0.33010303,0.18222421,0.219443119,0.263644284,0.36061403,0.321231829,0.270617495,0.136060515,0.125628916,0.157844608,0.159262551,0.187415766,0.071980764,0.020866307
X15,0.113988002,0.334988303,0.303384801,0.284106478,0.110922455,0.18342567,0.169577391,0.261738729,0.289250015,0.230632096,0.161997194,0.105711369,0.144057119,0.131810963,0.124981712,0.089851733
X16,0.165143388,0.232888627,0.348221527,0.304449681,0.096136229,0.100248136,0.136759203,0.221615515,0.222078247,0.222539991,0.183364748,0.095266789,0.048286513,0.091142155,0.071807334,0.058901491
