,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.16115861,2.173756417,1.289565823,0.75032508,1.166347661,1.52208426,1.462725111,1.135400188,0.736578348,0.441785454,0.434081181,0.359846624,0.206716575,0.143292484,0.067695151,0.030666894
X2,1.84879963,9.771933515,2.593418211,0.72203029,0.43741495,0.887776614,1.04935722,0.975975595,0.811543702,0.374606511,0.239788093,0.231997761,0.168854678,0.106472152,0.045277448,0.024994404
X3,0.871827281,4.001075713,15.21053603,1.813568475,0.834894329,0.616087801,0.767962941,0.931276766,1.027688207,0.585895515,0.308093733,0.162414964,0.103472215,0.10171355,0.062464529,0.033619908
X4,0.455019313,1.005266249,5.14901188,13.04591858,2.375838632,1.008937947,0.629595061,0.8117059,0.921906324,0.761716346,0.422283379,0.200612928,0.118499347,0.0578849,0.028919064,0.01489367
X5,0.731524208,0.583291385,0.800734417,3.738551088,5.268007833,2.18545669,1.135827835,0.821495384,0.770044285,0.815172814,0.569838394,0.343821816,0.168162379,0.041709755,0.034136925,0.020948774
X6,1.082982861,0.520159888,0.361459677,1.02438434,2.364255657,2.690189693,1.449797514,0.958504605,0.784074606,0.61764113,0.62918682,0.365248143,0.21093202,0.044929948,0.015579486,0.011174907
X7,0.961456381,1.056087075,0.898743593,0.479920326,1.01204708,1.453742367,1.59238084,1.159100173,0.866937569,0.582373656,0.50567414,0.389639058,0.232167767,0.051840371,0.024235828,0.013769438
X8,0.784956337,1.063613622,0.932923652,0.654447426,0.602024894,0.942442402,1.074912954,1.344202372,1.103454882,0.622234945,0.504029793,0.30120531,0.198368154,0.078710736,0.036373937,0.010889551
X9,0.683766498,1.054821408,1.265577604,0.96750966,0.805584103,0.850026005,1.026303695,1.093287969,1.308463501,0.823249656,0.630043049,0.270444058,0.225631497,0.084988596,0.04032461,0.018342329
X10,0.413208664,0.689061138,0.840755542,1.077194735,0.751176747,0.667672346,0.673102968,0.756794911,0.785877372,0.764022182,0.579878344,0.302669484,0.151697141,0.047390583,0.036178777,0.030672628
X11,0.457554199,0.542300716,0.772269642,0.837253606,0.820760148,0.929288629,0.758617194,0.677853369,0.888758163,0.845475466,0.803064045,0.530594061,0.215297219,0.040969133,0.030838993,0.02511685
X12,0.876244608,0.939056629,0.721182625,0.715837602,0.674150729,0.985726183,0.96868264,0.684706883,0.734537693,0.612513529,0.743575494,0.598260025,0.338988482,0.090579884,0.029513395,0.027697774
X13,0.562594116,0.541149875,0.444450996,0.392783467,0.428921225,0.616288661,0.672642811,0.720362106,0.60863425,0.478620614,0.497370169,0.514767815,0.300316388,0.112219363,0.037203468,0.010026044
X14,0.401892266,0.593299691,0.482878563,0.21894599,0.234482051,0.27395835,0.393991122,0.413137847,0.33489464,0.158036943,0.153414808,0.16513172,0.146168753,0.148741451,0.070661668,0.016978607
X15,0.155452002,0.467455334,0.399276558,0.316312171,0.109072152,0.194979449,0.159989194,0.303592478,0.30261227,0.258583126,0.198268323,0.113793573,0.126434807,0.113703589,0.102367684,0.070880853
X16,0.188676073,0.272651027,0.374766121,0.28446455,0.090598436,0.089706692,0.115270844,0.216320686,0.226392443,0.216114333,0.191576121,0.094589714,0.042877687,0.071985849,0.054225864,0.034630625
