,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.846212331,2.419097304,1.299146069,0.731555026,0.968941612,1.295138099,1.290008563,1.061318192,0.580365613,0.352516561,0.351179877,0.288055591,0.182038415,0.127495136,0.060280311,0.029379223
X2,2.354940848,14.19634992,3.459981055,0.927829271,0.543520284,1.113729341,1.290328133,1.263074868,0.909796492,0.436545091,0.299234633,0.270760209,0.214270849,0.132152269,0.054975235,0.032510226
X3,0.992057687,5.044546616,16.22694537,2.154717822,0.921444425,0.732750475,0.936154133,1.111156253,1.083617419,0.633789491,0.350953987,0.177283879,0.124951131,0.1188212,0.071448646,0.040465932
X4,0.515167841,1.322348612,6.15792896,17.6565933,2.543032997,1.144893469,0.771128488,1.000242207,0.958690198,0.826454689,0.470003253,0.233074594,0.142540206,0.065981082,0.031616486,0.017452015
X5,0.695093701,0.685241651,0.886712971,4.567367361,4.959568846,2.06595505,1.165519761,0.929870419,0.742037036,0.779341844,0.552927485,0.335200444,0.186318945,0.039418958,0.030643089,0.020181019
X6,1.007795511,0.67317195,0.469462754,1.222030987,2.378425435,2.678282473,1.491382622,1.093502122,0.828495069,0.679775152,0.635854735,0.374569335,0.232853489,0.041713713,0.014246313,0.011229086
X7,0.977885553,1.479488064,1.208362665,0.651284504,1.063005548,1.554819964,1.710878267,1.325157306,0.940570334,0.714333286,0.549942691,0.416563039,0.256517278,0.049496943,0.023091057,0.014680282
X8,0.889150122,1.444935613,1.175369439,0.805598626,0.675722268,1.093401718,1.245854144,1.585816858,1.223997763,0.784520375,0.594817299,0.342558445,0.221173897,0.080672457,0.036445206,0.012323958
X9,0.619878126,1.0975932,1.230239507,1.090334498,0.75244606,0.876977418,1.058938626,1.147435738,1.278642343,0.934417531,0.69801433,0.301956627,0.24732439,0.071068182,0.032130793,0.015087056
X10,0.439949371,0.846643529,0.925644388,1.318912203,0.695432632,0.734778919,0.812875066,0.916457098,0.87766878,0.900208178,0.666031709,0.381200529,0.188189936,0.044552176,0.02999233,0.026892249
X11,0.459274241,0.798077255,1.040831545,1.06512334,0.732192837,0.914114299,0.828305228,0.787779842,0.980875191,1.025321189,0.870329469,0.57710673,0.244687528,0.038767214,0.028254619,0.023428289
X12,0.925000558,1.20369215,1.009088406,0.87785867,0.629449946,0.959553196,0.993935445,0.761519055,0.811390281,0.75241314,0.801785282,0.622514427,0.363841235,0.088717136,0.027544746,0.02977177
X13,0.622293593,0.685179374,0.651165911,0.50407441,0.455844734,0.65448763,0.712335011,0.797259476,0.692323552,0.636219375,0.589598505,0.585832866,0.32134427,0.109149975,0.038562365,0.010956976
X14,0.451924911,0.73282983,0.569986014,0.23633012,0.230548516,0.256195235,0.35576656,0.377210122,0.294085949,0.158815182,0.164118534,0.167142643,0.139188134,0.13087806,0.065319393,0.018594131
X15,0.171087099,0.546103648,0.452718981,0.325548228,0.099657639,0.183382061,0.1449877,0.267383972,0.253231621,0.22761287,0.197985426,0.115642369,0.13703373,0.107358291,0.086313238,0.069040564
X16,0.238880499,0.348518793,0.451864426,0.328715742,0.094265152,0.100621212,0.126077291,0.228328757,0.203880222,0.209241522,0.203971988,0.122100288,0.053466247,0.087716067,0.053254098,0.035973861
