,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.93655474,1.254723313,0.605297807,0.397293678,0.590433711,0.909691764,1.110524143,0.894752169,0.476246481,0.2791696,0.275792932,0.219954607,0.155287133,0.127958634,0.077157208,0.038159684
X2,1.263141377,6.584658539,1.746487025,0.522644625,0.340649253,0.755540087,1.103985763,1.136593198,0.877366264,0.366258379,0.231277436,0.20411664,0.181903085,0.13826789,0.066389472,0.04537342
X3,0.46099461,2.624244646,10.54097918,1.448187826,0.640258184,0.513013465,0.712746408,1.033759727,1.154031139,0.615949908,0.313507598,0.15911817,0.114824501,0.126007499,0.091386498,0.065160933
X4,0.26817411,0.697677362,3.983856685,12.19664226,2.159110576,0.917123396,0.62046628,0.861393253,1.019412158,0.932769681,0.466260738,0.187891538,0.103772924,0.078704596,0.045223997,0.027978518
X5,0.459055249,0.407129078,0.575681454,3.904201898,5.91784403,2.165131273,1.188101848,0.87128913,0.78875331,0.985912527,0.647261794,0.348988449,0.134285685,0.063821569,0.067487946,0.048934372
X6,0.791256217,0.484942328,0.281321852,1.016445455,2.547037654,3.272112697,1.571584744,1.023879925,0.798743524,0.662849879,0.656131996,0.357193285,0.167528225,0.064588621,0.031823034,0.021598762
X7,0.847953171,1.214239375,0.928131214,0.542130634,1.064936708,1.588907283,2.14842696,1.29534692,0.879514945,0.600948122,0.502117776,0.357518551,0.211257621,0.092103391,0.048063969,0.037131546
X8,0.753674898,1.214578425,1.036023759,0.654314209,0.644235517,1.027927161,1.239206934,1.812222535,1.144042371,0.646606361,0.444778466,0.263856123,0.212919672,0.14096615,0.079448439,0.027406577
X9,0.448535081,0.863513432,1.108387381,1.078457977,0.76666166,0.824878935,0.995873558,1.074438308,1.504198249,0.808051056,0.53600694,0.198170711,0.168505384,0.105251121,0.068302138,0.029523243
X10,0.398939334,0.614406988,0.727624761,1.30762801,0.738534782,0.662474217,0.69487607,0.752758878,0.786440676,0.974784529,0.548659262,0.235697882,0.119745925,0.066220093,0.058451783,0.049250561
X11,0.355420869,0.625687427,0.86959733,1.049130859,0.864332431,0.92667849,0.714428761,0.616167894,0.787431305,0.821267917,0.842884151,0.427687391,0.177144583,0.075975254,0.055746607,0.046886795
X12,0.656555501,0.807196998,0.637544131,0.756017546,0.633389732,0.912190394,0.836424742,0.571129488,0.572432262,0.486993135,0.591784957,0.633941968,0.292650553,0.131052167,0.06006641,0.042338664
X13,0.655581319,0.648254565,0.447998431,0.546843945,0.479859078,0.641892972,0.710314984,0.704318692,0.499874036,0.376038773,0.37105665,0.429751823,0.523181284,0.259748603,0.130183496,0.04506006
X14,0.490847566,0.77073202,0.640346132,0.341076928,0.387237091,0.459632027,0.6613898,0.680066317,0.551748993,0.277516147,0.273219453,0.317865584,0.34872369,0.536347235,0.188189038,0.069068831
X15,0.236319209,0.713671113,0.640595746,0.578893425,0.227562894,0.369603791,0.33777552,0.595621879,0.590973019,0.457829346,0.329335584,0.234194127,0.382833753,0.393885471,0.487757865,0.18485362
X16,0.377639753,0.526537319,0.778899799,0.629165427,0.212883533,0.212144203,0.295964468,0.463207078,0.477979402,0.463024866,0.437900441,0.233349572,0.140318859,0.234681195,0.194014158,0.213168221
