,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.130494928,2.846705397,1.449089254,0.806405323,1.156435333,1.534450792,1.436631704,1.20931264,0.636737017,0.361504223,0.344877343,0.278309469,0.189078048,0.130433884,0.05492589,0.034791086
X2,2.71146526,15.21483882,3.444153226,0.956536678,0.59997974,1.218007575,1.318003782,1.319938623,0.921341438,0.424961685,0.281049302,0.250877545,0.205462394,0.124710877,0.047869261,0.034834349
X3,1.06037001,4.99229857,14.56732518,1.837757145,0.847195463,0.715243312,0.795343807,0.979150252,0.889923841,0.497206806,0.267065953,0.138906283,0.104019307,0.097507532,0.053899901,0.036080331
X4,0.57721338,1.380045887,5.46518997,14.5859357,2.343123205,1.094655366,0.694661234,0.921649188,0.827840887,0.683080287,0.371620229,0.176668951,0.108178811,0.057576179,0.026032245,0.016562505
X5,0.871146778,0.81372677,0.87189921,4.31061919,5.35620835,2.323440648,1.256348645,1.030968822,0.796884152,0.768489018,0.521561056,0.298286913,0.147650834,0.037560806,0.026050793,0.021646112
X6,1.288269944,0.80894783,0.458410875,1.218680839,2.669097722,3.183630146,1.726322216,1.334601634,1.028525595,0.77097282,0.66312068,0.359315135,0.196036835,0.038834646,0.012008903,0.012294579
X7,1.171704987,1.701366443,1.237383041,0.637546472,1.142658979,1.794583245,1.916072959,1.571513424,1.164081204,0.846999173,0.583496234,0.401585702,0.21740354,0.042312061,0.018402172,0.014308718
X8,1.123727356,1.737502688,1.287913077,0.800455265,0.752036389,1.330303978,1.478317406,1.918916541,1.555531559,0.963530328,0.68744717,0.348972805,0.192270039,0.070988811,0.028688612,0.011700104
X9,0.760661067,1.290988757,1.249944099,1.111794254,0.809543886,1.074041563,1.293753002,1.435538153,1.621673172,1.166025171,0.829558907,0.323528197,0.224509716,0.064202914,0.02440528,0.01406682
X10,0.464063513,0.964846966,0.92571785,1.284120595,0.673232657,0.820681323,0.957615591,1.110601827,1.076261669,1.01667703,0.713408217,0.383026831,0.160862625,0.038330556,0.022883227,0.022738896
X11,0.481216171,0.818130164,0.970091439,0.93468036,0.640701769,0.901815566,0.884488053,0.891817297,1.14793821,1.117734599,0.86298801,0.522056471,0.188344643,0.030456698,0.020738217,0.019360664
X12,0.901259535,1.18165916,0.828609567,0.762640225,0.534693029,0.846486415,0.916591178,0.757124232,0.843885568,0.731052654,0.717907577,0.497085278,0.26271081,0.06819314,0.021167077,0.02672753
X13,0.733286968,0.830133011,0.585404867,0.508472324,0.38582476,0.543614385,0.593615144,0.697317447,0.611630594,0.541939171,0.472295286,0.427710164,0.198586143,0.09262804,0.031715182,0.010301516
X14,0.552161974,0.919452122,0.756103759,0.295024725,0.2416376,0.236712583,0.327756114,0.36499481,0.266615274,0.14711665,0.15928889,0.150907652,0.124221417,0.093945692,0.063742201,0.017654514
X15,0.21300076,0.694255661,0.552262351,0.378199347,0.089899481,0.158249762,0.122119589,0.224400096,0.170585202,0.186105778,0.168911327,0.112610015,0.120560369,0.0914696,0.051916284,0.059264867
X16,0.509562963,0.729692,1.010825689,0.720943521,0.155379583,0.16415443,0.168538019,0.304308229,0.274364896,0.274599837,0.292343378,0.210754043,0.080913104,0.123527069,0.066866782,0.04336267
