,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.081234932,1.401559744,0.759459931,0.52875036,0.820552341,1.190641473,1.306888618,1.067213752,0.600664073,0.360216857,0.346690732,0.276956261,0.166466196,0.120939747,0.067753303,0.03699201
X2,1.228708423,5.16288675,1.596280061,0.509716302,0.337057114,0.751120463,0.998485255,1.003562775,0.780824851,0.3412973,0.210121992,0.188536968,0.140242297,0.095855601,0.044520409,0.031984208
X3,0.519987176,2.4471947,10.6552011,1.52141652,0.683864196,0.558085892,0.780849642,1.036007864,1.139842718,0.624303319,0.304768592,0.149551942,0.092658107,0.095639684,0.066294866,0.04826527
X4,0.328259378,0.715809002,4.552840288,16.2172629,2.795295734,1.261536237,0.935881099,1.177523855,1.309486753,1.121425742,0.530674742,0.221093386,0.108858459,0.064160941,0.035115452,0.02290216
X5,0.557284281,0.420495385,0.641757953,4.813734687,6.613556114,2.716022242,1.646149341,1.320211551,1.120783566,1.193119366,0.717715079,0.381354819,0.146814021,0.048772138,0.048299271,0.037731883
X6,0.951383869,0.513375945,0.356607408,1.397162067,3.168880769,3.919997099,2.187247,1.549597694,1.249334702,0.973614149,0.786168834,0.412283784,0.189916012,0.055273876,0.02376593,0.018731022
X7,0.942040566,1.216621079,1.054290653,0.759518309,1.464621581,2.185305011,2.858060628,1.988236112,1.466226174,1.039954225,0.666494192,0.447998017,0.233783178,0.072777277,0.037291451,0.028856621
X8,0.85799273,1.28221538,1.195431824,1.046425486,0.94481653,1.525419111,1.869409343,2.495012036,1.87386671,1.111596467,0.645657871,0.342239374,0.218651439,0.117925301,0.062614683,0.022343208
X9,0.551501074,0.947590935,1.270369216,1.471735856,1.127888288,1.282494007,1.650262733,1.736645825,2.187158094,1.367420804,0.774370858,0.275137978,0.192585667,0.096441509,0.055688177,0.026661042
X10,0.440388646,0.675457942,0.876110704,1.768259227,1.008225796,1.00199406,1.171318069,1.263522203,1.296214608,1.365362455,0.730714813,0.319274643,0.135219302,0.055630871,0.048090063,0.044400228
X11,0.409742401,0.601100586,0.922055632,1.246941879,0.988421358,1.122920534,0.978558564,0.863582584,1.110318059,1.101561813,0.847769447,0.464288542,0.163292124,0.05383332,0.040354111,0.037839125
X12,0.685273871,0.759337251,0.658082802,0.829720184,0.702574897,1.013262794,1.013186358,0.721166105,0.752498525,0.616313126,0.624113089,0.546576332,0.255152496,0.096461782,0.039910301,0.032313239
X13,0.577383287,0.544674154,0.411612527,0.481967309,0.447096533,0.615071297,0.698721354,0.710108065,0.542258733,0.428520203,0.345995713,0.361070431,0.30751003,0.157197589,0.067676701,0.023766951
X14,0.404099303,0.609013555,0.512381408,0.271766007,0.296455905,0.352954328,0.513983011,0.537003129,0.428017331,0.206588978,0.18997473,0.218247734,0.206153651,0.267161891,0.105770587,0.035400008
X15,0.193042975,0.564055742,0.49567338,0.448455695,0.16355632,0.279052349,0.249883456,0.453303757,0.433327035,0.342401594,0.240769407,0.164826061,0.215054288,0.201854747,0.227475703,0.110600329
X16,0.346457202,0.482084438,0.712477791,0.587423941,0.186646126,0.184868958,0.246521331,0.406196967,0.420865775,0.388764052,0.355389703,0.185879263,0.092947737,0.154274466,0.118618804,0.114397385
