,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.034894426,1.265498264,0.687281107,0.458905499,0.770452794,1.048107896,1.123306356,0.933263713,0.537731816,0.317407498,0.36211283,0.296590511,0.174486393,0.128339686,0.065727748,0.050564533
X2,1.139971201,7.985912055,1.849023397,0.582889921,0.377232543,0.854957052,1.148632861,1.140708633,0.861678467,0.393904015,0.277574959,0.245415315,0.179601242,0.121473061,0.05224657,0.05302938
X3,0.487370275,2.854074137,10.78082556,1.41595387,0.61088134,0.508375779,0.733649852,0.995265444,1.0075537,0.571819502,0.324446649,0.164775378,0.098556474,0.100354212,0.064177159,0.068902579
X4,0.296669754,0.757774323,4.458939191,14.81347415,2.211940581,0.988540383,0.727143094,0.97867205,1.06757045,0.933920249,0.496459323,0.212309848,0.099936019,0.066631459,0.033958991,0.030777388
X5,0.505833608,0.428022166,0.550195673,4.024735787,5.247304489,2.156941632,1.27197984,0.933010325,0.87823693,0.965538649,0.656270869,0.354217406,0.117780767,0.050076369,0.045313019,0.051932186
X6,0.843016179,0.525341857,0.28994722,1.099950146,2.510189438,3.006216314,1.720023017,1.129406715,0.976181017,0.797688147,0.743845876,0.384702727,0.154873467,0.054786756,0.021830378,0.02191672
X7,0.860502931,1.352731292,1.036375178,0.642162928,1.158970437,1.778121801,2.222817778,1.514816067,1.14613241,0.819557734,0.658878215,0.435473394,0.209824814,0.079357637,0.037885524,0.043012644
X8,0.79858072,1.411897006,1.225097057,0.829390038,0.711465976,1.151315087,1.480591374,1.856581469,1.424488439,0.838339015,0.575045154,0.324594806,0.217370172,0.13575214,0.067049184,0.035160711
X9,0.513677809,0.973143901,1.224866665,1.322074028,0.922590591,1.020491905,1.314903979,1.352618112,1.786586385,1.155697447,0.774066213,0.269037283,0.174783315,0.106549123,0.058254385,0.037326152
X10,0.313637712,0.717002142,0.823451852,1.647603165,0.883047758,0.840204249,0.937275785,0.972030682,1.106476295,1.156395541,0.758058143,0.321256958,0.119965396,0.059153979,0.048230669,0.059178587
X11,0.43760145,0.799969045,1.072281865,1.40801656,1.075929826,1.188133313,0.980494025,0.797095541,1.132952032,1.170742565,0.998885038,0.575219309,0.181933335,0.068005718,0.047451801,0.056597177
X12,0.688245357,0.900950722,0.700675215,0.922745281,0.742817546,1.087910013,1.044851019,0.691095446,0.752069414,0.636744665,0.759263067,0.601274541,0.282704153,0.115849426,0.044606291,0.045553862
X13,0.60336235,0.583422994,0.386784263,0.516616815,0.432627386,0.600896002,0.691712044,0.677636098,0.488863017,0.369752972,0.362630209,0.387718659,0.300353706,0.185173697,0.075624339,0.039687588
X14,0.419535597,0.616939944,0.502003372,0.281660224,0.321958487,0.388216592,0.593341459,0.625343406,0.493072272,0.226306434,0.223541847,0.257730768,0.238719687,0.271275042,0.112701856,0.05608277
X15,0.176747534,0.498844206,0.435570094,0.414058886,0.156905702,0.274296825,0.259127109,0.477971961,0.461025651,0.346223303,0.252340661,0.170290806,0.226730304,0.210105717,0.207433801,0.133835725
X16,0.486859729,0.659897036,0.984048689,0.842915259,0.291773802,0.281428485,0.410144754,0.701436129,0.703226099,0.638195317,0.571047097,0.289426976,0.149265625,0.259755936,0.192664991,0.18894248
