,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.806181711,1.770017977,1.005850093,0.627912186,0.949861192,1.221960506,1.109195126,0.840356691,0.487219048,0.285194719,0.290406362,0.24482227,0.146297151,0.117305974,0.083023956,0.031129725
X2,1.649702306,12.85334534,2.799725584,0.803977037,0.514554941,1.076924883,1.187568082,1.050401301,0.819647062,0.383115777,0.25357192,0.219541444,0.164203144,0.112854995,0.064461421,0.033125168
X3,0.747251765,4.406729643,15.77582886,1.946182092,0.893430532,0.689968414,0.811955389,0.943363151,0.955624224,0.555101218,0.30515428,0.15857176,0.095794288,0.099130775,0.081247706,0.044551052
X4,0.431347611,1.148134457,5.712997903,15.65555831,3.051652384,1.299829182,0.797255454,0.973411626,1.034664365,0.886246445,0.48151395,0.237414996,0.113421595,0.064939825,0.041445204,0.021062818
X5,0.67955302,0.623641487,0.82094921,5.224548711,6.907622239,2.779874297,1.476266541,1.160296114,0.965365289,1.015529125,0.688917396,0.414501331,0.165917679,0.046504663,0.053859696,0.029983557
X6,1.044990828,0.722948153,0.407102599,1.382304365,3.232586748,3.764684859,1.960167066,1.412538221,1.151090009,0.922484887,0.817712088,0.48129538,0.215892446,0.048012503,0.024528088,0.013657161
X7,0.805778568,1.395266496,1.086780094,0.628899285,1.287419267,1.935660787,2.187868599,1.612775725,1.226063525,0.957023031,0.669260112,0.497060913,0.220834756,0.049637972,0.031366648,0.018055319
X8,0.657992067,1.205567914,1.014210892,0.772318165,0.798846899,1.356741074,1.482471295,1.889422765,1.575138892,1.037576235,0.738835169,0.405985692,0.179290002,0.070621725,0.044486409,0.013145858
X9,0.449056742,0.88459824,1.054555537,1.060135578,0.925957263,1.152218388,1.33675582,1.428547893,1.72749174,1.284896139,0.892503499,0.376215657,0.188912932,0.054122831,0.038893617,0.015087401
X10,0.2781748,0.672846241,0.766544767,1.269065538,0.819466019,0.936214327,1.059799705,1.151264327,1.187666225,1.240297493,0.818950768,0.457320025,0.144719396,0.033479213,0.033367746,0.026492306
X11,0.299828706,0.706181254,0.954340705,1.051596576,0.856949693,1.119151323,1.015624019,0.961771505,1.258370814,1.320136746,1.069505329,0.660721831,0.188436563,0.03372396,0.030633766,0.023354572
X12,0.510951679,0.806311846,0.715538664,0.788122374,0.676224849,1.055821022,1.083629697,0.858241228,0.980238286,0.842716359,0.87342531,0.744271706,0.300503216,0.070760426,0.032017564,0.022355834
X13,0.42730816,0.486038725,0.374633457,0.431255215,0.424768641,0.616225468,0.645249802,0.684016813,0.571214506,0.523059497,0.448822819,0.492683219,0.264809819,0.13043654,0.055199086,0.014176867
X14,0.298454152,0.470734227,0.386696365,0.199588279,0.230889139,0.262767901,0.332117499,0.326037071,0.24517346,0.130121912,0.121550483,0.156834437,0.157944234,0.196191658,0.089280569,0.024769592
X15,0.1943036,0.598748384,0.539312539,0.469213281,0.175684777,0.27885691,0.240468307,0.402694076,0.405279746,0.330784319,0.225179474,0.149685187,0.212425922,0.211240131,0.229120379,0.138230253
X16,0.217190791,0.307852424,0.463880185,0.382748336,0.113781615,0.117182741,0.148922544,0.263892365,0.244293084,0.255121834,0.214376853,0.118568641,0.057053944,0.115395971,0.1026553,0.0759371
