,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.796747584,0.97684802,0.371041683,0.09935565,0.196665488,0.566924311,1.226505613,1.090541861,0.748180077,0.228967302,0.155034642,0.187540132,0.215435705,0.170615449,0.095372359,0.047914072
X2,0.665921922,7.742352119,1.450425704,0.335416199,0.115938331,0.470337348,0.716495437,1.647015579,1.103355268,0.363000655,0.19681696,0.154363374,0.132258341,0.097704973,0.024221716,0.093249777
X3,0.180540474,2.328067475,11.951341,1.050998133,0.230870877,0.208231909,0.420281392,0.852808328,1.32600497,0.740408957,0.282835783,0.23684057,0.062535309,0.117642315,0.067925776,0.058892838
X4,0.073057802,0.177042813,3.496077171,13.63720844,1.221479654,0.755485849,0.694364292,0.778469383,1.38579666,1.131789058,0.463754152,0.178320019,0.049590268,0.044875413,0.033639772,0.052167948
X5,0.046706255,0.083663167,0.255772932,2.863987801,4.227916982,2.41883045,1.634941106,1.914937163,1.452605905,1.833938412,1.207908688,0.27889649,0.061789453,0.068207948,0.057039391,0.051299146
X6,0.200414185,0.498636414,0.333119395,1.840573427,1.933284796,4.99897848,2.036729991,2.112420594,1.500096897,1.178320081,1.206136524,0.73264012,0.19909062,0.08215969,0.040120316,0.015054355
X7,1.020245129,2.371776496,1.212991102,0.378156581,1.056859598,3.618003729,5.334103197,3.130229587,2.591901237,1.392726334,0.970029312,0.559746437,0.169147456,0.15681323,0.043399534,0.00922614
X8,0.762991388,1.560485264,0.731709842,0.61768751,0.627162788,1.244286061,2.056212281,3.878488746,2.689950022,1.875443458,0.882935219,0.339818645,0.301144094,0.11011847,0.095394818,0.008509344
X9,0.332883855,0.846983375,1.289621722,1.132177784,0.613532747,1.861266867,3.031430514,3.250577893,5.276852653,2.635581937,1.222075323,0.362451763,0.187045076,0.204759596,0.089488584,0.056518085
X10,0.24626726,0.875669484,0.889143362,1.338853743,1.264302578,1.259017264,2.113723903,2.021847617,2.088681509,3.780317866,1.732011456,0.551491213,0.266271682,0.118372115,0.159440031,0.246505485
X11,0.041695781,0.97648248,0.718713758,1.681984807,1.047091063,1.783073233,2.198569616,1.88017719,2.268215027,2.583430781,3.248397979,0.640971124,0.259565653,0.213406307,0.156126931,0.128803497
X12,0.233136354,0.726750945,0.073231098,1.506797773,0.528172042,1.318261524,1.098309666,0.942320968,0.908031886,0.81517486,0.93749305,1.604340462,0.563525434,0.320900671,0.13786153,0.021667521
X13,0.303846724,0.156681842,0.076871361,0.141456222,0.22793766,0.671747575,0.76351852,0.813190267,0.781881653,0.547604365,0.654444611,0.70055886,1.880244175,0.577875152,0.462222423,0.107509454
X14,0.135751086,0.099514417,0.039423629,0.097379864,0.39059408,0.59875363,0.836607259,0.838195378,0.728881886,0.607027775,0.60762311,0.857931936,0.85676532,1.850178495,0.327096771,0.238691724
X15,2.1462E-61,0.026304326,0.101484308,0.08958305,0.017128906,0.074223235,0.370975257,0.82307696,0.739518542,0.33106814,0.313057352,0.362724756,0.581701341,0.40990124,1.358824239,0.383529295
X16,2.2827E-51,1.22332E-22,0.018214424,0.045308611,0.042461316,0.26364404,0.480096405,0.275483106,0.206409252,0.503032086,0.355920176,0.393422567,0.453533119,0.358678537,0.485837549,2.044445905
