,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.345326403,0.834805449,0.318329304,0.246038697,0.350225549,0.629948185,0.857763156,0.819417729,0.479588778,0.281216523,0.289747433,0.232401128,0.15456701,0.135169188,0.094276621,0.049416388
X2,0.77561094,3.861375307,0.67144941,0.219491606,0.16526553,0.387708946,0.609741178,0.708235802,0.646601212,0.290396488,0.188250872,0.160586283,0.131547762,0.106779765,0.05877808,0.045543799
X3,0.168794595,1.116084974,4.689369161,0.581626682,0.257678218,0.235079146,0.329628357,0.534127085,0.691834218,0.405010622,0.236072873,0.115989641,0.069551758,0.078925195,0.06915,0.055454436
X4,0.139072746,0.300841148,2.032584898,8.598240632,1.564899065,0.767813365,0.5810926,0.760033587,0.957296435,1.005804262,0.567741781,0.198532676,0.079175687,0.066848876,0.045220039,0.033410047
X5,0.262151557,0.225279076,0.281658267,2.646621249,5.096477929,2.202885404,1.357947481,1.229633989,1.061684907,1.363190407,1.018047909,0.46474748,0.125840677,0.074647372,0.095401771,0.075733246
X6,0.5315992,0.307532064,0.16436747,0.898981878,2.529811669,4.013998761,2.031539196,1.601077452,1.338836276,1.153978424,1.200838782,0.589650401,0.197336425,0.090034291,0.05223661,0.039694107
X7,0.665104796,0.846926419,0.556195416,0.48383633,1.179352551,1.956522245,2.939627631,1.9654916,1.490632467,1.1670483,0.931522564,0.556993661,0.256628473,0.130134096,0.075273289,0.064414809
X8,0.71548541,0.999883047,0.779607901,0.712738519,0.849709081,1.543012013,1.830074757,3.008655955,2.091042848,1.357292887,1.009307996,0.44341361,0.276479439,0.209972841,0.135898981,0.051060422
X9,0.384222641,0.725619834,0.862104786,1.101193431,1.018110855,1.337978269,1.639429347,1.876569906,2.707567116,1.664195386,1.211744751,0.348200574,0.191548339,0.146935374,0.117869518,0.05378525
X10,0.446740995,0.580056399,0.671359344,1.608890641,1.033774444,1.132656572,1.304185792,1.498785581,1.581676841,2.111317576,1.220049404,0.442917246,0.161406566,0.113523494,0.11791719,0.108586413
X11,0.353007857,0.65718218,0.914410539,1.411820617,1.270377344,1.579572196,1.363101641,1.338610129,1.750858015,1.924823585,2.071115041,0.818471711,0.278985021,0.158954329,0.128903243,0.117211282
X12,0.680287296,0.815639541,0.63371549,0.922902832,0.809551117,1.299531738,1.252458394,0.930564258,0.986751856,0.878234376,1.121443756,1.324316176,0.488437553,0.267095516,0.150715776,0.108584425
X13,0.583880225,0.526772918,0.343945667,0.491744212,0.470833512,0.696511553,0.82895717,0.813313055,0.563875267,0.466933284,0.485750432,0.652060252,0.983197958,0.458257872,0.296247129,0.115150949
X14,0.437117847,0.651055378,0.539309257,0.310650109,0.41135549,0.572593202,0.842709794,0.887998656,0.730817584,0.429786178,0.470377117,0.583517015,0.620876697,1.133656832,0.375880593,0.172734808
X15,0.244380347,0.715734325,0.675567779,0.620780496,0.310363705,0.534869467,0.496221463,0.891084937,0.943148054,0.755032362,0.57418831,0.468552142,0.799038784,0.859443966,1.309123503,0.409520758
X16,0.415540749,0.569573083,0.847545257,0.716986719,0.278960852,0.301251557,0.434281211,0.61281323,0.673658967,0.759569237,0.740150145,0.4422929,0.288178816,0.462729019,0.441339782,0.553734397
