,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,0.983498961,0.476042065,0.178679057,0.097702398,0.147582994,0.344671566,0.643641957,0.628064934,0.283613594,0.173407745,0.189675142,0.1703544,0.135862098,0.117712603,0.074009664,0.103367557
X2,0.466292139,6.426780894,0.804065598,0.175210714,0.090172456,0.253223945,0.657565201,0.944898987,0.733287299,0.323161742,0.190957853,0.159654617,0.167621249,0.130243569,0.062162382,0.133892633
X3,0.13345521,1.6017581,7.846218512,0.655118111,0.149961576,0.148366847,0.264955831,0.640939564,0.886356853,0.510202002,0.229496662,0.130403783,0.099449353,0.099762169,0.071651377,0.175712002
X4,0.060138883,0.208691776,2.414280462,7.677294536,0.707961973,0.348779131,0.306737194,0.51252469,0.723119092,0.82200576,0.357279553,0.137052535,0.074203183,0.060582977,0.034989594,0.063745013
X5,0.101900827,0.09064498,0.125823458,1.19715527,2.273159915,1.089658792,0.770245144,0.793151467,0.686327733,0.878904191,0.561536102,0.245544329,0.083901546,0.04551857,0.050587327,0.113672764
X6,0.309048206,0.171308122,0.078260524,0.419180636,1.23120603,2.342627596,1.226231399,1.074029875,0.92853289,0.699469314,0.662540734,0.286737449,0.110123118,0.051535194,0.029680647,0.047399647
X7,0.574922935,0.751360617,0.422992715,0.285179065,0.667530856,1.217870449,2.173256159,1.438369192,1.105067675,0.816036404,0.596658494,0.377470695,0.197193541,0.103662021,0.052213655,0.141433209
X8,0.647911652,1.149631435,0.794131693,0.454961674,0.540539932,1.038446589,1.369807322,2.842723037,1.737727726,1.055232676,0.703696559,0.396167291,0.329451403,0.230513129,0.136875174,0.157184989
X9,0.272392724,0.755001451,1.052563187,1.079407789,0.686781686,0.928745824,1.22314254,1.586456998,2.703385696,1.364452223,0.861354259,0.306918617,0.266779498,0.180900333,0.134879554,0.168081047
X10,0.186259444,0.613775753,0.717932866,1.607559054,0.795575931,0.714881228,0.923845214,1.172639119,1.311452945,1.961568332,0.913543009,0.373680276,0.220428541,0.145359589,0.128736436,0.28913484
X11,0.210084055,0.72308522,0.938559578,1.201996324,0.860771142,0.990312464,0.868489069,0.95966663,1.258409096,1.422468193,1.732673481,0.712159495,0.372610024,0.201062784,0.136486477,0.279518218
X12,0.404787598,0.83178878,0.657390489,0.815518196,0.571232368,0.856542542,0.914241507,0.818855943,0.901001398,0.757386877,1.03327737,1.733608987,0.703423441,0.367309187,0.189165696,0.319475284
X13,0.436031152,0.467995421,0.33647031,0.479825129,0.348632968,0.538021853,0.752800151,0.919104562,0.769762246,0.624341786,0.633093336,0.936369243,1.897329613,0.731849835,0.451813218,0.532611142
X14,0.290180375,0.492654821,0.402793579,0.237616619,0.25398441,0.370965842,0.600492054,0.690199104,0.696477437,0.515276188,0.559666972,0.757197577,0.939502889,1.848108619,0.552922958,0.709465683
X15,0.136761356,0.421316751,0.408200434,0.45016514,0.160252888,0.26613566,0.298552239,0.65100714,0.754886214,0.636926134,0.508260705,0.518966917,1.113088023,1.221371836,1.709772004,1.151321214
X16,0.776039278,1.081764934,1.581325926,1.199535279,0.43555526,0.533045904,0.895036184,1.322810057,1.61415108,1.502970465,1.815256285,1.32973856,1.121706724,1.784841355,1.675896796,4.135159404
