,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.253939406,1.4122299,0.856396447,0.579696357,0.871453807,1.081208851,1.146464045,0.941199393,0.514408478,0.287535613,0.248394586,0.200196499,0.138583935,0.113347421,0.056106572,0.027821131
X2,1.328792399,8.322691135,2.545005106,0.793315632,0.497058351,0.936804988,1.221612646,1.211990424,0.922133451,0.404363527,0.209044854,0.1879041,0.151809347,0.117915831,0.050186519,0.031392952
X3,0.699237986,3.881609008,17.02658486,2.391854969,1.027553578,0.710483141,0.941734855,1.243574584,1.321286615,0.731941144,0.311761912,0.146393159,0.102398651,0.119556327,0.077050237,0.046251603
X4,0.422850896,1.137137541,7.19223249,24.16233574,3.649421322,1.415899172,0.948172293,1.245257717,1.376073964,1.237446194,0.607995845,0.256614895,0.131585136,0.08163708,0.040886315,0.02400048
X5,0.633157358,0.590804286,0.903700279,6.618108498,8.151582842,2.785535123,1.529812811,1.185679908,1.019749626,1.167652171,0.750137676,0.40400075,0.166151893,0.054150795,0.048529116,0.031630322
X6,0.876187687,0.549377988,0.390731672,1.49263355,3.180451162,3.485172148,1.829684738,1.309134626,1.043528423,0.851002398,0.765268953,0.42219648,0.204120363,0.051366691,0.019261442,0.01500003
X7,0.825667108,1.215808846,1.088535815,0.760024766,1.342776174,1.82146157,2.282580275,1.593186947,1.16724815,0.866411289,0.605439293,0.430659224,0.225368191,0.062592153,0.029274376,0.018232998
X8,0.717050329,1.226764545,1.119683363,0.918818563,0.84782455,1.285352172,1.494252044,2.047551916,1.528183032,0.960246707,0.668046898,0.347554038,0.194881929,0.099437126,0.047286511,0.014236937
X9,0.43092899,0.829071276,1.118832308,1.286007217,0.951916958,1.060561248,1.288849002,1.388107901,1.7546099,1.179294807,0.813501826,0.31322191,0.186074676,0.074478362,0.038634755,0.017268397
X10,0.27145312,0.587475979,0.753003015,1.545672781,0.83534798,0.854430301,0.965875052,1.073792063,1.098038779,1.195494217,0.737746816,0.375646374,0.136537382,0.039907451,0.032055101,0.02825349
X11,0.228164778,0.450976645,0.721082311,0.99683602,0.73882672,0.934466818,0.883840291,0.849924607,1.12424544,1.138867011,0.966318377,0.526357207,0.163926308,0.029545291,0.020720009,0.018736856
X12,0.387415097,0.533604722,0.557751019,0.697216475,0.540683976,0.812396835,0.86837146,0.700699821,0.806974433,0.671462712,0.691810402,0.565095876,0.22417462,0.054218047,0.020356325,0.015951434
X13,0.415256218,0.410367088,0.346200198,0.446769829,0.412021416,0.557834124,0.617381197,0.663747831,0.540195569,0.475255873,0.41144991,0.396920598,0.259470408,0.110814256,0.041199843,0.011791144
X14,0.375712408,0.568559773,0.470256051,0.261037126,0.299318265,0.330404957,0.476982175,0.499649272,0.390277834,0.168042902,0.142052802,0.172023269,0.167128614,0.247554678,0.087876794,0.024481601
X15,0.154841085,0.45130514,0.403523699,0.389756882,0.148788989,0.230679524,0.198227853,0.366652853,0.342447251,0.277152621,0.185694625,0.116607625,0.147790069,0.153876113,0.176506904,0.083724273
X16,0.219532379,0.316593219,0.457240428,0.383493118,0.131858264,0.119841435,0.155092865,0.270957324,0.291231307,0.263672149,0.232350607,0.109171394,0.054358027,0.098438533,0.068116974,0.063914691
