,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.446617626,0.563923801,0.260786192,0.162912569,0.238783672,0.41695906,0.698856058,0.761636285,0.487787827,0.206054958,0.234367879,0.208618556,0.180496015,0.139727135,0.07219796,0.04456767
X2,0.460730657,5.575793886,0.857124379,0.228064291,0.165269234,0.357006374,0.601985403,0.746265122,0.790022771,0.328357319,0.201770195,0.171249759,0.168158407,0.118031583,0.049029601,0.04491332
X3,0.197741194,1.723472058,8.451675024,0.825549113,0.318671517,0.289647435,0.417575987,0.669021752,0.992381901,0.560375177,0.346998,0.16315528,0.110510985,0.108049654,0.077582811,0.070832754
X4,0.108141791,0.32351807,3.135399485,12.46158443,1.692647891,0.828283182,0.657825589,0.772242627,0.982271139,1.134603904,0.676727613,0.211871576,0.096072614,0.072324318,0.039463739,0.035008807
X5,0.154139077,0.208585929,0.310199289,2.853414922,4.684273288,1.93523873,1.265257174,1.062425577,0.876706324,1.218317629,0.944769283,0.440580621,0.136663916,0.071236967,0.070226469,0.063838546
X6,0.359346135,0.284766865,0.203133966,0.990308987,2.324143993,3.792624402,1.882147352,1.337552227,1.0642186,0.932126359,1.062101005,0.597882791,0.24029135,0.097712678,0.041831996,0.041373216
X7,0.602403741,0.868405644,0.627319492,0.553227572,1.102848213,1.800487429,3.027618827,1.747754488,1.224857514,0.906364341,0.765544745,0.523236028,0.345523652,0.155850485,0.069421178,0.066395752
X8,0.617352791,0.93385062,0.704023747,0.665937573,0.72415687,1.287538862,1.605916738,2.625248606,1.613775913,0.977985914,0.708817682,0.344837295,0.331746753,0.217783074,0.106186411,0.046820695
X9,0.296652849,0.644848575,0.755894083,0.965601393,0.801749996,1.046757424,1.316836492,1.41218556,2.098649319,1.137262849,0.804348284,0.228021289,0.193446594,0.13255398,0.08320905,0.045775597
X10,0.1734178,0.498714105,0.58368513,1.491841719,0.799666281,0.840543538,1.010281222,1.06982314,1.094315746,1.624276732,0.856247316,0.302820231,0.173206705,0.105804552,0.083739798,0.093366057
X11,0.196725244,0.628751201,0.986750619,1.434876192,1.103602562,1.243189636,1.050842438,0.95412183,1.188901299,1.349217113,1.757070781,0.667612266,0.341288488,0.172000096,0.105031863,0.121527458
X12,0.370002206,0.711426928,0.643387431,0.874469519,0.708117017,1.157844065,1.091663202,0.703815535,0.683285448,0.654685124,0.943964653,1.53009593,0.648194384,0.317904257,0.134532877,0.124291086
X13,0.459627233,0.438246778,0.30715511,0.469954691,0.500941195,0.789778372,1.055591711,0.919162382,0.582098921,0.494950786,0.556767142,0.892454798,1.641851536,0.645440857,0.332173358,0.149166381
X14,0.297050655,0.437102261,0.355986279,0.214322338,0.331607784,0.508789657,0.852030388,0.777008309,0.615151405,0.377717476,0.472583497,0.666098455,0.79913963,1.341573881,0.33988306,0.171390298
X15,0.116943211,0.331616319,0.367734234,0.356624777,0.198540603,0.340171244,0.36717671,0.558795208,0.598138459,0.473790542,0.424004773,0.383208997,0.805465279,0.72146813,0.95938308,0.308738509
X16,0.224305381,0.313958625,0.47388817,0.39127294,0.172672288,0.204135501,0.342728584,0.403933454,0.461562083,0.545266145,0.576428085,0.383779843,0.314546839,0.400408944,0.311446263,0.499818053
