,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.997223313,0.913240018,0.441631454,0.280859851,0.42985129,0.869004042,1.149323952,0.911459349,0.435400477,0.2887616,0.34375756,0.298024004,0.195180461,0.119632666,0.097210198,0.049627174
X2,0.836547347,4.684701321,1.110157467,0.322880502,0.188864101,0.537133676,1.036117185,1.071684588,0.735320558,0.3275541,0.226936271,0.225598488,0.183856302,0.108763301,0.068357088,0.050443629
X3,0.282555167,1.762992415,9.436582793,1.029762193,0.351587086,0.346737233,0.573336923,0.931886075,1.044204368,0.587802658,0.302385358,0.168748244,0.109016665,0.093384895,0.089945971,0.067134982
X4,0.153200217,0.385742066,3.292832403,11.31546296,1.440389109,0.740819203,0.596017285,0.830846589,1.033200866,1.032882287,0.461792433,0.1743764,0.084587701,0.059016488,0.044204085,0.029530738
X5,0.245281664,0.199710182,0.302961972,2.50984347,3.893264897,1.732491573,1.124797604,0.976026354,0.80551037,1.090771134,0.653243555,0.305647984,0.090124531,0.045346984,0.065982171,0.050419371
X6,0.617250541,0.308122646,0.190065895,0.842759112,2.013659114,3.570466813,1.844809596,1.3825847,1.049985003,0.886873528,0.802124329,0.36395162,0.133442679,0.058078412,0.040042474,0.027742051
X7,0.745276239,0.981654227,0.746317636,0.514176503,0.989856402,1.815634635,3.019197101,1.863652952,1.27854767,0.970441244,0.67761036,0.43933821,0.216511604,0.091081838,0.060466115,0.050352525
X8,0.64025166,1.051702518,0.938626631,0.701813688,0.678205773,1.340729965,1.744115779,2.888983354,1.738142076,1.096437133,0.6354486,0.337372471,0.25466993,0.146387317,0.108707239,0.037873849
X9,0.323885548,0.658516073,0.988215656,1.219855246,0.786150932,1.054901331,1.411509331,1.575682107,2.312309473,1.254454846,0.705359433,0.22033487,0.176988228,0.105669363,0.09461135,0.040800124
X10,0.312493979,0.522613041,0.705187218,1.643396546,0.882826698,0.895887427,1.093675413,1.22165609,1.205907854,1.778068109,0.791288204,0.28419866,0.144657135,0.081721232,0.094711498,0.082278145
X11,0.316632725,0.644296192,1.013624018,1.330994575,0.980303726,1.168322437,0.956881809,0.876510272,1.046140399,1.212045232,1.402799926,0.586291593,0.260254834,0.113048443,0.103165001,0.090909296
X12,0.597299024,0.757673291,0.657259477,0.832617937,0.66064648,1.063522132,1.050147985,0.712671616,0.668049481,0.597186788,0.84413123,1.35981741,0.497271434,0.208212821,0.134279381,0.088977087
X13,0.536146798,0.509887866,0.356141205,0.458388523,0.392245799,0.61762759,0.765866606,0.743332377,0.51510012,0.408978434,0.440241833,0.645727619,1.089044669,0.364031162,0.250303273,0.091605022
X14,0.285371909,0.457240877,0.389271194,0.223195515,0.24967517,0.378528659,0.546648381,0.584119402,0.474826519,0.303332459,0.327177091,0.419886014,0.451028817,0.809197118,0.247870791,0.100447831
X15,0.190863689,0.581786688,0.575398451,0.546088703,0.223428574,0.419175336,0.37958502,0.719335461,0.726613171,0.617397321,0.445111936,0.403683401,0.651719542,0.584022776,1.048015856,0.295340206
X16,0.314882076,0.435664325,0.650498004,0.541250163,0.19651191,0.23083174,0.325984961,0.425123845,0.473797768,0.525081212,0.561196603,0.338050421,0.216682799,0.287878854,0.303770748,0.438506037
