,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.779737711,2.610722047,1.443704845,0.796226702,1.079041196,1.461379844,1.420756517,1.134947941,0.635621394,0.389288832,0.398286913,0.368499317,0.214362988,0.127798718,0.068379688,0.031775416
X2,2.391439556,15.96791409,3.357136768,0.878457752,0.532731028,1.138831213,1.310392149,1.188880626,0.930424128,0.449447231,0.311219362,0.307078308,0.220090921,0.116362664,0.053615005,0.029715364
X3,1.040000989,5.339803178,18.26546753,1.872614113,0.825134897,0.732873925,0.816161532,0.962553516,0.906522853,0.544844596,0.316148573,0.192081365,0.123741946,0.102009342,0.066598785,0.03380865
X4,0.580170546,1.354862213,5.603869974,12.62577937,2.158371813,1.011689664,0.640563847,0.824578899,0.756216902,0.654191179,0.373882526,0.18658535,0.116668685,0.061009762,0.031895538,0.016107916
X5,0.803940288,0.781646311,0.845608521,3.847258805,4.525989019,1.963099025,1.068659063,0.779694527,0.629413733,0.650011633,0.457054274,0.277315591,0.132000084,0.036546998,0.030572051,0.018863175
X6,1.187806819,0.795925296,0.448775334,1.077383498,2.241333295,2.582130349,1.417319704,0.974007261,0.726314419,0.582919013,0.539016558,0.298418371,0.165723955,0.039572042,0.01472794,0.011456895
X7,1.159662648,1.761245524,1.284798055,0.577832613,1.002829506,1.516933211,1.586569161,1.216505715,0.873841246,0.624233246,0.492245171,0.349674955,0.204260864,0.045155227,0.023173629,0.014122787
X8,0.974561208,1.565457286,1.157151723,0.641163514,0.583085898,0.987654573,1.137162572,1.365676848,1.085710898,0.661071342,0.504002983,0.2707834,0.178127745,0.068371072,0.033267513,0.010666523
X9,0.769684069,1.300068052,1.264415315,0.958787571,0.659292307,0.793697503,0.995094681,1.045673847,1.140104825,0.798539061,0.605990632,0.228568432,0.206715048,0.071699799,0.032088077,0.014466786
X10,0.506909294,1.097812168,1.028886827,1.182349184,0.620745464,0.654001959,0.730244342,0.819612698,0.765165981,0.719892897,0.567272884,0.287196316,0.149009014,0.048039012,0.031899284,0.026653986
X11,0.579510512,0.98396796,1.176036391,0.933149792,0.663493033,0.808375554,0.742634571,0.689988306,0.856422328,0.845049491,0.700076293,0.436767878,0.187476833,0.041074982,0.032310355,0.024674946
X12,1.470280876,1.979634373,1.263832525,0.999789362,0.702558482,1.034493504,1.015215471,0.700635325,0.682481435,0.685727805,0.709219517,0.459851127,0.315922469,0.128971552,0.041028269,0.04509833
X13,0.781267833,0.90855121,0.606439516,0.500167517,0.375429191,0.511066074,0.569311507,0.632125909,0.531896048,0.44573423,0.438154015,0.371852917,0.203033526,0.10136146,0.041633313,0.011283781
X14,0.457863666,0.754465606,0.591717043,0.224071964,0.204257108,0.220502138,0.299468318,0.31575845,0.24858636,0.144039142,0.159228521,0.160816425,0.114470259,0.08366008,0.055150421,0.014837112
X15,0.220473181,0.710468934,0.591084529,0.38803658,0.10485238,0.20182992,0.146494979,0.264066493,0.248419495,0.235386033,0.227692401,0.142958364,0.151820441,0.096624187,0.070562554,0.062373015
X16,0.283454417,0.416333389,0.532479959,0.36638901,0.095017227,0.104962135,0.124554031,0.216212142,0.188144206,0.195478789,0.211114133,0.139392033,0.06014834,0.085559576,0.046606803,0.026995434
