,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.361522778,1.298136633,0.444350989,0.296893984,0.418711976,0.741837864,1.134685855,0.974877414,0.495187956,0.345288257,0.338315398,0.259089493,0.159523129,0.095859145,0.048940126,0.027122354
X2,1.377650678,8.159563777,1.334806891,0.379543578,0.239302225,0.601025911,1.033930023,1.140500228,0.955179654,0.469732607,0.274763033,0.236736792,0.183353969,0.105837907,0.044347862,0.033445552
X3,0.313920321,2.022813132,6.837614458,1.05290552,0.409410581,0.365182521,0.612482701,0.853004451,1.094308311,0.68920207,0.332191104,0.170544729,0.111465713,0.088818447,0.057801616,0.043440589
X4,0.189897411,0.498722434,2.605815621,8.150809203,1.749992641,0.834600651,0.689311937,0.839157541,1.06319863,1.140440773,0.564691248,0.197364591,0.100019176,0.061676881,0.028990331,0.020423859
X5,0.307812602,0.266418608,0.364205981,2.719837849,4.342525955,1.917685035,1.297876015,1.065968877,0.926488411,1.14269923,0.779397649,0.336859073,0.101235083,0.042474921,0.041375111,0.03088752
X6,0.618371786,0.383107595,0.21307942,0.891086307,2.214114311,3.395389081,1.904886546,1.361013684,1.101410888,0.933293142,0.863569275,0.388401818,0.133812873,0.051111552,0.021864264,0.019713991
X7,0.997886992,1.255426616,0.812786739,0.548361732,1.163366582,1.922034574,3.150127696,1.92517497,1.376411583,1.047025107,0.825905796,0.516096703,0.239128597,0.091284689,0.041044366,0.033446469
X8,0.843626508,1.264129175,0.921193303,0.73134742,0.753492944,1.328637271,1.775562729,2.704536063,1.791552071,1.134784704,0.777202052,0.375786787,0.240489105,0.132062389,0.064299582,0.023176226
X9,0.448308386,0.926320796,1.132123983,1.096537444,0.916285733,1.120842376,1.53373854,1.648901493,2.346620231,1.388669252,0.910619258,0.279592873,0.183684658,0.106894315,0.06125428,0.027973607
X10,0.559619713,0.819532482,0.894390693,1.589136313,0.971666093,0.962682604,1.189462938,1.292315046,1.364348856,1.819721447,0.990849889,0.362723926,0.158051995,0.080863938,0.06310519,0.059707785
X11,0.434456702,0.835013732,0.949103643,1.236530791,1.101338271,1.287652311,1.172365471,1.055621421,1.337872674,1.49643324,1.526561567,0.653376439,0.245830335,0.096349493,0.061533745,0.057340109
X12,0.788947923,0.999882694,0.677940615,0.842435014,0.738457758,1.121484462,1.199281478,0.809615339,0.821153766,0.738093377,0.918439869,1.099000122,0.438325611,0.17552408,0.068175889,0.057501878
X13,0.648406148,0.613851601,0.418288264,0.508618053,0.432448002,0.610903126,0.782014765,0.741810472,0.537077176,0.449145724,0.439052442,0.552651947,0.738124107,0.281946121,0.12222341,0.043948295
X14,0.337378979,0.532080692,0.437882792,0.248914698,0.267149696,0.350470646,0.560795513,0.556548311,0.478211984,0.285741951,0.286649287,0.341688712,0.330784508,0.52070286,0.14108057,0.048874426
X15,0.134900823,0.404432945,0.363746269,0.343623577,0.132556457,0.234976248,0.241537928,0.405717402,0.427482175,0.359654259,0.271596812,0.212608757,0.305176301,0.258830158,0.367659517,0.121614241
X16,0.234888112,0.337100711,0.484480375,0.410567455,0.135954253,0.14727466,0.219970883,0.306525557,0.329176915,0.344640811,0.317254141,0.193012018,0.112177417,0.154193248,0.117260997,0.18591466
