,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.552520674,1.507992666,0.725731712,0.4678699,0.720933282,1.179862017,1.321688239,1.033257143,0.563944219,0.336733883,0.337595446,0.265092143,0.161536791,0.107349653,0.051899066,0.027154794
X2,1.447246307,7.01133349,1.779232925,0.537020461,0.358804824,0.872289293,1.156646382,1.135589748,0.877164904,0.384501117,0.246913278,0.215075373,0.164097614,0.101130447,0.041024283,0.02776329
X3,0.490481806,2.613957043,9.66586805,1.34218585,0.626469416,0.565937482,0.734202258,0.965654355,1.060079711,0.58788931,0.307180826,0.155185525,0.094594511,0.086072182,0.053316953,0.03518695
X4,0.287819329,0.708587094,3.719116488,11.45024373,2.352946197,1.150071413,0.779030995,0.9623547,1.096985411,0.981019476,0.490658533,0.199365544,0.122849642,0.056311844,0.026844751,0.017152516
X5,0.512140589,0.427403138,0.579954326,3.976981927,6.21379945,2.764533392,1.579634804,1.229609025,1.033723495,1.16489078,0.74586697,0.380874961,0.229973584,0.045686141,0.038910627,0.027726925
X6,1.012283149,0.596959918,0.334354572,1.27704623,3.251216794,4.567413233,2.322274478,1.592578762,1.254870354,1.018163709,0.896783691,0.454371652,0.315729851,0.05833624,0.021553942,0.017415238
X7,0.968258889,1.346508165,1.02316105,0.641245762,1.398617646,2.282601767,2.937870226,1.916862161,1.373535954,1.01068438,0.715815181,0.464504609,0.339774654,0.071470846,0.032227138,0.022521801
X8,0.830073008,1.305830791,1.102584936,0.830393964,0.870805297,1.552933707,1.790998512,2.440382562,1.754463713,1.079563523,0.693667475,0.346163766,0.286531322,0.10523939,0.049014165,0.016360751
X9,0.506330888,0.940378957,1.17120812,1.20069565,1.017177994,1.269008126,1.524338944,1.607169333,2.078958203,1.311864621,0.815733141,0.273279366,0.285409319,0.079700694,0.04328161,0.019744857
X10,0.4304938,0.674916065,0.810079786,1.462423117,0.938239604,1.012723422,1.13074941,1.20789486,1.238211761,1.404271555,0.789562704,0.326501655,0.214304589,0.049490648,0.037950767,0.036084245
X11,0.369807663,0.673491194,0.931124574,1.154103105,0.991325762,1.235322163,1.030897067,0.924327348,1.173726091,1.223553495,1.059626221,0.515380036,0.267192326,0.053709583,0.034904272,0.034273224
X12,0.625376416,0.767254764,0.624977413,0.783673751,0.690007862,1.078527658,1.026895811,0.728397789,0.754623142,0.63631753,0.698207594,0.681210414,0.366758393,0.101601191,0.036053879,0.029829563
X13,0.528360108,0.524273619,0.404672638,0.48780392,0.591207912,0.91369516,0.981006592,1.02413655,0.870855857,0.760067552,0.602723369,0.567214647,0.554387241,0.182097957,0.06451603,0.01997525
X14,0.294092615,0.462595701,0.379453803,0.203942583,0.241999302,0.316544444,0.427897904,0.41967292,0.334496488,0.177902343,0.16954871,0.208516686,0.207604246,0.301024743,0.091336406,0.026833799
X15,0.118065459,0.354462118,0.32212165,0.293197511,0.117576028,0.206232208,0.185733393,0.314100632,0.318320458,0.25661548,0.185400368,0.130634837,0.179301401,0.163409815,0.190385705,0.093981239
X16,0.169544089,0.244071318,0.356690351,0.304613659,0.097765789,0.108104448,0.144594994,0.223247684,0.224595485,0.228904671,0.202472614,0.108531498,0.058824035,0.09674404,0.074522029,0.085399588
