,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.985741131,2.13897961,1.219451455,0.741428488,1.123951974,1.509320602,1.512739386,1.162346794,0.629713388,0.34843517,0.324428696,0.271584849,0.162102374,0.274960144,0.010293406,0.0095357
X2,1.877181308,12.32990025,2.727697245,0.755231829,0.479800241,1.052915211,1.271853961,1.165759795,0.826061994,0.370214143,0.224240985,0.194619755,0.144431869,0.206395882,0.013178994,0.00777371
X3,0.817474749,4.351901429,16.31749764,1.798324644,0.822485505,0.682517806,0.881753182,1.052723076,0.977045925,0.53889448,0.271046987,0.140004247,0.083447516,0.172696738,0.019804261,0.009056491
X4,0.447170976,1.036487635,5.075152116,12.79808758,2.847320231,1.297279667,0.896909917,1.082150326,1.074345575,0.867482586,0.465782444,0.205156584,0.102880307,0.101662301,0.010963845,0.007137692
X5,0.683341867,0.556023656,0.738938787,4.609432849,6.308956213,2.817781156,1.688090913,1.38688437,1.063225177,1.027620644,0.711134088,0.357283747,0.16047973,0.077362325,0.007382142,0.005309113
X6,1.1321359,0.703239401,0.390700331,1.380753939,3.288906598,4.046508537,2.313875983,1.725485529,1.333332419,0.994453873,0.892645098,0.426644739,0.216871102,0.077853748,0.00365414,0.006397718
X7,1.039144828,1.612443436,1.259098938,0.703881345,1.494367958,2.32315735,2.772303278,2.070471029,1.476769112,1.07650091,0.767816441,0.459396471,0.235447992,0.106460303,0.009871807,0.004266409
X8,0.896198545,1.496394598,1.274692486,0.958500733,0.968317921,1.675169419,1.936170412,2.459972415,1.933727639,1.188824543,0.875632145,0.375474451,0.198738261,0.152267614,0.014412554,0.005201677
X9,0.548131987,0.973519572,1.162912548,1.146956955,1.049758745,1.336392646,1.612733672,1.739140691,1.987525742,1.404268009,1.01540156,0.322390729,0.190893999,0.092402922,0.014106662,0.008323621
X10,0.294575393,0.678402371,0.773376626,1.26423349,0.862111776,1.01334688,1.186802393,1.303967312,1.287953297,1.260508732,0.864708402,0.371352219,0.137414055,0.054395645,0.011555779,0.014422097
X11,0.275474234,0.601887106,0.838499659,0.941217433,0.834406408,1.17846366,1.14950239,1.117123844,1.413225219,1.384894224,1.15313836,0.551489098,0.178171128,0.053675899,0.008455293,0.011894366
X12,0.432926913,0.669766417,0.585044105,0.660527177,0.570827669,0.898742281,0.95226682,0.765934903,0.836567603,0.677150748,0.72361242,0.50054422,0.232990448,0.091013428,0.007707541,0.010329434
X13,0.37901092,0.417104055,0.313628758,0.369017562,0.391271334,0.584742658,0.63823096,0.693545647,0.565466832,0.495320705,0.435457164,0.380604218,0.219134355,0.153007088,0.014263269,0.002947099
X14,0.661279259,0.998145217,0.850385023,0.445899462,0.495972612,0.58586501,0.789526409,0.786872749,0.560930298,0.271314411,0.246225871,0.310953867,0.321116858,0.53509632,0.105809905,0.021978817
X15,1.2888E-28,5.09382E-26,2.5483E-06,0.007603135,1.6836E-05,2.12447E-05,3.57268E-05,0.00765258,0.007877142,0.021163079,0.035207555,0.021470177,0.007762858,0.008029357,0.007929495,0.021408651
X16,2.81655E-94,0.021082788,8.44683E-42,0.021206189,4.66E-05,0.007632104,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.0684E-05,1.59767E-46,1.174E-65,1.02832E-05,5.1693E-49,8.2841E-43
