,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,7.883744538,4.045348475,2.046387134,0.988157929,1.243099263,1.633139911,1.618603518,1.339284543,0.776521403,0.45760086,0.474823328,0.429823547,0.27309514,0.166955327,0.062452142,0.034683886
X2,3.75058159,24.33346465,4.628390945,1.047693571,0.610767428,1.276369356,1.520041399,1.352633419,1.127517041,0.52070239,0.371279155,0.367025645,0.278526008,0.149480419,0.054031019,0.031887102
X3,1.35638,7.238789931,23.1287872,1.918735306,0.817406381,0.711769656,0.850978615,0.961215888,0.952662662,0.548443977,0.328154291,0.186582281,0.137488007,0.116013421,0.060556404,0.03007596
X4,0.626596812,1.509642867,5.537900796,10.43030044,1.923776027,0.917489676,0.652145999,0.813924395,0.753754594,0.625867671,0.373850308,0.200084558,0.129991659,0.058084413,0.02503741,0.013102801
X5,0.77425373,0.817276349,0.825265799,3.203226897,3.558138773,1.662586538,1.023657979,0.85120949,0.663975761,0.639631366,0.454082203,0.291705405,0.160716534,0.03167833,0.019334221,0.013041166
X6,1.057371828,0.763469773,0.453210316,0.943102001,1.847553924,2.144582465,1.315208435,1.027672094,0.801597007,0.629244637,0.544681693,0.334030221,0.198745474,0.032426106,0.008732328,0.008667735
X7,1.105780764,1.736318066,1.260839178,0.547979494,0.956093508,1.426502279,1.564087103,1.294327904,0.972844819,0.745366597,0.519923424,0.411989276,0.237223287,0.039474521,0.016116612,0.010289903
X8,0.92832755,1.51590308,1.062559892,0.678234401,0.605328749,1.02312925,1.177054997,1.492107611,1.233756244,0.809168086,0.584461897,0.340774187,0.197336372,0.060560067,0.022300043,0.008127843
X9,0.775943418,1.326639079,1.247403168,0.893043148,0.697698628,0.876384337,1.100704461,1.175372845,1.253201015,0.949846083,0.67563559,0.30794008,0.251021259,0.073304037,0.025370691,0.012729377
X10,0.465120057,0.998466244,0.94326948,1.017938037,0.600750954,0.714739159,0.846005894,0.958724513,0.875360565,0.861000168,0.620452219,0.387334151,0.181882865,0.0443142,0.024326189,0.022307566
X11,0.528091857,0.919251412,1.108932488,0.806197474,0.586215287,0.791342319,0.7931775,0.77318492,0.93079138,0.95163675,0.724618612,0.517536754,0.210998726,0.03562279,0.02503113,0.019597151
X12,1.31070423,1.753007487,1.213654699,0.85853445,0.639458172,0.995263746,1.079947394,0.818597994,0.842081353,0.821485544,0.787506494,0.571445765,0.346099315,0.107680592,0.029402565,0.038263307
X13,0.737936471,0.860054391,0.665919535,0.445728335,0.391038975,0.559861533,0.637816469,0.737859489,0.647434593,0.588778537,0.514684594,0.491105942,0.233012193,0.085428068,0.028434613,0.00796174
X14,0.478893652,0.776973215,0.589474573,0.206134015,0.185887674,0.197978872,0.279969922,0.300217453,0.243089943,0.139105405,0.15687974,0.147636836,0.103799139,0.072895939,0.046053883,0.012523874
X15,0.141562725,0.45519528,0.362537889,0.222785095,0.057052929,0.117002194,0.081751608,0.156113544,0.148973384,0.150772378,0.158257131,0.090994643,0.091410978,0.057766079,0.03371239,0.042785205
X16,0.213801607,0.314768285,0.372498768,0.247570507,0.063909477,0.074156556,0.086674098,0.158812486,0.129725957,0.141316513,0.151777143,0.104182016,0.041854879,0.061278659,0.027647694,0.015166281
