,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.294598224,1.979154861,1.080396344,0.701255206,1.124800584,1.528230518,1.416930188,1.027250713,0.561390159,0.33348511,0.377928681,0.339174461,0.174738171,0.133745978,0.065047511,0.03314603
X2,1.837458118,13.17844931,2.852098202,0.839296712,0.529199103,1.233129243,1.464504161,1.22919028,0.896562324,0.40145502,0.278162415,0.272129355,0.17557022,0.123664603,0.052053162,0.033077891
X3,0.788204279,4.396283686,15.29830847,1.953347095,0.856999707,0.735170306,0.946948115,1.098364387,1.014277635,0.55892206,0.309070484,0.167272956,0.09378442,0.104619667,0.065191025,0.041162561
X4,0.447922751,1.115964888,5.61619259,15.49376586,2.737316013,1.272499176,0.831532339,1.059923807,1.044847262,0.851303373,0.467959419,0.215984909,0.108974079,0.063529583,0.032298894,0.018749364
X5,0.668039107,0.586074826,0.745923493,4.689642096,5.774226627,2.565118928,1.384967534,1.058185238,0.858673658,0.864755442,0.611028316,0.342161937,0.144743829,0.040576478,0.034365077,0.024618781
X6,1.140873761,0.728076737,0.424889305,1.363882058,3.018291774,3.571869418,1.976117485,1.3574715,1.043212999,0.811261107,0.764785339,0.404445926,0.206593629,0.048993807,0.01765123,0.013477229
X7,0.986480074,1.571146309,1.205522269,0.686293941,1.25512196,2.002218191,2.15178328,1.624096884,1.142854574,0.809318163,0.623007844,0.41622168,0.224803629,0.056226415,0.027171269,0.018280607
X8,0.797952937,1.372249853,1.17899527,0.874012781,0.767902736,1.333748752,1.526211184,1.818270773,1.475409743,0.888229569,0.647790802,0.324894948,0.186392309,0.084205597,0.040432517,0.013320887
X9,0.54805442,0.941485819,1.134449727,1.166120426,0.863580903,1.063378976,1.27244917,1.361658116,1.511869555,1.080478401,0.770994639,0.27142125,0.183372088,0.062348812,0.033602276,0.015058943
X10,0.330584169,0.732146688,0.801138383,1.351826444,0.77225809,0.835753182,0.910759615,1.013790559,1.018277183,0.942344094,0.67838453,0.316528212,0.131174156,0.034367529,0.027031301,0.022694101
X11,0.409152416,0.749615306,0.977758664,1.113764,0.888787218,1.093890047,0.945587448,0.857952195,1.106916049,1.077784853,0.860174802,0.515879323,0.178818956,0.037272708,0.027401078,0.023980423
X12,0.642379108,0.916403649,0.741315635,0.804075054,0.649784579,0.97193272,0.943393146,0.690535749,0.730785896,0.614692757,0.680164887,0.452508509,0.256437501,0.077011766,0.028364609,0.020296382
X13,0.445052457,0.499012041,0.393931774,0.412043178,0.375156903,0.563696526,0.618481303,0.651180092,0.530498411,0.451998965,0.408991365,0.374526228,0.182162299,0.096946709,0.036391927,0.011068984
X14,0.335756705,0.545610372,0.451548227,0.228407434,0.241988699,0.287521288,0.404138056,0.404113969,0.295723423,0.135397112,0.136412865,0.169084955,0.136480687,0.122729591,0.071569237,0.020195731
X15,0.157301877,0.452062083,0.448983492,0.376809671,0.116972051,0.21054464,0.179544144,0.314544334,0.298549291,0.218436008,0.177325898,0.127486089,0.13864701,0.119580844,0.094477193,0.073764549
X16,0.210503344,0.31500765,0.472276327,0.397187855,0.116673144,0.122088896,0.16204104,0.256413109,0.253196192,0.211421885,0.213352058,0.10380591,0.057481136,0.095210319,0.069424091,0.041785502
