,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.048152528,0.861782203,0.147100646,0.075092099,0.094806202,0.147141791,1.149194249,1.145139391,0.372564732,0.088698244,0.312457935,0.306963073,0.315615731,0.141818229,6.71253E-05,2.564E-71
X2,0.825279777,11.23534145,1.068058354,0.176692158,0.047043143,0.38208518,0.318757121,1.232540495,1.345459312,0.263244901,0.217874156,0.167523486,0.028912386,0.107738631,0.104741247,0.064324024
X3,0.189621146,1.74705696,11.3468717,0.965521635,0.12967124,0.073354159,0.167190169,0.563153559,1.239378763,0.829189058,0.387452955,0.071270962,0.02083311,0.055217055,0.126194148,1.8951E-25
X4,0.131587745,0.093335234,4.842055366,11.29672336,0.934962342,0.986705155,3.303952437,0.493029416,0.585711398,0.961420114,0.811750018,0.17532054,0.029683393,0.037431304,0.081874135,6.39647E-21
X5,0.267752961,1.5859E-06,0.04502382,0.737830346,3.579668576,1.501068491,2.16527658,3.193229992,0.172551895,0.431812194,0.735987938,2.7856E-15,0.01280836,7.3907E-21,0.000269082,0.04990412
X6,0.327366813,0.184215459,9.95941E-16,0.191144104,0.660144097,3.352285059,1.226406455,1.539770514,2.132323168,0.828838721,1.739816322,0.462549751,0.18045259,2.53289E-05,2.3629E-35,1.11376E-58
X7,1.818811209,1.822851628,1.761246951,3.404296824,0.650105781,1.701706843,5.825810028,3.468512482,2.449818032,4.122960639,1.032123497,0.44785768,0.084164365,3.64198E-05,0.079507673,0.223864842
X8,0.591326995,1.044139671,0.956901434,0.183344228,1.004322063,0.672001694,1.077614287,3.375126677,2.228662149,4.664919,1.647022276,0.284179339,0.293496839,0.152802305,0.11109835,0.025415772
X9,0.418713303,0.904168126,0.807385106,0.237000843,2.505619268,1.426275933,1.409872016,4.46816824,6.039413687,2.87534199,2.660160157,0.286869184,0.308751349,0.138795264,0.210502487,6.23195E-39
X10,1.06647E-28,0.455107388,0.742786147,0.774396703,0.629292535,1.146695185,0.839479771,1.733750595,2.253727328,2.219312806,1.194446278,0.561713448,0.196433584,1.62792E-15,0.039573849,1.5531E-05
X11,1.142E-17,0.270873573,0.127848919,0.459761921,2.213234835,2.458940869,0.687797615,1.574265483,0.189224012,2.312201678,1.467296185,0.499087542,0.069250942,0.138094431,0.008427535,0.046915233
X12,1.03791E-72,1.6591E-90,0.278440823,0.460356754,1.073663472,0.796243338,0.827029476,0.802118618,1.691358555,1.00198678,1.088253762,2.585597471,1.058360154,0.672683126,2.53599E-38,0.030886064
X13,0.258752519,0.149934717,0.144194206,0.277660321,0.298573656,0.300912694,0.591020615,0.962980514,0.499046097,0.693903583,0.849021088,1.020621132,1.325071302,0.65454681,0.711818956,0.08813764
X14,0.033326962,0.033406404,4.9618E-47,0.033187975,0.268893466,0.271324051,0.208430374,0.387150783,0.35541805,0.036528328,0.326130433,0.478906784,1.029269068,0.698838386,0.37511186,0.090260341
X15,5.84285E-35,2.7946E-36,3.9391E-41,9.53346E-05,0.207063118,0.091528563,0.088150893,0.266968615,0.529627563,0.384859434,0.230317179,0.563448853,0.701404058,0.631803738,1.806762829,0.195072455
X16,0.039724479,0.110211765,0.253376372,0.041234044,0.253422846,0.109879213,0.326509712,0.180697366,0.402499376,0.326408983,0.183144746,0.350822494,0.035663969,0.53054083,0.425965228,0.678389646
