,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.916696247,1.253516084,0.526216576,0.339579201,0.455472574,0.80825965,1.199899132,1.09868326,0.596373926,0.350167656,0.367734467,0.290885996,0.199570367,0.163449064,0.095437139,0.050072072
X2,1.145868322,5.239412853,1.19009852,0.338899616,0.208589869,0.490060757,0.864051617,1.066762816,0.918222264,0.373634306,0.240514439,0.201342072,0.178916586,0.134360486,0.060612258,0.044081116
X3,0.30563717,1.755225543,7.432040341,0.973944713,0.376436591,0.296542432,0.495482748,0.808223581,1.118890493,0.621366861,0.323595313,0.158267209,0.104888777,0.105210329,0.073674496,0.056956496
X4,0.177391586,0.418085062,2.846979946,10.56705487,1.72717509,0.799377704,0.631655794,0.853400252,1.151801476,1.139943019,0.608486827,0.25573352,0.100877569,0.069624842,0.037941672,0.024587116
X5,0.289199179,0.233295702,0.371127429,2.847426086,4.724199977,1.876195797,1.201417695,1.105808213,1.005291886,1.264153131,0.898049991,0.477510796,0.135962758,0.060777791,0.063064404,0.046920732
X6,0.602329091,0.309547158,0.224016537,0.887230647,2.137688293,3.447663648,1.737218213,1.373622465,1.215345287,1.02231886,1.011762294,0.556368971,0.176711444,0.062846885,0.031843048,0.02224833
X7,0.751544366,0.856503486,0.648281176,0.495575115,1.0376012,1.666640869,2.714760375,1.74405554,1.386789243,1.110853166,0.869564959,0.609800574,0.231393196,0.097230326,0.047218946,0.040472248
X8,0.720667255,1.047011218,0.860321217,0.755753285,0.756233251,1.316640653,1.606959149,2.827344839,1.967517488,1.300403567,0.977118855,0.530493698,0.259614195,0.160106106,0.087242555,0.032248371
X9,0.407188525,0.806469004,1.115880791,1.212636854,0.961400136,1.217961163,1.535138167,1.792697636,2.824430422,1.695506516,1.22978265,0.483568119,0.231420997,0.133292533,0.08871209,0.037790488
X10,0.422252387,0.559202725,0.786461393,1.675977233,0.955498082,1.023387416,1.235935002,1.434619827,1.599639366,2.201868294,1.231930975,0.601624963,0.190401968,0.097817477,0.082851387,0.070340381
X11,0.331392971,0.665253519,1.02280553,1.460192878,1.127910793,1.397166236,1.276923176,1.288693389,1.767685821,1.96560395,2.150664355,1.023645418,0.316197259,0.135505233,0.090016285,0.076626945
X12,0.620526295,0.767401403,0.798704171,1.009225057,0.822193262,1.272581048,1.34368176,1.103929063,1.309742273,1.132274778,1.380245847,1.648642705,0.530604886,0.226795311,0.106378778,0.071619525
X13,0.530877757,0.494014164,0.381782637,0.547486496,0.460013511,0.652448667,0.759731266,0.810648185,0.682104561,0.584483687,0.581231543,0.730566128,1.072072033,0.411945804,0.217400624,0.082342283
X14,0.331132545,0.510139612,0.41712754,0.248461453,0.313239034,0.401086582,0.572703196,0.592255619,0.578821147,0.351809538,0.385491443,0.47173672,0.525397433,1.000631002,0.273025777,0.109159508
X15,0.150056483,0.425510279,0.41572765,0.417074467,0.190032996,0.290073895,0.282448535,0.498334857,0.613309114,0.468873743,0.375690283,0.318111124,0.56084623,0.588439567,0.826918919,0.24539039
X16,0.264145074,0.335525168,0.487073132,0.400476823,0.153907108,0.169980687,0.255593625,0.341119437,0.384208255,0.437780761,0.434067587,0.257251371,0.194939607,0.291039437,0.25856831,0.406071624
