,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.880307803,2.551362168,1.3331213,0.753116502,1.034324951,1.335600724,1.268436242,1.085969159,0.597089683,0.374849613,0.367203371,0.312555001,0.200878788,0.131430713,0.060454981,0.024727874
X2,2.505460802,20.1888797,3.928181144,1.067132194,0.617357664,1.26421813,1.476710027,1.46437702,1.087489591,0.53830426,0.345907903,0.317276799,0.247860583,0.145938003,0.06067877,0.029632252
X3,0.995995547,5.654765669,16.02583657,2.139859451,0.896685457,0.697570148,0.839869409,1.105148326,1.053715662,0.640543782,0.338325533,0.179757007,0.125472655,0.11493505,0.069108233,0.031263547
X4,0.507575251,1.423067371,5.912705817,15.82709224,2.393398192,1.041111709,0.662370992,0.937210926,0.910241099,0.820524656,0.443874383,0.202995121,0.112555725,0.063610714,0.030968401,0.014421692
X5,0.673880791,0.718693339,0.821303117,4.309366396,4.744856211,1.901059194,1.010882908,0.829067944,0.677665501,0.75582601,0.51242857,0.288209944,0.112274151,0.037254322,0.029170428,0.015559066
X6,0.957536605,0.696331117,0.392575119,1.099299767,2.189748245,2.398908359,1.288869597,0.970823454,0.73837249,0.63386888,0.576769691,0.305821418,0.136919196,0.039020079,0.013011479,0.009297685
X7,0.853401827,1.443304516,1.010833938,0.551896135,0.911901279,1.331684579,1.452372246,1.165848113,0.838631404,0.651257203,0.484278577,0.327052007,0.160305446,0.043070787,0.019845651,0.009821326
X8,0.825868065,1.485749596,1.094980458,0.724234853,0.60736806,0.975973851,1.111568409,1.470805998,1.138181566,0.744545478,0.537506528,0.276564052,0.161345243,0.077220943,0.034677469,0.009313473
X9,0.568125167,1.07208028,1.115251409,1.017544439,0.676035611,0.779683404,0.945818305,1.060396376,1.196075647,0.889517942,0.637674719,0.232289133,0.151568194,0.066414559,0.029763764,0.012795796
X10,0.392416145,0.925051174,0.880763813,1.316556244,0.676639902,0.688815921,0.754076309,0.879238085,0.848453661,0.890038227,0.631543312,0.304432719,0.115040127,0.042355564,0.029814005,0.023981638
X11,0.420409208,0.864340766,0.957430901,1.002228168,0.684746948,0.827068543,0.742854154,0.716326239,0.900829639,0.960986825,0.788219175,0.450578535,0.140949086,0.035146075,0.026095487,0.020167823
X12,0.869556562,1.25648475,0.850921903,0.814112757,0.573630877,0.853306073,0.840531365,0.629840524,0.64533727,0.618353097,0.647202261,0.450034792,0.223907628,0.08471141,0.026690641,0.02613375
X13,0.63281904,0.702971428,0.481320763,0.471315511,0.348211184,0.460578434,0.505770351,0.558172826,0.406378391,0.348668164,0.331329327,0.303298743,0.185163825,0.110529057,0.038023052,0.008843128
X14,0.424349622,0.67862334,0.529125055,0.229243262,0.22392212,0.250174038,0.353615333,0.38796807,0.298686513,0.149961768,0.151002229,0.159214077,0.13715448,0.127710205,0.064237588,0.014553894
X15,0.157698976,0.496224052,0.414903966,0.313671374,0.095892686,0.174828581,0.13604286,0.269615727,0.249599226,0.226298773,0.187454477,0.109101316,0.124521415,0.099205794,0.084178744,0.061110597
X16,0.154688531,0.235011679,0.302618012,0.23015769,0.06661666,0.068892973,0.082000439,0.15737528,0.154371497,0.149923568,0.142192462,0.076199997,0.034922882,0.05496598,0.035881588,0.021813949
