,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.867183342,1.851837166,1.048047644,0.641159227,0.950843426,1.286614949,1.301780657,1.011407113,0.610804684,0.382343876,0.385728898,0.309667424,0.188916232,0.120919477,0.061834338,0.025601951
X2,1.690834819,10.50320431,2.597033244,0.783573446,0.447586175,0.981402908,1.279940076,1.179934254,0.903503346,0.451262862,0.289561848,0.245045447,0.187861915,0.109176895,0.051657246,0.027126006
X3,0.723216869,3.871081568,13.66810275,1.784377894,0.766617326,0.600011986,0.821860199,1.050018265,1.02962651,0.626833799,0.339520568,0.16922517,0.103064392,0.092125477,0.062624765,0.035296405
X4,0.369950899,0.953957592,5.172803853,14.80807935,2.398466917,1.121481074,0.789341567,1.018907699,1.067278307,0.913928058,0.489268271,0.215203174,0.10672577,0.051327316,0.029678802,0.014096758
X5,0.582559565,0.482292368,0.695636329,4.228934853,4.970095778,2.306652688,1.352699035,1.095771838,0.93621442,0.981560663,0.676972782,0.370576391,0.148024789,0.03735017,0.035044997,0.02084981
X6,1.01657513,0.581581519,0.350732099,1.265664348,2.694450904,3.141958904,1.860040536,1.348411957,1.094307098,0.89664478,0.837266842,0.439025095,0.202349398,0.047806493,0.017655307,0.009735569
X7,0.952296157,1.440395992,1.08665253,0.665388014,1.225131916,1.893141029,2.26671112,1.739970456,1.280566748,0.947469443,0.726542447,0.498686371,0.250561674,0.063773709,0.031520609,0.016288786
X8,0.832938007,1.419828512,1.269360617,0.922484182,0.790435991,1.326250155,1.650750946,2.097374327,1.730112727,1.069538822,0.761361028,0.405413914,0.247461338,0.107590181,0.054308228,0.014876442
X9,0.51967336,0.967533319,1.241757007,1.352913961,0.957477584,1.115342436,1.422365369,1.589809034,1.864164302,1.345731545,0.927305231,0.343352115,0.195533462,0.080980543,0.04530728,0.021006504
X10,0.304013745,0.69206778,0.859295072,1.623954769,0.92333359,0.925274214,1.053280722,1.189108188,1.253901344,1.281735089,0.870508482,0.400127264,0.139788392,0.034059028,0.039187046,0.031196801
X11,0.357445373,0.695419148,1.012416217,1.282042321,1.012157889,1.227404137,1.085035977,0.992956992,1.313581479,1.37330029,1.149085625,0.63198912,0.185722723,0.035530822,0.032717052,0.025370017
X12,0.533814293,0.719979481,0.683850019,0.840868328,0.724176006,1.139198364,1.155452621,0.849577922,0.912363066,0.746652128,0.856460314,0.670436467,0.291908992,0.063226542,0.026165026,0.014774974
X13,0.572061602,0.485299245,0.38101621,0.497061524,0.476802591,0.713313332,0.842739547,0.8984107,0.59190831,0.494129929,0.43298074,0.467700935,0.307458019,0.156476265,0.042514477,0.012197299
X14,0.307003605,0.405757204,0.354359502,0.188949541,0.225672828,0.310060136,0.525729394,0.56421853,0.399328087,0.133729553,0.12093895,0.147225011,0.188878589,0.201549716,0.093509168,0.016789009
X15,0.151951545,0.437530749,0.402407614,0.381578483,0.136558286,0.25602472,0.237955171,0.501959395,0.455524899,0.389590644,0.239363672,0.113340848,0.127592491,0.159239001,0.164431737,0.099548058
X16,0.153640874,0.227467857,0.404808883,0.300809806,0.112216193,0.088260427,0.138569355,0.31256905,0.392146955,0.351703121,0.257773287,0.063865847,0.036927289,0.067052372,0.095578192,0.049688141
