,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.488431067,0.844281599,0.324662772,0.193952272,0.474992166,1.088270574,1.389763165,1.090636227,0.524117563,0.246544469,0.20939737,0.122202914,0.061789441,0.021396431,0.008898085,0.012869293
X2,0.770694147,4.974720488,0.727855425,0.190467909,0.211892882,0.681659613,1.025895125,1.05300103,0.697446478,0.252314211,0.127688402,0.093972755,0.049229083,0.02070641,0.009092321,0.012982933
X3,0.154636775,1.260477052,5.628746442,0.486196424,0.309870517,0.400898625,0.559320413,0.730412015,0.760302976,0.349655325,0.137708707,0.052007763,0.022588341,0.014941952,0.011335568,0.009539382
X4,0.082481473,0.184853749,1.664908335,5.879673018,1.588185695,0.971152911,0.779907789,0.871104544,0.923486569,0.736177106,0.388990082,0.165022715,0.044132288,0.010498486,0.004319046,0.006161079
X5,0.374445053,0.29130283,0.373817012,2.831290181,8.361640452,4.438536823,2.718158042,2.007545467,1.545382168,1.707454378,1.114796958,0.501036547,0.125984856,0.015528257,0.015524942,0.02223631
X6,1.187217958,0.601212299,0.309693111,1.238555267,5.31845184,10.30590104,5.21774015,3.355198017,2.197976725,1.621112164,1.630773672,0.811754361,0.27148352,0.049309853,0.010196325,0.028234327
X7,1.579925874,1.838233131,1.187109822,0.726233361,2.438583918,5.04731921,7.593826571,4.404863387,2.575055634,1.598148577,1.170193831,0.76582918,0.279533528,0.05210522,0.022058446,0.020870071
X8,1.272850282,1.990043479,1.573366709,1.158717828,1.484257348,3.333746781,4.260098071,6.209625737,3.375293368,1.739943814,1.137180939,0.552831384,0.2126184,0.088342043,0.040506581,0.013551954
X9,0.554335047,1.016609569,1.365691868,1.508215071,1.53543347,2.242407653,2.942902485,3.072870843,3.992040084,1.948172376,1.274092587,0.445266943,0.172666671,0.06425039,0.028336295,0.019898044
X10,0.342527644,0.529521045,0.664083513,1.455263466,1.165962925,1.47006942,1.746090488,1.855817826,1.761521111,2.080220329,1.094511556,0.488751917,0.104164024,0.023042811,0.017369833,0.033823116
X11,0.212854527,0.39974454,0.56189717,0.88333742,1.015894799,1.650472652,1.513872586,1.43495506,1.74302883,1.664377666,1.620540371,0.728583106,0.1321992,0.012726625,0.0094049,0.023467136
X12,0.280670364,0.377937779,0.360582836,0.540214445,0.565299345,1.094891058,1.241524072,1.028556387,1.127122351,0.842040925,0.912423214,0.805215142,0.17689799,0.023038345,0.006634701,0.012742492
X13,0.132403815,0.124507713,0.103439636,0.164170175,0.211097402,0.372322913,0.412699358,0.466982579,0.394492217,0.338949447,0.291362385,0.262646143,0.168295418,0.03758867,0.006196739,0.002326377
X14,0.037302389,0.07568692,0.055296678,0.024770661,0.039554483,0.07433192,0.110260362,0.099386864,0.075256478,0.040466512,0.026285219,0.037444171,0.032676048,0.081426546,0.019183283,0.002669519
X15,0.012442858,0.038092128,0.034749606,0.034552646,0.01755367,0.037678724,0.036608396,0.065322042,0.059122973,0.05411499,0.052805488,0.032035909,0.020742163,0.018681805,0.040194993,0.029445398
X16,0.0327074,0.066375598,0.066929746,0.076539273,0.021950685,0.037033682,0.046106198,0.047989008,0.046334088,0.048151285,0.044325444,0.022021707,0.008188593,0.012546597,0.009725886,0.027322484
