,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.942171255,0.848526242,0.334021222,0.243418338,0.415041849,0.737729142,1.034343477,0.886894035,0.523913131,0.232510432,0.27145171,0.227423955,0.152760331,0.110883618,0.083590371,0.044500923
X2,0.788966953,4.181188793,0.841796523,0.270427683,0.170843174,0.465376233,0.81762376,0.892217157,0.796755142,0.262480374,0.204371211,0.180603584,0.143492648,0.09964963,0.056124469,0.045308893
X3,0.177419721,1.318391727,6.270871204,0.7225128,0.28929598,0.26929,0.435958804,0.741541505,0.987483221,0.391636227,0.246503992,0.138800186,0.082281201,0.0847892,0.06888201,0.059542276
X4,0.114121942,0.273455082,2.125188583,7.405005685,1.217562027,0.608253655,0.516450107,0.767960388,0.965704397,0.71470142,0.367527389,0.15500606,0.074234944,0.051600405,0.035080153,0.024047099
X5,0.252752144,0.191811979,0.269837576,2.143209087,4.692000009,1.882981751,1.299890371,1.10826,1.008610716,0.981938405,0.669869688,0.348430834,0.1177955,0.058541107,0.074375148,0.06629079
X6,0.546161762,0.308414552,0.165739706,0.725981208,2.179715812,3.667928214,1.951045259,1.47843722,1.258652576,0.884298304,0.838180628,0.405404379,0.153365955,0.067431404,0.041135375,0.029729596
X7,0.73868979,1.026473514,0.694416337,0.467120794,1.156976962,1.958650055,3.430036935,2.137793177,1.567331488,0.981257185,0.792920029,0.536469279,0.254522116,0.12317558,0.077292973,0.070529735
X8,0.673724472,1.049363206,0.944215522,0.771839283,0.783815827,1.442122126,1.975567805,3.300483144,2.172740929,1.116861949,0.769703115,0.430584604,0.307476696,0.196149229,0.135545098,0.051018921
X9,0.392299126,0.771162929,1.088901755,1.285491709,1.003716819,1.274369015,1.752214677,1.97130864,3.125580476,1.455653774,0.958463548,0.333033126,0.247488502,0.160458189,0.124795616,0.059702979
X10,0.322165381,0.402305662,0.475097034,1.135138306,0.717747112,0.853192741,1.089148273,1.210858782,1.318280671,1.477125636,0.781549445,0.307968094,0.135485222,0.073140567,0.075911988,0.068270514
X11,0.285187264,0.588474573,0.83498875,1.086456523,0.928303839,1.166143422,1.089910403,1.032384702,1.385411928,1.264426913,1.425623184,0.643911432,0.267326654,0.121824561,0.098732389,0.08639734
X12,0.607166456,0.755102633,0.620563669,0.807239785,0.715592712,1.118241098,1.193379159,0.888602756,0.970225466,0.647207718,0.934095469,1.398893615,0.534383491,0.2418041,0.14215835,0.097080528
X13,0.519242333,0.481200013,0.322403427,0.463676797,0.460986256,0.661684725,0.820943246,0.867010834,0.704600952,0.420615651,0.471635086,0.700088882,1.07762919,0.439954039,0.263313,0.112457182
X14,0.307274158,0.476839513,0.401285498,0.226142545,0.311267089,0.427751853,0.671334082,0.693737206,0.650214553,0.288090553,0.354829254,0.485619225,0.519528617,0.903768616,0.284703325,0.134892542
X15,0.184681643,0.520407663,0.485264196,0.467332992,0.235514935,0.39861452,0.436804506,0.772837702,0.806018893,0.522921469,0.420424668,0.421927106,0.658162266,0.654030611,0.968316345,0.311807582
X16,0.346686185,0.479238088,0.710139656,0.580404497,0.254847999,0.264283126,0.440230103,0.536023134,0.621651622,0.556906966,0.570219291,0.379814676,0.263970188,0.391562078,0.36765655,0.542395711
